,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.4902,0.4902,0.4902,0.4902,0.0,2020-02-10 15:00:00
1,1581343200000,0.4906,0.4955,0.4779,0.4902,4017.53,2020-02-10 14:00:00
2,1581339600000,0.4894,0.4894,0.4894,0.4894,30.0,2020-02-10 13:00:00
3,1581336000000,0.4894,0.4894,0.4894,0.4894,631.4,2020-02-10 12:00:00
4,1581332400000,0.4763,0.4763,0.4763,0.4763,0.0,2020-02-10 11:00:00
5,1581328800000,0.4763,0.4763,0.4763,0.4763,0.0,2020-02-10 10:00:00
6,1581325200000,0.4822,0.4822,0.4763,0.4763,1388.79,2020-02-10 09:00:00
7,1581321600000,0.4875,0.4875,0.4872,0.4872,380.29,2020-02-10 08:00:00
8,1581318000000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-10 07:00:00
9,1581314400000,0.4856,0.4856,0.4856,0.4856,620.55,2020-02-10 06:00:00
10,1581310800000,0.4925,0.4925,0.4857,0.4857,8085.05,2020-02-10 05:00:00
11,1581307200000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-10 04:00:00
12,1581303600000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-10 03:00:00
13,1581300000000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-10 02:00:00
14,1581296400000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-10 01:00:00
15,1581292800000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-10 00:00:00
16,1581289200000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-09 23:00:00
17,1581285600000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-09 22:00:00
18,1581282000000,0.4903,0.4903,0.4903,0.4903,0.0,2020-02-09 21:00:00
19,1581278400000,0.5038,0.5038,0.4903,0.4903,846.29,2020-02-09 20:00:00
20,1581274800000,0.5052,0.5052,0.5052,0.5052,0.0,2020-02-09 19:00:00
21,1581271200000,0.5052,0.5052,0.5052,0.5052,185.65,2020-02-09 18:00:00
22,1581267600000,0.5037,0.5047,0.5014,0.5014,1037.38,2020-02-09 17:00:00
23,1581264000000,0.4977,0.499,0.487,0.487,1429.57,2020-02-09 16:00:00
24,1581260400000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 15:00:00
25,1581256800000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 14:00:00
26,1581253200000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 13:00:00
27,1581249600000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 12:00:00
28,1581246000000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 11:00:00
29,1581242400000,0.4916,0.4916,0.4916,0.4916,0.0,2020-02-09 10:00:00
30,1581238800000,0.4916,0.4916,0.4916,0.4916,0.85,2020-02-09 09:00:00
31,1581235200000,0.492,0.492,0.4918,0.4918,498.8,2020-02-09 08:00:00
32,1581231600000,0.4964,0.4964,0.4916,0.493,1105.1,2020-02-09 07:00:00
33,1581228000000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-09 06:00:00
34,1581224400000,0.4856,0.4856,0.4856,0.4856,1022.37,2020-02-09 05:00:00
35,1581220800000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-09 04:00:00
36,1581217200000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-09 03:00:00
37,1581210000000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-09 01:00:00
38,1581206400000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-09 00:00:00
39,1581202800000,0.4856,0.4856,0.4856,0.4856,0.0,2020-02-08 23:00:00
40,1581199200000,0.4856,0.4856,0.4856,0.4856,620.55,2020-02-08 22:00:00
41,1581195600000,0.4951,0.4952,0.4903,0.4903,1909.15,2020-02-08 21:00:00
42,1581192000000,0.497,0.497,0.497,0.497,729.21,2020-02-08 20:00:00
43,1581188400000,0.4999,0.4999,0.4999,0.4999,602.8,2020-02-08 19:00:00
44,1581184800000,0.4972,0.5137,0.4972,0.5026,2545.7,2020-02-08 18:00:00
45,1581181200000,0.4959,0.4972,0.4959,0.4972,1113.44,2020-02-08 17:00:00
46,1581177600000,0.4918,0.4918,0.4918,0.4918,41.87,2020-02-08 16:00:00
47,1581174000000,0.493,0.4972,0.4903,0.4903,1872.26,2020-02-08 15:00:00
