,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.0002,1.0002,0.9999,0.9999,3324.77,2020-02-10 15:00:00
1,1581343200000,1.0002,1.001,0.9996,1.0002,8621.29,2020-02-10 14:00:00
2,1581339600000,0.9999,1.0002,0.9996,0.9999,3678.76,2020-02-10 13:00:00
3,1581336000000,1.0003,1.0003,0.9994,0.9999,17638.89,2020-02-10 12:00:00
4,1581332400000,0.9999,1.0006,0.9999,1.0002,5346.12,2020-02-10 11:00:00
5,1581328800000,1.0002,1.0002,0.9998,1.0,4472.78,2020-02-10 10:00:00
6,1581325200000,0.9998,1.0006,0.9997,1.0001,17856.49,2020-02-10 09:00:00
7,1581321600000,1.0,1.0003,0.9997,1.0,3030.43,2020-02-10 08:00:00
8,1581318000000,1.0001,1.0001,0.9998,1.0,3377.57,2020-02-10 07:00:00
9,1581314400000,1.002,1.002,0.9998,1.0,16063.61,2020-02-10 06:00:00
10,1581310800000,1.0004,1.002,1.0001,1.0001,11667.31,2020-02-10 05:00:00
11,1581307200000,1.0,1.0006,1.0,1.0005,1036.02,2020-02-10 04:00:00
12,1581303600000,1.0001,1.0005,1.0001,1.0005,705.87,2020-02-10 03:00:00
13,1581300000000,1.0,1.0006,0.9998,1.0001,7641.34,2020-02-10 02:00:00
14,1581296400000,0.9999,1.0002,0.9999,1.0002,1099.89,2020-02-10 01:00:00
15,1581292800000,1.0,1.0002,0.9999,1.0,3540.45,2020-02-10 00:00:00
16,1581289200000,1.0003,1.0003,0.9997,1.0,2719.15,2020-02-09 23:00:00
17,1581285600000,0.9998,1.0002,0.9997,1.0002,2108.58,2020-02-09 22:00:00
18,1581282000000,0.9999,1.0001,0.9996,1.0001,6774.46,2020-02-09 21:00:00
19,1581278400000,1.0004,1.0005,1.0,1.0,8497.72,2020-02-09 20:00:00
20,1581274800000,1.0005,1.0005,1.0004,1.0004,1246.02,2020-02-09 19:00:00
21,1581271200000,1.0001,1.0007,1.0001,1.0006,15251.12,2020-02-09 18:00:00
22,1581267600000,0.9998,1.0004,0.9998,1.0002,2879.1,2020-02-09 17:00:00
23,1581264000000,1.0,1.0004,0.9999,0.9999,9090.35,2020-02-09 16:00:00
24,1581260400000,1.0004,1.0006,1.0001,1.0001,14634.18,2020-02-09 15:00:00
25,1581256800000,0.9998,1.0006,0.9997,1.0002,7648.49,2020-02-09 14:00:00
26,1581253200000,1.0002,1.0002,0.9996,0.9999,6219.84,2020-02-09 13:00:00
27,1581249600000,1.0004,1.0004,1.0002,1.0002,5239.22,2020-02-09 12:00:00
28,1581246000000,1.0002,1.0002,1.0001,1.0002,3249.99,2020-02-09 11:00:00
29,1581242400000,1.0004,1.0004,1.0001,1.0001,9326.49,2020-02-09 10:00:00
30,1581238800000,1.0003,1.0006,1.0001,1.0006,7072.4,2020-02-09 09:00:00
31,1581235200000,0.9997,1.0006,0.9997,1.0006,2946.88,2020-02-09 08:00:00
32,1581231600000,0.9994,0.9997,0.9993,0.9997,1038.75,2020-02-09 07:00:00
33,1581228000000,0.9995,1.0001,0.9995,0.9999,2199.26,2020-02-09 06:00:00
34,1581224400000,1.0,1.0002,0.9998,0.9998,12705.59,2020-02-09 05:00:00
35,1581220800000,1.0001,1.0002,0.9997,1.0001,13671.61,2020-02-09 04:00:00
36,1581217200000,1.0,1.0005,0.9989,1.0002,12533.38,2020-02-09 03:00:00
37,1581210000000,1.0002,1.0002,0.9999,0.9999,6499.99,2020-02-09 01:00:00
38,1581206400000,1.0002,1.0002,1.0,1.0,2599.99,2020-02-09 00:00:00
39,1581202800000,0.9996,1.0002,0.9994,1.0002,712.09,2020-02-08 23:00:00
40,1581199200000,0.9996,1.0001,0.9996,0.9997,4916.58,2020-02-08 22:00:00
41,1581195600000,1.0,1.0001,0.9996,0.9997,7432.62,2020-02-08 21:00:00
42,1581192000000,1.0004,1.0004,0.9998,0.9998,7910.71,2020-02-08 20:00:00
43,1581188400000,1.0002,1.0002,1.0002,1.0002,0.0,2020-02-08 19:00:00
44,1581184800000,0.9999,1.0002,0.9999,1.0002,4061.63,2020-02-08 18:00:00
45,1581181200000,0.9999,1.0003,0.9998,0.9998,4869.41,2020-02-08 17:00:00
46,1581177600000,1.0002,1.0003,0.9998,0.9999,11542.32,2020-02-08 16:00:00
47,1581174000000,1.0,1.0004,1.0,1.0002,2410.0,2020-02-08 15:00:00
48,1581170400000,1.0,1.0001,0.9999,0.9999,3770.24,2020-02-08 14:00:00
49,1581166800000,0.9999,1.0001,0.9998,0.9998,4441.37,2020-02-08 13:00:00
50,1581163200000,1.0,1.0,1.0,1.0,1299.99,2020-02-08 12:00:00
51,1581159600000,1.0002,1.0002,1.0,1.0,2600.36,2020-02-08 11:00:00
52,1581156000000,1.0002,1.0002,0.9999,1.0002,1663.93,2020-02-08 10:00:00
53,1581152400000,1.0001,1.0001,1.0,1.0,1149.48,2020-02-08 09:00:00
54,1581148800000,0.9999,1.0002,0.9996,1.0002,7894.01,2020-02-08 08:00:00
55,1581145200000,0.9997,0.9999,0.9994,0.9999,3765.1,2020-02-08 07:00:00
56,1581141600000,0.9999,1.0001,0.9998,0.9998,4084.22,2020-02-08 06:00:00
57,1581138000000,0.9998,0.9998,0.9997,0.9997,11.2,2020-02-08 05:00:00
58,1581134400000,0.9999,0.9999,0.9998,0.9998,1949.99,2020-02-08 04:00:00
59,1581130800000,1.0001,1.0006,1.0001,1.0001,4898.01,2020-02-08 03:00:00
60,1581127200000,1.0,1.0001,0.9999,1.0,3602.24,2020-02-08 02:00:00
61,1581123600000,1.0,1.0005,0.9998,1.0001,10876.52,2020-02-08 01:00:00
62,1581120000000,1.0003,1.0006,1.0,1.0,5740.36,2020-02-08 00:00:00
63,1581116400000,0.9998,0.9999,0.9998,0.9999,1300.0,2020-02-07 23:00:00
64,1581112800000,0.9997,0.9998,0.9997,0.9997,1007.23,2020-02-07 22:00:00
65,1581109200000,0.9999,0.9999,0.9999,0.9999,649.99,2020-02-07 21:00:00
66,1581105600000,0.9998,1.0,0.9997,1.0,1193.74,2020-02-07 20:00:00
67,1581102000000,0.9998,1.0001,0.9998,1.0001,3962.31,2020-02-07 19:00:00
68,1581098400000,0.9999,1.0,0.9998,0.9998,1624.12,2020-02-07 18:00:00
69,1581094800000,0.9998,1.0,0.9997,0.9999,2505.64,2020-02-07 17:00:00
70,1581091200000,1.0,1.0003,0.9998,0.9998,3070.5,2020-02-07 16:00:00
71,1581087600000,1.0,1.0006,1.0,1.0001,2007.48,2020-02-07 15:00:00
72,1581084000000,1.0001,1.0004,1.0,1.0001,10358.3,2020-02-07 14:00:00
73,1581080400000,1.0,1.0001,1.0,1.0001,991.84,2020-02-07 13:00:00
74,1581076800000,1.0005,1.0005,0.9995,1.0,5133.46,2020-02-07 12:00:00
75,1581073200000,0.9997,1.0005,0.9993,1.0001,6636.89,2020-02-07 11:00:00
