,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.9993,0.9993,0.9992,0.9992,222.36,2020-02-10 15:00:00
1,1581343200000,1.0017,1.0019,1.0002,1.0005,1312.79,2020-02-10 14:00:00
2,1581339600000,1.0016,1.0017,0.9999,0.9999,377.49,2020-02-10 13:00:00
3,1581336000000,1.0012,1.0016,1.0012,1.0016,203.67,2020-02-10 12:00:00
4,1581332400000,1.0016,1.0019,0.9989,1.0002,6796.67,2020-02-10 11:00:00
5,1581328800000,1.0004,1.0017,1.0004,1.0004,4360.96,2020-02-10 10:00:00
6,1581325200000,0.9987,1.0008,0.9985,1.0008,3783.78,2020-02-10 09:00:00
7,1581321600000,0.9999,1.0002,0.9987,0.9987,5767.89,2020-02-10 08:00:00
8,1581318000000,0.9989,1.0009,0.9988,0.9994,406.17,2020-02-10 07:00:00
9,1581314400000,1.0004,1.0004,0.9988,0.9989,2878.73,2020-02-10 06:00:00
10,1581310800000,1.0003,1.002,0.9988,1.0004,26208.73,2020-02-10 05:00:00
11,1581307200000,0.9999,0.9999,0.9999,0.9999,175.47,2020-02-10 04:00:00
12,1581303600000,1.0001,1.0012,1.0001,1.0001,1912.2,2020-02-10 03:00:00
13,1581300000000,0.9996,1.0,0.9994,1.0,386.08,2020-02-10 02:00:00
14,1581296400000,1.0001,1.0001,1.0001,1.0001,220.67,2020-02-10 01:00:00
15,1581292800000,1.0001,1.0001,1.0001,1.0001,350.53,2020-02-10 00:00:00
16,1581289200000,1.0011,1.0011,1.0001,1.0001,1477.28,2020-02-09 23:00:00
17,1581285600000,1.0019,1.0019,1.0001,1.0013,2235.01,2020-02-09 22:00:00
18,1581282000000,1.0026,1.0027,1.0002,1.0002,956.25,2020-02-09 21:00:00
19,1581278400000,1.0001,1.0026,1.0001,1.0023,787.45,2020-02-09 20:00:00
20,1581274800000,1.0001,1.0024,1.0001,1.0001,520.25,2020-02-09 19:00:00
21,1581271200000,1.0024,1.0024,1.0001,1.0024,350.04,2020-02-09 18:00:00
22,1581267600000,1.0024,1.0024,1.0024,1.0024,43.97,2020-02-09 17:00:00
23,1581264000000,1.0024,1.0027,1.0024,1.0024,161.51,2020-02-09 16:00:00
24,1581260400000,1.0027,1.0027,1.0011,1.0027,172.35,2020-02-09 15:00:00
25,1581256800000,1.001,1.001,1.001,1.001,20.11,2020-02-09 14:00:00
26,1581253200000,0.9994,1.0027,0.9994,1.0027,400.09,2020-02-09 13:00:00
27,1581249600000,1.0019,1.0019,1.0019,1.0019,88.1,2020-02-09 12:00:00
28,1581246000000,1.0012,1.0026,0.9993,0.9993,2627.14,2020-02-09 11:00:00
29,1581242400000,1.0026,1.0026,0.9993,0.9993,724.53,2020-02-09 10:00:00
30,1581238800000,1.0028,1.0029,0.9998,0.9998,177.04,2020-02-09 09:00:00
31,1581235200000,1.002,1.0028,1.002,1.0028,685.07,2020-02-09 08:00:00
32,1581231600000,0.9996,1.002,0.9996,1.002,74.4,2020-02-09 07:00:00
33,1581228000000,1.002,1.0027,1.002,1.0027,367.12,2020-02-09 06:00:00
34,1581224400000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-09 05:00:00
35,1581220800000,1.0024,1.0036,0.9996,0.9997,3081.12,2020-02-09 04:00:00
36,1581217200000,1.0009,1.0024,0.9989,1.0024,24558.72,2020-02-09 03:00:00
37,1581210000000,0.9989,0.9989,0.9989,0.9989,183.54,2020-02-09 01:00:00
38,1581206400000,0.9989,0.9989,0.9989,0.9989,0.0,2020-02-09 00:00:00
39,1581202800000,0.9999,0.9999,0.9989,0.9989,42.01,2020-02-08 23:00:00
40,1581199200000,0.9989,0.9998,0.9989,0.9998,381.95,2020-02-08 22:00:00
41,1581195600000,0.9996,0.9996,0.9989,0.9996,382.34,2020-02-08 21:00:00
42,1581192000000,0.999,0.999,0.9989,0.9989,2155.25,2020-02-08 20:00:00
43,1581188400000,0.999,0.9999,0.999,0.999,257.5,2020-02-08 19:00:00
44,1581184800000,0.999,0.999,0.999,0.999,764.64,2020-02-08 18:00:00
45,1581181200000,0.9989,0.9999,0.9989,0.9999,202.31,2020-02-08 17:00:00
46,1581177600000,0.9989,0.9989,0.9989,0.9989,1143.38,2020-02-08 16:00:00
47,1581174000000,0.9989,0.9989,0.9989,0.9989,260.15,2020-02-08 15:00:00
48,1581170400000,0.999,0.999,0.999,0.999,81.47,2020-02-08 14:00:00
49,1581166800000,1.0001,1.0001,0.9989,0.9993,1468.44,2020-02-08 13:00:00
50,1581163200000,0.999,0.999,0.9989,0.9989,244.52,2020-02-08 12:00:00
51,1581159600000,0.999,0.999,0.999,0.999,107.42,2020-02-08 11:00:00
52,1581156000000,0.9995,1.0001,0.999,0.999,1381.57,2020-02-08 10:00:00
53,1581152400000,0.999,0.999,0.999,0.999,85.2,2020-02-08 09:00:00
54,1581148800000,0.9993,1.0007,0.9992,0.9992,2062.11,2020-02-08 08:00:00
55,1581145200000,1.0007,1.0007,0.9992,0.9992,967.63,2020-02-08 07:00:00
56,1581141600000,0.9993,0.9994,0.9991,0.9992,3808.94,2020-02-08 06:00:00
57,1581138000000,0.9993,0.9993,0.9993,0.9993,734.4,2020-02-08 05:00:00
58,1581134400000,0.9994,0.9994,0.9994,0.9994,44.02,2020-02-08 04:00:00
59,1581130800000,0.9997,0.9997,0.9997,0.9997,83.75,2020-02-08 03:00:00
60,1581127200000,0.9996,1.0019,0.9996,1.0014,836.18,2020-02-08 02:00:00
61,1581123600000,1.0011,1.0011,1.0011,1.0011,0.0,2020-02-08 01:00:00
62,1581120000000,1.0011,1.0011,1.0011,1.0011,0.0,2020-02-08 00:00:00
63,1581116400000,1.0011,1.0011,1.0011,1.0011,22.61,2020-02-07 23:00:00
64,1581112800000,1.0,1.0016,1.0,1.0016,4300.62,2020-02-07 22:00:00
65,1581109200000,1.0001,1.0001,1.0001,1.0001,61.01,2020-02-07 21:00:00
66,1581105600000,1.0003,1.0003,0.9998,1.0,7522.88,2020-02-07 20:00:00
