,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,6.7e-07,6.7e-07,6.6e-07,6.7e-07,2234486.0,2020-02-10 15:00:00
1,1581343200000,6.7e-07,6.7e-07,6.6e-07,6.6e-07,9050635.0,2020-02-10 14:00:00
2,1581339600000,6.6e-07,6.7e-07,6.5e-07,6.7e-07,34443205.0,2020-02-10 13:00:00
3,1581336000000,6.6e-07,6.7e-07,6.5e-07,6.6e-07,47021552.0,2020-02-10 12:00:00
4,1581332400000,6.5e-07,6.6e-07,6.4e-07,6.6e-07,56442122.0,2020-02-10 11:00:00
5,1581328800000,6.6e-07,6.6e-07,6.5e-07,6.6e-07,15483228.0,2020-02-10 10:00:00
6,1581325200000,6.7e-07,6.7e-07,6.5e-07,6.6e-07,82705691.0,2020-02-10 09:00:00
7,1581321600000,6.8e-07,6.8e-07,6.6e-07,6.7e-07,29975129.0,2020-02-10 08:00:00
8,1581318000000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,7911011.0,2020-02-10 07:00:00
9,1581314400000,6.7e-07,6.8e-07,6.7e-07,6.7e-07,8183077.0,2020-02-10 06:00:00
10,1581310800000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,8587733.0,2020-02-10 05:00:00
11,1581307200000,6.8e-07,6.8e-07,6.7e-07,6.7e-07,2087704.0,2020-02-10 04:00:00
12,1581303600000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,8440483.0,2020-02-10 03:00:00
13,1581300000000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,3360285.0,2020-02-10 02:00:00
14,1581296400000,6.8e-07,6.8e-07,6.7e-07,6.7e-07,4536140.0,2020-02-10 01:00:00
15,1581292800000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,9323032.0,2020-02-10 00:00:00
16,1581289200000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,5776637.0,2020-02-09 23:00:00
17,1581285600000,6.7e-07,6.8e-07,6.7e-07,6.8e-07,8130169.0,2020-02-09 22:00:00
18,1581282000000,6.7e-07,6.8e-07,6.7e-07,6.7e-07,3839182.0,2020-02-09 21:00:00
19,1581278400000,6.8e-07,6.8e-07,6.7e-07,6.7e-07,5093248.0,2020-02-09 20:00:00
20,1581274800000,6.7e-07,6.8e-07,6.7e-07,6.8e-07,7720845.0,2020-02-09 19:00:00
21,1581271200000,6.7e-07,6.8e-07,6.7e-07,6.7e-07,3540127.0,2020-02-09 18:00:00
22,1581267600000,6.8e-07,6.8e-07,6.7e-07,6.7e-07,21838709.0,2020-02-09 17:00:00
23,1581264000000,6.7e-07,6.8e-07,6.6e-07,6.8e-07,26909097.0,2020-02-09 16:00:00
24,1581260400000,6.8e-07,6.8e-07,6.6e-07,6.7e-07,37660564.0,2020-02-09 15:00:00
25,1581256800000,6.8e-07,6.8e-07,6.7e-07,6.8e-07,15492133.0,2020-02-09 14:00:00
