,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.37e-06,2.39e-06,2.35e-06,2.37e-06,153720.0,2020-02-10 15:00:00
1,1581343200000,2.35e-06,2.39e-06,2.34e-06,2.39e-06,573498.0,2020-02-10 14:00:00
2,1581339600000,2.35e-06,2.36e-06,2.33e-06,2.35e-06,662319.0,2020-02-10 13:00:00
3,1581336000000,2.34e-06,2.37e-06,2.32e-06,2.35e-06,688961.0,2020-02-10 12:00:00
4,1581332400000,2.34e-06,2.35e-06,2.33e-06,2.33e-06,162565.0,2020-02-10 11:00:00
5,1581328800000,2.34e-06,2.35e-06,2.32e-06,2.33e-06,100455.0,2020-02-10 10:00:00
6,1581325200000,2.36e-06,2.36e-06,2.32e-06,2.34e-06,354228.0,2020-02-10 09:00:00
7,1581321600000,2.35e-06,2.39e-06,2.35e-06,2.36e-06,752843.0,2020-02-10 08:00:00
8,1581318000000,2.33e-06,2.37e-06,2.33e-06,2.36e-06,5012868.0,2020-02-10 07:00:00
9,1581314400000,2.33e-06,2.35e-06,2.3e-06,2.34e-06,6176160.0,2020-02-10 06:00:00
10,1581310800000,2.34e-06,2.35e-06,2.33e-06,2.34e-06,184884.0,2020-02-10 05:00:00
11,1581307200000,2.33e-06,2.34e-06,2.33e-06,2.34e-06,9655.0,2020-02-10 04:00:00
12,1581303600000,2.33e-06,2.34e-06,2.33e-06,2.33e-06,140519.0,2020-02-10 03:00:00
13,1581300000000,2.35e-06,2.37e-06,2.32e-06,2.33e-06,310465.0,2020-02-10 02:00:00
14,1581296400000,2.34e-06,2.37e-06,2.33e-06,2.36e-06,475764.0,2020-02-10 01:00:00
15,1581292800000,2.32e-06,2.34e-06,2.31e-06,2.34e-06,130144.0,2020-02-10 00:00:00
16,1581289200000,2.33e-06,2.34e-06,2.32e-06,2.32e-06,30324.0,2020-02-09 23:00:00
17,1581285600000,2.35e-06,2.35e-06,2.32e-06,2.33e-06,503485.0,2020-02-09 22:00:00
18,1581282000000,2.34e-06,2.36e-06,2.34e-06,2.35e-06,4382488.0,2020-02-09 21:00:00
19,1581278400000,2.34e-06,2.35e-06,2.32e-06,2.35e-06,5597219.0,2020-02-09 20:00:00
20,1581274800000,2.35e-06,2.36e-06,2.34e-06,2.34e-06,371564.0,2020-02-09 19:00:00
21,1581271200000,2.34e-06,2.35e-06,2.34e-06,2.34e-06,54887.0,2020-02-09 18:00:00
22,1581267600000,2.34e-06,2.35e-06,2.33e-06,2.34e-06,340926.0,2020-02-09 17:00:00
23,1581264000000,2.33e-06,2.35e-06,2.33e-06,2.33e-06,1637820.0,2020-02-09 16:00:00
24,1581260400000,2.34e-06,2.35e-06,2.31e-06,2.32e-06,489258.0,2020-02-09 15:00:00
25,1581256800000,2.3e-06,2.34e-06,2.3e-06,2.34e-06,1865747.0,2020-02-09 14:00:00
26,1581253200000,2.29e-06,2.31e-06,2.28e-06,2.3e-06,823129.0,2020-02-09 13:00:00
