,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.01187,0.01199,0.01181,0.01181,381.7,2020-02-10 15:00:00
1,1581343200000,0.01187,0.01187,0.01171,0.01185,438.7,2020-02-10 14:00:00
2,1581339600000,0.01188,0.01194,0.0117,0.01182,3731.8,2020-02-10 13:00:00
3,1581336000000,0.01189,0.01189,0.01173,0.01188,3147.0,2020-02-10 12:00:00
4,1581332400000,0.01187,0.01193,0.01182,0.01188,6494.5,2020-02-10 11:00:00
5,1581328800000,0.01191,0.01224,0.01187,0.01192,6839.8,2020-02-10 10:00:00
6,1581325200000,0.01199,0.0122,0.01174,0.01186,6570.5,2020-02-10 09:00:00
7,1581321600000,0.01276,0.01276,0.01184,0.01192,7874.1,2020-02-10 08:00:00
8,1581318000000,0.01221,0.01273,0.01216,0.01273,1474.7,2020-02-10 07:00:00
9,1581314400000,0.01272,0.01272,0.01198,0.01221,64686.6,2020-02-10 06:00:00
10,1581310800000,0.01279,0.01286,0.01275,0.0128,907.1,2020-02-10 05:00:00
11,1581307200000,0.01265,0.01284,0.01265,0.01275,732.2,2020-02-10 04:00:00
12,1581303600000,0.01283,0.01288,0.01253,0.01265,4808.7,2020-02-10 03:00:00
13,1581300000000,0.01307,0.01311,0.01268,0.01285,5701.8,2020-02-10 02:00:00
14,1581296400000,0.01305,0.01324,0.01299,0.013,9675.2,2020-02-10 01:00:00
15,1581292800000,0.01293,0.01304,0.01288,0.01295,3532.8,2020-02-10 00:00:00
16,1581289200000,0.0129,0.0129,0.0129,0.0129,33.9,2020-02-09 23:00:00
17,1581285600000,0.01284,0.01305,0.01268,0.01305,1424.4,2020-02-09 22:00:00
18,1581282000000,0.01296,0.01296,0.01277,0.01277,453.2,2020-02-09 21:00:00
19,1581278400000,0.01324,0.01324,0.01292,0.013,2211.3,2020-02-09 20:00:00
20,1581274800000,0.01327,0.01327,0.01321,0.01324,189.8,2020-02-09 19:00:00
21,1581271200000,0.01352,0.01352,0.01302,0.01317,3988.8,2020-02-09 18:00:00
22,1581267600000,0.01315,0.01367,0.01285,0.01341,15510.6,2020-02-09 17:00:00
23,1581264000000,0.01312,0.01338,0.01296,0.01325,7923.9,2020-02-09 16:00:00
24,1581260400000,0.01363,0.01364,0.01274,0.01305,33975.0,2020-02-09 15:00:00
25,1581256800000,0.01344,0.01392,0.01335,0.0137,9630.3,2020-02-09 14:00:00
26,1581253200000,0.01319,0.01392,0.01296,0.01346,12533.0,2020-02-09 13:00:00
27,1581249600000,0.01285,0.01356,0.01285,0.01325,49872.4,2020-02-09 12:00:00
28,1581246000000,0.01273,0.01285,0.01273,0.01285,262.8,2020-02-09 11:00:00
29,1581242400000,0.01273,0.01274,0.01273,0.01274,254.5,2020-02-09 10:00:00
30,1581238800000,0.01261,0.0127,0.01254,0.01266,8018.5,2020-02-09 09:00:00
31,1581235200000,0.01247,0.01262,0.01241,0.01254,1629.9,2020-02-09 08:00:00
32,1581231600000,0.01247,0.01255,0.01247,0.01254,4447.8,2020-02-09 07:00:00
33,1581228000000,0.0121,0.01267,0.01203,0.01233,5636.2,2020-02-09 06:00:00
34,1581224400000,0.0118,0.01229,0.0118,0.0121,5052.8,2020-02-09 05:00:00
35,1581220800000,0.0118,0.01189,0.01166,0.01189,3478.8,2020-02-09 04:00:00
36,1581217200000,0.0125,0.0125,0.01183,0.01183,4447.2,2020-02-09 03:00:00
37,1581210000000,0.01253,0.01254,0.01247,0.01247,3846.1,2020-02-09 01:00:00
38,1581206400000,0.01268,0.01269,0.01253,0.01256,12537.2,2020-02-09 00:00:00
39,1581202800000,0.01275,0.01275,0.01265,0.01265,18344.3,2020-02-08 23:00:00
40,1581199200000,0.01259,0.01289,0.01259,0.01276,2369.2,2020-02-08 22:00:00
41,1581195600000,0.01291,0.01304,0.01251,0.01256,5332.4,2020-02-08 21:00:00
42,1581192000000,0.01308,0.01311,0.01293,0.01296,4297.7,2020-02-08 20:00:00
43,1581188400000,0.01295,0.01344,0.01291,0.01291,4072.4,2020-02-08 19:00:00
44,1581184800000,0.01286,0.01326,0.01286,0.0129,38802.3,2020-02-08 18:00:00
45,1581181200000,0.01287,0.01296,0.01267,0.01286,4168.7,2020-02-08 17:00:00
46,1581177600000,0.01295,0.01296,0.01284,0.01284,2381.8,2020-02-08 16:00:00
47,1581174000000,0.01279,0.013,0.01275,0.013,2141.2,2020-02-08 15:00:00
48,1581170400000,0.01269,0.01294,0.01264,0.01281,1968.1,2020-02-08 14:00:00
49,1581166800000,0.0128,0.0128,0.01265,0.01269,1608.0,2020-02-08 13:00:00
50,1581163200000,0.01294,0.01305,0.01268,0.01277,41985.8,2020-02-08 12:00:00
51,1581159600000,0.01296,0.01308,0.01282,0.01282,24159.1,2020-02-08 11:00:00
52,1581156000000,0.0127,0.01296,0.0127,0.01296,4037.4,2020-02-08 10:00:00
53,1581152400000,0.01263,0.01263,0.01256,0.01262,1157.6,2020-02-08 09:00:00
54,1581148800000,0.01281,0.01281,0.01266,0.01276,1453.0,2020-02-08 08:00:00
55,1581145200000,0.01268,0.01286,0.01248,0.01275,8272.1,2020-02-08 07:00:00
56,1581141600000,0.01265,0.01274,0.01261,0.01274,11307.9,2020-02-08 06:00:00
57,1581138000000,0.01278,0.01285,0.01265,0.01274,14048.7,2020-02-08 05:00:00
58,1581134400000,0.01281,0.01281,0.01274,0.01274,1177.8,2020-02-08 04:00:00
59,1581130800000,0.01277,0.01289,0.01267,0.01276,1984.5,2020-02-08 03:00:00
60,1581127200000,0.01344,0.01346,0.01256,0.01279,15362.6,2020-02-08 02:00:00
61,1581123600000,0.01363,0.01387,0.01341,0.01341,7014.3,2020-02-08 01:00:00
62,1581120000000,0.01344,0.01363,0.01344,0.01363,27453.3,2020-02-08 00:00:00
63,1581116400000,0.01328,0.01335,0.01314,0.01335,7551.0,2020-02-07 23:00:00
64,1581112800000,0.01338,0.01344,0.01334,0.01334,566.2,2020-02-07 22:00:00
65,1581109200000,0.01331,0.01365,0.01327,0.01352,3021.8,2020-02-07 21:00:00
66,1581105600000,0.01318,0.01348,0.01318,0.01327,1792.0,2020-02-07 20:00:00
