,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.2952,0.2999,0.295,0.2974,55101.35,2020-02-10 15:00:00
1,1581343200000,0.2937,0.2964,0.2907,0.2953,47495.71,2020-02-10 14:00:00
2,1581339600000,0.2938,0.2973,0.2928,0.2938,47034.11,2020-02-10 13:00:00
3,1581336000000,0.2899,0.2944,0.287,0.294,101061.84,2020-02-10 12:00:00
4,1581332400000,0.293,0.2935,0.2875,0.289,58746.71,2020-02-10 11:00:00
5,1581328800000,0.2916,0.2961,0.2911,0.2935,82580.34,2020-02-10 10:00:00
6,1581325200000,0.2999,0.305,0.2856,0.2918,299312.2,2020-02-10 09:00:00
7,1581321600000,0.3157,0.3175,0.2977,0.2985,130052.15,2020-02-10 08:00:00
8,1581318000000,0.301,0.3169,0.3,0.3156,103766.11,2020-02-10 07:00:00
9,1581314400000,0.2975,0.3041,0.292,0.3029,216823.51,2020-02-10 06:00:00
10,1581310800000,0.3046,0.3082,0.2976,0.2976,74397.59,2020-02-10 05:00:00
11,1581307200000,0.302,0.3068,0.3019,0.3046,105924.26,2020-02-10 04:00:00
12,1581303600000,0.3081,0.3099,0.2994,0.3019,92385.87,2020-02-10 03:00:00
13,1581300000000,0.3129,0.3135,0.3021,0.3081,117285.9,2020-02-10 02:00:00
14,1581296400000,0.3152,0.3245,0.3128,0.3129,57146.91,2020-02-10 01:00:00
15,1581292800000,0.3124,0.3153,0.311,0.3147,192301.23,2020-02-10 00:00:00
16,1581289200000,0.3098,0.3131,0.309,0.3124,39223.14,2020-02-09 23:00:00
17,1581285600000,0.308,0.3103,0.3026,0.3099,112173.28,2020-02-09 22:00:00
18,1581282000000,0.309,0.3114,0.3072,0.3086,55689.1,2020-02-09 21:00:00
19,1581278400000,0.3148,0.3163,0.3065,0.3079,76529.97,2020-02-09 20:00:00
20,1581274800000,0.3118,0.3176,0.3115,0.3146,83490.15,2020-02-09 19:00:00
21,1581271200000,0.3219,0.3255,0.31,0.3119,69141.6,2020-02-09 18:00:00
22,1581267600000,0.3141,0.3285,0.3084,0.3219,223432.49,2020-02-09 17:00:00
23,1581264000000,0.3049,0.3234,0.3048,0.3142,302248.81,2020-02-09 16:00:00
24,1581260400000,0.3128,0.3137,0.3023,0.3047,270430.1,2020-02-09 15:00:00
25,1581256800000,0.3069,0.3249,0.3048,0.3128,461371.47,2020-02-09 14:00:00
26,1581253200000,0.3056,0.3189,0.2972,0.3069,278845.3,2020-02-09 13:00:00
27,1581249600000,0.2956,0.3121,0.2956,0.3057,267969.2,2020-02-09 12:00:00
28,1581246000000,0.2907,0.2959,0.2893,0.2959,69559.09,2020-02-09 11:00:00
29,1581242400000,0.2892,0.2915,0.2886,0.2907,57396.75,2020-02-09 10:00:00
30,1581238800000,0.2891,0.2906,0.2886,0.2892,58871.6,2020-02-09 09:00:00
31,1581235200000,0.2898,0.2934,0.2853,0.289,50645.12,2020-02-09 08:00:00
32,1581231600000,0.2875,0.2941,0.2859,0.2899,94129.58,2020-02-09 07:00:00
33,1581228000000,0.2817,0.2962,0.2808,0.288,238995.33,2020-02-09 06:00:00
34,1581224400000,0.2757,0.2841,0.2752,0.2817,62638.81,2020-02-09 05:00:00
35,1581220800000,0.2756,0.2776,0.2729,0.2757,82916.86,2020-02-09 04:00:00
36,1581217200000,0.2772,0.28,0.2712,0.2767,59955.43,2020-02-09 03:00:00
37,1581210000000,0.2774,0.2792,0.2757,0.2773,13275.85,2020-02-09 01:00:00
38,1581206400000,0.277,0.2795,0.2746,0.2775,13432.35,2020-02-09 00:00:00
39,1581202800000,0.2796,0.2796,0.2756,0.2763,28200.91,2020-02-08 23:00:00
40,1581199200000,0.2733,0.2798,0.2732,0.2796,28137.95,2020-02-08 22:00:00
41,1581195600000,0.2823,0.2848,0.2701,0.2733,109802.08,2020-02-08 21:00:00
42,1581192000000,0.2816,0.2852,0.2812,0.2824,63951.88,2020-02-08 20:00:00
43,1581188400000,0.2801,0.2911,0.2801,0.2816,129233.41,2020-02-08 19:00:00
44,1581184800000,0.2779,0.29,0.2757,0.2801,206732.25,2020-02-08 18:00:00
45,1581181200000,0.2799,0.2809,0.2758,0.2758,90878.37,2020-02-08 17:00:00
46,1581177600000,0.2815,0.2826,0.2788,0.2799,53266.66,2020-02-08 16:00:00
47,1581174000000,0.2793,0.2837,0.2784,0.2815,24011.8,2020-02-08 15:00:00
48,1581170400000,0.2776,0.2827,0.2775,0.2792,28053.44,2020-02-08 14:00:00
49,1581166800000,0.2802,0.2818,0.2763,0.2785,83506.24,2020-02-08 13:00:00
50,1581163200000,0.2831,0.2866,0.28,0.2801,90005.17,2020-02-08 12:00:00
51,1581159600000,0.2835,0.2877,0.2798,0.2827,225517.88,2020-02-08 11:00:00
52,1581156000000,0.2788,0.2854,0.2788,0.2834,68843.3,2020-02-08 10:00:00
53,1581152400000,0.2822,0.2829,0.2774,0.2788,59988.88,2020-02-08 09:00:00
54,1581148800000,0.2788,0.283,0.2769,0.2827,84007.93,2020-02-08 08:00:00
55,1581145200000,0.2767,0.2803,0.2744,0.2788,118319.38,2020-02-08 07:00:00
56,1581141600000,0.2764,0.2794,0.2732,0.2782,104025.05,2020-02-08 06:00:00
57,1581138000000,0.276,0.2772,0.2723,0.2765,81205.5,2020-02-08 05:00:00
58,1581134400000,0.2735,0.2771,0.2723,0.2763,34404.99,2020-02-08 04:00:00
59,1581130800000,0.2705,0.2744,0.2639,0.2736,121978.19,2020-02-08 03:00:00
60,1581127200000,0.2893,0.2895,0.2679,0.2705,326474.34,2020-02-08 02:00:00
61,1581123600000,0.2931,0.2935,0.2857,0.2895,258410.79,2020-02-08 01:00:00
62,1581120000000,0.2946,0.2955,0.293,0.2931,81158.61,2020-02-08 00:00:00
63,1581116400000,0.2941,0.2955,0.293,0.2946,56663.26,2020-02-07 23:00:00
64,1581112800000,0.2963,0.2974,0.293,0.2941,104509.76,2020-02-07 22:00:00
65,1581109200000,0.293,0.3014,0.293,0.2962,72145.21,2020-02-07 21:00:00
66,1581105600000,0.2949,0.2993,0.293,0.293,123020.63,2020-02-07 20:00:00
67,1581102000000,0.2976,0.2993,0.2943,0.2948,33481.18,2020-02-07 19:00:00
68,1581098400000,0.2942,0.2997,0.2932,0.2976,86740.89,2020-02-07 18:00:00
69,1581094800000,0.2956,0.2991,0.2936,0.2942,46572.5,2020-02-07 17:00:00
70,1581091200000,0.3026,0.3032,0.2952,0.2957,70242.75,2020-02-07 16:00:00
71,1581087600000,0.2975,0.3037,0.2975,0.3026,86488.06,2020-02-07 15:00:00
72,1581084000000,0.298,0.3,0.2939,0.2965,78608.28,2020-02-07 14:00:00
73,1581080400000,0.2973,0.3017,0.2968,0.2999,76436.59,2020-02-07 13:00:00
74,1581076800000,0.3024,0.3068,0.2945,0.2967,156209.19,2020-02-07 12:00:00
75,1581073200000,0.299,0.3068,0.2988,0.3024,208611.81,2020-02-07 11:00:00
76,1581069600000,0.2888,0.3007,0.2888,0.299,343712.5,2020-02-07 10:00:00
77,1581066000000,0.2861,0.2904,0.286,0.2889,56029.88,2020-02-07 09:00:00
78,1581062400000,0.2859,0.2913,0.2856,0.2862,83931.51,2020-02-07 08:00:00
79,1581058800000,0.2862,0.2882,0.2845,0.2859,79967.08,2020-02-07 07:00:00
80,1581055200000,0.2853,0.287,0.2834,0.2861,19851.65,2020-02-07 06:00:00
81,1581051600000,0.286,0.2876,0.2826,0.2855,122145.84,2020-02-07 05:00:00
82,1581048000000,0.2896,0.2899,0.2855,0.2863,85522.08,2020-02-07 04:00:00
83,1581044400000,0.2901,0.2922,0.289,0.2898,29085.14,2020-02-07 03:00:00
