,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.05083,0.05083,0.0499,0.05012,1870.9,2020-02-10 15:00:00
1,1581343200000,0.04999,0.05143,0.04975,0.05066,4670.7,2020-02-10 14:00:00
2,1581339600000,0.0512,0.05132,0.04906,0.04999,6009.2,2020-02-10 13:00:00
3,1581336000000,0.05199,0.05372,0.05092,0.0512,9203.8,2020-02-10 12:00:00
4,1581332400000,0.05251,0.054,0.05077,0.05182,21985.3,2020-02-10 11:00:00
5,1581328800000,0.04937,0.05288,0.04937,0.0526,8326.9,2020-02-10 10:00:00
6,1581325200000,0.04762,0.0508,0.04762,0.04928,14447.4,2020-02-10 09:00:00
7,1581321600000,0.04629,0.04949,0.04517,0.04747,20894.5,2020-02-10 08:00:00
8,1581318000000,0.04593,0.04633,0.04573,0.04605,2156.4,2020-02-10 07:00:00
9,1581314400000,0.04771,0.04783,0.04578,0.04611,4160.0,2020-02-10 06:00:00
10,1581310800000,0.04834,0.04858,0.04783,0.04783,2678.6,2020-02-10 05:00:00
11,1581307200000,0.04792,0.04839,0.04727,0.04816,2098.8,2020-02-10 04:00:00
12,1581303600000,0.04824,0.04895,0.04805,0.04811,1831.4,2020-02-10 03:00:00
13,1581300000000,0.04713,0.04878,0.04713,0.04818,4834.4,2020-02-10 02:00:00
14,1581296400000,0.04643,0.04711,0.04622,0.04711,3515.4,2020-02-10 01:00:00
15,1581292800000,0.04546,0.04643,0.04539,0.04643,1235.3,2020-02-10 00:00:00
16,1581289200000,0.04621,0.04621,0.04554,0.04554,1941.7,2020-02-09 23:00:00
17,1581285600000,0.04574,0.04643,0.04574,0.04643,1452.6,2020-02-09 22:00:00
18,1581282000000,0.04574,0.04599,0.04542,0.04552,661.7,2020-02-09 21:00:00
19,1581278400000,0.04606,0.04606,0.04584,0.04599,214.5,2020-02-09 20:00:00
20,1581274800000,0.0466,0.04662,0.04573,0.04612,3189.8,2020-02-09 19:00:00
21,1581271200000,0.04606,0.0466,0.04589,0.0466,1149.3,2020-02-09 18:00:00
22,1581267600000,0.04585,0.04597,0.04536,0.04597,1737.6,2020-02-09 17:00:00
23,1581264000000,0.04687,0.04722,0.0456,0.04597,1263.4,2020-02-09 16:00:00
24,1581260400000,0.04795,0.0481,0.04659,0.04688,3927.6,2020-02-09 15:00:00
25,1581256800000,0.04839,0.04843,0.0481,0.04838,615.0,2020-02-09 14:00:00
26,1581253200000,0.04811,0.04839,0.0481,0.0481,110.6,2020-02-09 13:00:00
27,1581249600000,0.04811,0.0485,0.0481,0.0485,381.0,2020-02-09 12:00:00
28,1581246000000,0.04834,0.04839,0.04782,0.04839,48.0,2020-02-09 11:00:00
29,1581242400000,0.04788,0.04839,0.04788,0.0481,64.5,2020-02-09 10:00:00
30,1581238800000,0.04837,0.04857,0.04768,0.0479,3559.1,2020-02-09 09:00:00
31,1581235200000,0.04812,0.04884,0.04802,0.0484,3330.6,2020-02-09 08:00:00
32,1581231600000,0.04747,0.04812,0.04721,0.04812,489.7,2020-02-09 07:00:00
33,1581228000000,0.04687,0.04752,0.04687,0.04747,842.1,2020-02-09 06:00:00
34,1581224400000,0.04688,0.04762,0.04688,0.04697,325.0,2020-02-09 05:00:00
35,1581220800000,0.04643,0.04724,0.04606,0.04689,3104.8,2020-02-09 04:00:00
36,1581217200000,0.04846,0.04846,0.04652,0.04652,3401.3,2020-02-09 03:00:00
37,1581210000000,0.04858,0.04867,0.04826,0.04826,1040.7,2020-02-09 01:00:00
38,1581206400000,0.04842,0.04874,0.04802,0.04865,1115.0,2020-02-09 00:00:00
39,1581202800000,0.04864,0.04864,0.04844,0.04844,701.4,2020-02-08 23:00:00
40,1581199200000,0.04857,0.04887,0.04853,0.04853,200.3,2020-02-08 22:00:00
41,1581195600000,0.04888,0.049,0.04845,0.04853,1426.6,2020-02-08 21:00:00
42,1581192000000,0.04902,0.04902,0.0486,0.04896,485.2,2020-02-08 20:00:00
43,1581188400000,0.04879,0.04911,0.04878,0.04911,853.8,2020-02-08 19:00:00
44,1581184800000,0.04962,0.04967,0.04887,0.04887,385.8,2020-02-08 18:00:00
45,1581181200000,0.04927,0.04955,0.04927,0.04955,47.9,2020-02-08 17:00:00
46,1581177600000,0.04952,0.04952,0.04915,0.04927,113.9,2020-02-08 16:00:00
47,1581174000000,0.04888,0.04961,0.04888,0.04961,965.4,2020-02-08 15:00:00
48,1581170400000,0.04879,0.049,0.0486,0.049,235.2,2020-02-08 14:00:00
49,1581166800000,0.04923,0.04923,0.04889,0.04889,880.4,2020-02-08 13:00:00
50,1581163200000,0.04949,0.04955,0.04929,0.0494,44.5,2020-02-08 12:00:00
51,1581159600000,0.04917,0.04949,0.04917,0.04949,95.0,2020-02-08 11:00:00
52,1581156000000,0.04891,0.04942,0.04881,0.04921,893.9,2020-02-08 10:00:00
53,1581152400000,0.04893,0.04908,0.04864,0.04878,61.7,2020-02-08 09:00:00
54,1581148800000,0.04879,0.04916,0.04873,0.04873,3742.7,2020-02-08 08:00:00
55,1581145200000,0.04859,0.04859,0.04859,0.04859,111.4,2020-02-08 07:00:00
56,1581141600000,0.04841,0.04889,0.04829,0.04859,131.0,2020-02-08 06:00:00
57,1581138000000,0.04894,0.04922,0.04856,0.04866,1965.5,2020-02-08 05:00:00
58,1581134400000,0.0487,0.04895,0.04864,0.04895,1103.4,2020-02-08 04:00:00
59,1581130800000,0.04971,0.04995,0.04872,0.04872,1203.8,2020-02-08 03:00:00
60,1581127200000,0.04912,0.04993,0.04906,0.04952,520.4,2020-02-08 02:00:00
61,1581123600000,0.0505,0.0511,0.04906,0.04906,4230.5,2020-02-08 01:00:00
62,1581120000000,0.04951,0.05044,0.04951,0.05044,638.7,2020-02-08 00:00:00
63,1581116400000,0.04937,0.04951,0.04899,0.04951,1459.4,2020-02-07 23:00:00
64,1581112800000,0.04984,0.0501,0.04946,0.04946,518.1,2020-02-07 22:00:00
65,1581109200000,0.04964,0.04985,0.0495,0.04967,57.1,2020-02-07 21:00:00
66,1581105600000,0.04962,0.05,0.04952,0.04952,2486.4,2020-02-07 20:00:00
67,1581102000000,0.05054,0.05069,0.04962,0.04962,1320.2,2020-02-07 19:00:00
68,1581098400000,0.05037,0.05054,0.05007,0.05054,183.6,2020-02-07 18:00:00
69,1581094800000,0.05022,0.05069,0.04979,0.05059,881.7,2020-02-07 17:00:00
70,1581091200000,0.05029,0.05063,0.04999,0.05035,460.1,2020-02-07 16:00:00
71,1581087600000,0.05063,0.0512,0.05033,0.05033,594.2,2020-02-07 15:00:00
72,1581084000000,0.05021,0.0512,0.04996,0.05082,2497.4,2020-02-07 14:00:00
73,1581080400000,0.05118,0.05118,0.05024,0.05033,3298.3,2020-02-07 13:00:00
74,1581076800000,0.04975,0.05166,0.04874,0.05112,6579.6,2020-02-07 12:00:00
75,1581073200000,0.04988,0.051,0.04917,0.04975,4648.8,2020-02-07 11:00:00
76,1581069600000,0.05175,0.05189,0.04997,0.04997,3548.0,2020-02-07 10:00:00
77,1581066000000,0.05124,0.05175,0.0501,0.05175,3562.1,2020-02-07 09:00:00
78,1581062400000,0.0485,0.05142,0.0485,0.05132,5282.8,2020-02-07 08:00:00
79,1581058800000,0.04845,0.04845,0.04817,0.0484,678.5,2020-02-07 07:00:00
80,1581055200000,0.04903,0.04903,0.04845,0.04845,250.8,2020-02-07 06:00:00
81,1581051600000,0.04923,0.04923,0.04882,0.04902,459.8,2020-02-07 05:00:00
82,1581048000000,0.05001,0.05047,0.04933,0.04933,2294.2,2020-02-07 04:00:00
83,1581044400000,0.05035,0.05035,0.04938,0.05009,996.3,2020-02-07 03:00:00
84,1581040800000,0.05008,0.0507,0.05008,0.05039,2114.1,2020-02-07 02:00:00
85,1581037200000,0.04983,0.05037,0.04976,0.04995,238.1,2020-02-07 01:00:00
86,1581033600000,0.05005,0.05005,0.04979,0.04979,184.2,2020-02-07 00:00:00
87,1581030000000,0.04979,0.05037,0.04952,0.05007,1407.0,2020-02-06 23:00:00
88,1581026400000,0.04964,0.05009,0.04938,0.04985,3735.1,2020-02-06 22:00:00
89,1581022800000,0.04923,0.04993,0.04923,0.04993,2104.4,2020-02-06 21:00:00
90,1581019200000,0.04885,0.04937,0.04885,0.04908,605.3,2020-02-06 20:00:00
91,1581015600000,0.04867,0.04896,0.04863,0.04896,499.6,2020-02-06 19:00:00
92,1581012000000,0.04896,0.04902,0.04836,0.04836,2065.6,2020-02-06 18:00:00
93,1581008400000,0.04842,0.04947,0.04842,0.04919,840.8,2020-02-06 17:00:00
94,1581004800000,0.04894,0.04894,0.04817,0.04844,2806.7,2020-02-06 16:00:00
95,1581001200000,0.04942,0.04953,0.04874,0.04874,747.8,2020-02-06 15:00:00
96,1580997600000,0.04964,0.05011,0.04889,0.04943,830.8,2020-02-06 14:00:00
97,1580994000000,0.0497,0.05057,0.04923,0.04964,2304.4,2020-02-06 13:00:00
98,1580990400000,0.0504,0.05066,0.04962,0.04963,1933.0,2020-02-06 12:00:00
99,1580986800000,0.0505,0.05066,0.0502,0.05035,1358.4,2020-02-06 11:00:00
100,1580983200000,0.05069,0.05081,0.05052,0.05052,2600.8,2020-02-06 10:00:00
101,1580979600000,0.05154,0.05154,0.0507,0.0507,4685.5,2020-02-06 09:00:00
102,1580976000000,0.05151,0.05151,0.05133,0.05136,13.4,2020-02-06 08:00:00
103,1580972400000,0.05163,0.05182,0.05128,0.05151,514.6,2020-02-06 07:00:00
104,1580968800000,0.05186,0.05204,0.05158,0.05158,81.7,2020-02-06 06:00:00
105,1580965200000,0.05189,0.05189,0.05186,0.05186,13.7,2020-02-06 05:00:00
