,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.2662,1.2666,1.2526,1.2526,52749.99,2020-02-10 15:00:00
1,1581343200000,1.2449,1.2798,1.2321,1.2622,164822.55,2020-02-10 14:00:00
2,1581339600000,1.2675,1.2751,1.2216,1.2445,231797.64,2020-02-10 13:00:00
3,1581336000000,1.27,1.311,1.2602,1.2675,302098.45,2020-02-10 12:00:00
4,1581332400000,1.2908,1.3184,1.2408,1.27,548158.41,2020-02-10 11:00:00
5,1581328800000,1.206,1.3022,1.206,1.292,207113.19,2020-02-10 10:00:00
6,1581325200000,1.19,1.2411,1.1764,1.205,355373.87,2020-02-10 09:00:00
7,1581321600000,1.144,1.19,1.14,1.19,165969.02,2020-02-10 08:00:00
8,1581318000000,1.1303,1.149,1.1302,1.1442,37014.47,2020-02-10 07:00:00
9,1581314400000,1.1141,1.1516,1.1098,1.1333,145807.96,2020-02-10 06:00:00
10,1581310800000,1.1495,1.1614,1.1137,1.1232,82749.48,2020-02-10 05:00:00
11,1581307200000,1.1465,1.1541,1.1263,1.1483,65800.55,2020-02-10 04:00:00
12,1581303600000,1.1624,1.17,1.1429,1.15,40806.63,2020-02-10 03:00:00
13,1581300000000,1.1387,1.17,1.1387,1.1577,158875.03,2020-02-10 02:00:00
14,1581296400000,1.1242,1.1377,1.119,1.1348,70907.35,2020-02-10 01:00:00
15,1581292800000,1.1097,1.1274,1.1063,1.1274,71095.82,2020-02-10 00:00:00
16,1581289200000,1.1063,1.11,1.0995,1.11,93643.81,2020-02-09 23:00:00
17,1581285600000,1.095,1.1069,1.095,1.1063,22176.48,2020-02-09 22:00:00
18,1581282000000,1.0944,1.0979,1.0931,1.095,11604.12,2020-02-09 21:00:00
19,1581278400000,1.0982,1.0983,1.0903,1.0944,16238.49,2020-02-09 20:00:00
20,1581274800000,1.0959,1.1,1.0938,1.095,66561.02,2020-02-09 19:00:00
21,1581271200000,1.0974,1.0991,1.0941,1.0959,31320.76,2020-02-09 18:00:00
22,1581267600000,1.0953,1.0982,1.0894,1.0975,43862.46,2020-02-09 17:00:00
23,1581264000000,1.0899,1.0979,1.0879,1.0964,49900.78,2020-02-09 16:00:00
24,1581260400000,1.1039,1.104,1.0876,1.0921,82219.73,2020-02-09 15:00:00
25,1581256800000,1.1014,1.109,1.1,1.1039,29893.17,2020-02-09 14:00:00
26,1581253200000,1.1095,1.11,1.1,1.1054,30713.54,2020-02-09 13:00:00
27,1581249600000,1.1094,1.1126,1.1066,1.1094,27727.33,2020-02-09 12:00:00
