,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.74e-06,4.79e-06,4.73e-06,4.74e-06,87890812.0,2020-02-10 15:00:00
1,1581343200000,4.72e-06,4.8e-06,4.7e-06,4.74e-06,122237352.0,2020-02-10 14:00:00
2,1581339600000,4.73e-06,4.77e-06,4.65e-06,4.72e-06,141601526.0,2020-02-10 13:00:00
3,1581336000000,4.76e-06,4.78e-06,4.7e-06,4.74e-06,123837922.0,2020-02-10 12:00:00
4,1581332400000,4.73e-06,4.83e-06,4.69e-06,4.76e-06,121901964.0,2020-02-10 11:00:00
5,1581328800000,4.77e-06,4.88e-06,4.71e-06,4.74e-06,138719663.0,2020-02-10 10:00:00
6,1581325200000,4.64e-06,4.82e-06,4.64e-06,4.74e-06,128376201.0,2020-02-10 09:00:00
7,1581321600000,4.81e-06,4.81e-06,4.61e-06,4.66e-06,108798563.0,2020-02-10 08:00:00
8,1581318000000,4.89e-06,4.89e-06,4.75e-06,4.8e-06,119725804.0,2020-02-10 07:00:00
9,1581314400000,5.13e-06,5.13e-06,4.83e-06,4.89e-06,145558661.0,2020-02-10 06:00:00
10,1581310800000,5.08e-06,5.14e-06,5.06e-06,5.12e-06,96602295.0,2020-02-10 05:00:00
11,1581307200000,5.11e-06,5.13e-06,5.06e-06,5.08e-06,93661803.0,2020-02-10 04:00:00
12,1581303600000,5.13e-06,5.16e-06,5.06e-06,5.12e-06,97208394.0,2020-02-10 03:00:00
13,1581300000000,5.1e-06,5.17e-06,5.1e-06,5.13e-06,109548132.0,2020-02-10 02:00:00
14,1581296400000,5.16e-06,5.17e-06,5.04e-06,5.1e-06,120605323.0,2020-02-10 01:00:00
15,1581292800000,5.11e-06,5.17e-06,5.09e-06,5.14e-06,98649226.0,2020-02-10 00:00:00
16,1581289200000,5.19e-06,5.23e-06,5.1e-06,5.13e-06,75021455.0,2020-02-09 23:00:00
17,1581285600000,5.1e-06,5.19e-06,5.1e-06,5.19e-06,43805801.0,2020-02-09 22:00:00
18,1581282000000,5.15e-06,5.17e-06,5.09e-06,5.11e-06,66799660.0,2020-02-09 21:00:00
19,1581278400000,5.17e-06,5.19e-06,5.14e-06,5.15e-06,74874646.0,2020-02-09 20:00:00
20,1581274800000,5.21e-06,5.24e-06,5.14e-06,5.18e-06,92819034.0,2020-02-09 19:00:00
21,1581271200000,5.18e-06,5.23e-06,5.15e-06,5.22e-06,60390795.0,2020-02-09 18:00:00
22,1581267600000,5.2e-06,5.21e-06,5.12e-06,5.17e-06,87351244.0,2020-02-09 17:00:00
23,1581264000000,5.35e-06,5.36e-06,5.16e-06,5.21e-06,119319889.0,2020-02-09 16:00:00
24,1581260400000,5.41e-06,5.41e-06,5.31e-06,5.35e-06,95223876.0,2020-02-09 15:00:00
25,1581256800000,5.48e-06,5.49e-06,5.37e-06,5.41e-06,92076225.0,2020-02-09 14:00:00
26,1581253200000,5.44e-06,5.49e-06,5.44e-06,5.48e-06,91224221.0,2020-02-09 13:00:00
27,1581249600000,5.46e-06,5.49e-06,5.43e-06,5.44e-06,97826077.0,2020-02-09 12:00:00
28,1581246000000,5.48e-06,5.51e-06,5.44e-06,5.46e-06,77969960.0,2020-02-09 11:00:00
