,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.02878,0.0289,0.02814,0.02847,1174.8,2020-02-10 15:00:00
1,1581343200000,0.02781,0.02875,0.02781,0.02875,7382.8,2020-02-10 14:00:00
2,1581339600000,0.02773,0.0278,0.02716,0.0275,10885.1,2020-02-10 13:00:00
3,1581336000000,0.02872,0.02872,0.0275,0.02757,3074.7,2020-02-10 12:00:00
4,1581332400000,0.02847,0.02939,0.02847,0.0285,2574.9,2020-02-10 11:00:00
5,1581328800000,0.02906,0.03014,0.02844,0.02875,8530.3,2020-02-10 10:00:00
6,1581325200000,0.029,0.0293,0.02813,0.029,2048.1,2020-02-10 09:00:00
7,1581321600000,0.02952,0.02952,0.02826,0.02871,10341.5,2020-02-10 08:00:00
8,1581318000000,0.02929,0.02987,0.02906,0.02954,5244.7,2020-02-10 07:00:00
9,1581314400000,0.03035,0.0305,0.02895,0.02903,15625.3,2020-02-10 06:00:00
10,1581310800000,0.03178,0.03201,0.0304,0.0304,33388.7,2020-02-10 05:00:00
11,1581307200000,0.03038,0.03212,0.02974,0.03212,16742.0,2020-02-10 04:00:00
12,1581303600000,0.02882,0.03035,0.02882,0.03035,8213.7,2020-02-10 03:00:00
13,1581300000000,0.02922,0.02922,0.0289,0.02894,226.6,2020-02-10 02:00:00
14,1581296400000,0.02939,0.02943,0.02879,0.02921,2006.2,2020-02-10 01:00:00
15,1581292800000,0.02974,0.03035,0.029,0.02939,3241.4,2020-02-10 00:00:00
16,1581289200000,0.03,0.03081,0.02986,0.02986,3476.6,2020-02-09 23:00:00
17,1581285600000,0.03065,0.03164,0.0295,0.02972,36995.4,2020-02-09 22:00:00
18,1581282000000,0.02913,0.03061,0.02902,0.03046,12196.1,2020-02-09 21:00:00
19,1581278400000,0.02775,0.02907,0.02775,0.02906,3872.0,2020-02-09 20:00:00
20,1581274800000,0.02758,0.02794,0.02748,0.02775,2464.9,2020-02-09 19:00:00
