,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,7.24e-05,7.29e-05,7.12e-05,7.15e-05,213854.3,2020-02-10 15:00:00
1,1581343200000,7.01e-05,7.28e-05,6.99e-05,7.25e-05,341550.67,2020-02-10 14:00:00
2,1581339600000,6.93e-05,7.06e-05,6.91e-05,7.02e-05,282222.94,2020-02-10 13:00:00
3,1581336000000,7.12e-05,7.12e-05,6.92e-05,6.95e-05,229288.33,2020-02-10 12:00:00
4,1581332400000,7.12e-05,7.26e-05,7.07e-05,7.08e-05,341570.54,2020-02-10 11:00:00
5,1581328800000,7.21e-05,7.37e-05,7.08e-05,7.13e-05,418056.59,2020-02-10 10:00:00
6,1581325200000,7.24e-05,7.28e-05,7.02e-05,7.22e-05,516867.4,2020-02-10 09:00:00
7,1581321600000,7.34e-05,7.4e-05,7.2e-05,7.26e-05,338762.14,2020-02-10 08:00:00
8,1581318000000,7.2e-05,7.42e-05,7.17e-05,7.35e-05,373791.08,2020-02-10 07:00:00
9,1581314400000,7.24e-05,7.37e-05,7.06e-05,7.2e-05,651376.97,2020-02-10 06:00:00
10,1581310800000,7.64e-05,7.65e-05,7.24e-05,7.26e-05,1061234.41,2020-02-10 05:00:00
11,1581307200000,7.16e-05,7.67e-05,7.03e-05,7.63e-05,890581.85,2020-02-10 04:00:00
12,1581303600000,6.84e-05,7.19e-05,6.84e-05,7.18e-05,306335.58,2020-02-10 03:00:00
13,1581300000000,6.95e-05,6.96e-05,6.83e-05,6.84e-05,289055.24,2020-02-10 02:00:00
14,1581296400000,7e-05,7.03e-05,6.87e-05,6.95e-05,292403.56,2020-02-10 01:00:00
15,1581292800000,7.12e-05,7.23e-05,6.91e-05,6.99e-05,593982.8,2020-02-10 00:00:00
16,1581289200000,7.05e-05,7.33e-05,7e-05,7.13e-05,558280.62,2020-02-09 23:00:00
17,1581285600000,7.3e-05,7.47e-05,6.97e-05,7.03e-05,1077876.0,2020-02-09 22:00:00
18,1581282000000,6.89e-05,7.3e-05,6.86e-05,7.3e-05,1652897.01,2020-02-09 21:00:00
19,1581278400000,6.54e-05,6.93e-05,6.54e-05,6.9e-05,619893.62,2020-02-09 20:00:00
20,1581274800000,6.42e-05,6.6e-05,6.42e-05,6.53e-05,173228.06,2020-02-09 19:00:00
21,1581271200000,6.56e-05,6.64e-05,6.4e-05,6.42e-05,316468.45,2020-02-09 18:00:00
22,1581267600000,6.6e-05,6.64e-05,6.53e-05,6.56e-05,153124.25,2020-02-09 17:00:00
23,1581264000000,6.49e-05,6.61e-05,6.33e-05,6.6e-05,434747.11,2020-02-09 16:00:00
24,1581260400000,6.53e-05,6.7e-05,6.36e-05,6.47e-05,477593.94,2020-02-09 15:00:00
25,1581256800000,6.64e-05,6.74e-05,6.49e-05,6.52e-05,419448.26,2020-02-09 14:00:00
26,1581253200000,6.75e-05,6.89e-05,6.6e-05,6.63e-05,643486.24,2020-02-09 13:00:00
27,1581249600000,6.67e-05,6.93e-05,6.47e-05,6.73e-05,834927.16,2020-02-09 12:00:00
28,1581246000000,6.24e-05,6.9e-05,6.23e-05,6.67e-05,1500354.74,2020-02-09 11:00:00
29,1581242400000,6.32e-05,6.38e-05,6.21e-05,6.22e-05,345635.31,2020-02-09 10:00:00
30,1581238800000,6.03e-05,6.4e-05,5.96e-05,6.32e-05,671197.46,2020-02-09 09:00:00
31,1581235200000,5.99e-05,6.08e-05,5.92e-05,6.05e-05,78285.11,2020-02-09 08:00:00
32,1581231600000,6.08e-05,6.09e-05,5.96e-05,5.97e-05,94315.44,2020-02-09 07:00:00
33,1581228000000,5.97e-05,6.12e-05,5.95e-05,6.07e-05,208891.09,2020-02-09 06:00:00
34,1581224400000,5.83e-05,5.98e-05,5.82e-05,5.96e-05,229718.34,2020-02-09 05:00:00
35,1581220800000,5.85e-05,5.89e-05,5.76e-05,5.83e-05,173548.74,2020-02-09 04:00:00
36,1581217200000,6.05e-05,6.09e-05,5.75e-05,5.84e-05,296087.6,2020-02-09 03:00:00
37,1581210000000,6.08e-05,6.12e-05,5.97e-05,6.02e-05,213965.02,2020-02-09 01:00:00
38,1581206400000,5.95e-05,6.08e-05,5.95e-05,6.07e-05,132168.76,2020-02-09 00:00:00
39,1581202800000,5.86e-05,5.98e-05,5.86e-05,5.97e-05,57759.78,2020-02-08 23:00:00
40,1581199200000,5.81e-05,5.98e-05,5.8e-05,5.84e-05,197387.23,2020-02-08 22:00:00
41,1581195600000,6.04e-05,6.04e-05,5.73e-05,5.82e-05,284982.34,2020-02-08 21:00:00
42,1581192000000,5.93e-05,6.04e-05,5.87e-05,6.03e-05,297590.3,2020-02-08 20:00:00
43,1581188400000,5.98e-05,6.01e-05,5.88e-05,5.94e-05,128660.28,2020-02-08 19:00:00
44,1581184800000,6.03e-05,6.03e-05,5.88e-05,5.97e-05,251232.13,2020-02-08 18:00:00
45,1581181200000,6.15e-05,6.15e-05,5.92e-05,6.03e-05,333946.14,2020-02-08 17:00:00
46,1581177600000,6.14e-05,6.18e-05,6.11e-05,6.14e-05,117948.22,2020-02-08 16:00:00
47,1581174000000,6.2e-05,6.2e-05,6.1e-05,6.14e-05,175047.12,2020-02-08 15:00:00
48,1581170400000,6.25e-05,6.25e-05,6.14e-05,6.2e-05,264721.68,2020-02-08 14:00:00
49,1581166800000,6.4e-05,6.43e-05,6.21e-05,6.25e-05,176861.05,2020-02-08 13:00:00
50,1581163200000,6.34e-05,6.41e-05,6.23e-05,6.41e-05,199002.92,2020-02-08 12:00:00
51,1581159600000,6.4e-05,6.4e-05,6.31e-05,6.32e-05,181011.11,2020-02-08 11:00:00
52,1581156000000,6.22e-05,6.41e-05,6.17e-05,6.39e-05,253767.66,2020-02-08 10:00:00
53,1581152400000,6.22e-05,6.3e-05,6.02e-05,6.22e-05,246818.65,2020-02-08 09:00:00
54,1581148800000,6.16e-05,6.5e-05,6.16e-05,6.2e-05,380905.54,2020-02-08 08:00:00
55,1581145200000,6.07e-05,6.17e-05,6.07e-05,6.16e-05,162914.11,2020-02-08 07:00:00
56,1581141600000,5.94e-05,6.1e-05,5.93e-05,6.08e-05,204766.64,2020-02-08 06:00:00
57,1581138000000,5.9e-05,5.94e-05,5.82e-05,5.92e-05,222277.29,2020-02-08 05:00:00
58,1581134400000,5.9e-05,6e-05,5.75e-05,5.9e-05,421512.95,2020-02-08 04:00:00
59,1581130800000,5.99e-05,5.99e-05,5.75e-05,5.92e-05,458106.43,2020-02-08 03:00:00
60,1581127200000,6.1e-05,6.12e-05,5.98e-05,6e-05,181860.14,2020-02-08 02:00:00
61,1581123600000,6.17e-05,6.19e-05,6.05e-05,6.1e-05,239693.97,2020-02-08 01:00:00
62,1581120000000,6.34e-05,6.36e-05,6.15e-05,6.17e-05,225605.79,2020-02-08 00:00:00
63,1581116400000,6.33e-05,6.75e-05,6.3e-05,6.35e-05,302564.5,2020-02-07 23:00:00
64,1581112800000,6.53e-05,6.57e-05,6.32e-05,6.33e-05,186495.45,2020-02-07 22:00:00
65,1581109200000,6.38e-05,6.6e-05,6.35e-05,6.52e-05,222496.84,2020-02-07 21:00:00
66,1581105600000,6.3e-05,6.49e-05,6.26e-05,6.39e-05,266487.76,2020-02-07 20:00:00
67,1581102000000,6.33e-05,6.37e-05,6.27e-05,6.3e-05,154185.99,2020-02-07 19:00:00
68,1581098400000,6.38e-05,6.45e-05,6.27e-05,6.36e-05,196916.76,2020-02-07 18:00:00
69,1581094800000,6.26e-05,6.51e-05,6.21e-05,6.38e-05,468690.45,2020-02-07 17:00:00
70,1581091200000,6.2e-05,6.29e-05,5.99e-05,6.26e-05,465388.15,2020-02-07 16:00:00
71,1581087600000,6.33e-05,6.33e-05,6.14e-05,6.21e-05,585904.49,2020-02-07 15:00:00
72,1581084000000,6.53e-05,6.63e-05,6.22e-05,6.32e-05,1270946.57,2020-02-07 14:00:00
73,1581080400000,6.24e-05,6.87e-05,6.24e-05,6.55e-05,1538600.84,2020-02-07 13:00:00
74,1581076800000,6.09e-05,6.46e-05,6.09e-05,6.24e-05,409738.27,2020-02-07 12:00:00
75,1581073200000,6.06e-05,6.3e-05,6.01e-05,6.09e-05,402250.88,2020-02-07 11:00:00
76,1581069600000,6.04e-05,6.08e-05,5.88e-05,6.07e-05,385976.85,2020-02-07 10:00:00
77,1581066000000,6.1e-05,6.17e-05,6.03e-05,6.05e-05,231529.17,2020-02-07 09:00:00
78,1581062400000,6.2e-05,6.27e-05,5.95e-05,6.11e-05,428625.23,2020-02-07 08:00:00
79,1581058800000,6.2e-05,6.32e-05,6.14e-05,6.2e-05,288590.29,2020-02-07 07:00:00
80,1581055200000,6.2e-05,6.37e-05,6.09e-05,6.2e-05,615450.24,2020-02-07 06:00:00
81,1581051600000,5.94e-05,6.28e-05,5.82e-05,6.22e-05,666557.07,2020-02-07 05:00:00
82,1581048000000,6.12e-05,6.15e-05,5.89e-05,5.93e-05,209071.27,2020-02-07 04:00:00
83,1581044400000,6.05e-05,6.23e-05,6e-05,6.11e-05,228885.29,2020-02-07 03:00:00
84,1581040800000,6.06e-05,6.11e-05,5.88e-05,6.05e-05,414583.76,2020-02-07 02:00:00
85,1581037200000,6.12e-05,6.14e-05,6.02e-05,6.06e-05,212669.65,2020-02-07 01:00:00
86,1581033600000,6.16e-05,6.19e-05,5.98e-05,6.12e-05,496537.05,2020-02-07 00:00:00
87,1581030000000,6.29e-05,6.47e-05,5.95e-05,6.17e-05,1930332.78,2020-02-06 23:00:00
88,1581026400000,5.54e-05,6.35e-05,5.54e-05,6.29e-05,1260537.65,2020-02-06 22:00:00
89,1581022800000,5.56e-05,5.6e-05,5.51e-05,5.54e-05,142772.86,2020-02-06 21:00:00
90,1581019200000,5.45e-05,5.57e-05,5.45e-05,5.56e-05,134987.3,2020-02-06 20:00:00
91,1581015600000,5.45e-05,5.48e-05,5.38e-05,5.45e-05,156466.13,2020-02-06 19:00:00
92,1581012000000,5.44e-05,5.49e-05,5.36e-05,5.45e-05,155579.87,2020-02-06 18:00:00
93,1581008400000,5.52e-05,5.56e-05,5.37e-05,5.43e-05,350927.46,2020-02-06 17:00:00
94,1581004800000,5.35e-05,5.55e-05,5.32e-05,5.54e-05,317351.28,2020-02-06 16:00:00
95,1581001200000,5.3e-05,5.38e-05,5.29e-05,5.34e-05,124309.22,2020-02-06 15:00:00
96,1580997600000,5.27e-05,5.41e-05,5.22e-05,5.29e-05,331569.63,2020-02-06 14:00:00
97,1580994000000,5.33e-05,5.43e-05,5.18e-05,5.28e-05,577006.78,2020-02-06 13:00:00
98,1580990400000,5.47e-05,5.5e-05,5.32e-05,5.32e-05,381244.02,2020-02-06 12:00:00
99,1580986800000,5.63e-05,5.64e-05,5.42e-05,5.48e-05,444315.28,2020-02-06 11:00:00
100,1580983200000,5.57e-05,5.69e-05,5.56e-05,5.63e-05,207902.08,2020-02-06 10:00:00
