,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,6.6e-06,6.63e-06,6.57e-06,6.59e-06,1117391.0,2020-02-10 15:00:00
1,1581343200000,6.67e-06,6.75e-06,6.56e-06,6.61e-06,2481366.0,2020-02-10 14:00:00
2,1581339600000,6.56e-06,6.8e-06,6.56e-06,6.67e-06,3699854.0,2020-02-10 13:00:00
3,1581336000000,6.54e-06,6.8e-06,6.54e-06,6.57e-06,5841092.0,2020-02-10 12:00:00
4,1581332400000,6.34e-06,6.57e-06,6.25e-06,6.53e-06,3667142.0,2020-02-10 11:00:00
5,1581328800000,6.32e-06,6.41e-06,6.3e-06,6.34e-06,1466012.0,2020-02-10 10:00:00
6,1581325200000,6.34e-06,6.42e-06,6.13e-06,6.33e-06,3781664.0,2020-02-10 09:00:00
7,1581321600000,6.44e-06,6.52e-06,6.31e-06,6.34e-06,2560790.0,2020-02-10 08:00:00
8,1581318000000,6.39e-06,6.57e-06,6.37e-06,6.45e-06,3053049.0,2020-02-10 07:00:00
9,1581314400000,6.51e-06,6.55e-06,6.38e-06,6.38e-06,3209800.0,2020-02-10 06:00:00
10,1581310800000,6.51e-06,6.67e-06,6.49e-06,6.51e-06,3206087.0,2020-02-10 05:00:00
11,1581307200000,6.45e-06,6.56e-06,6.35e-06,6.51e-06,3855528.0,2020-02-10 04:00:00
12,1581303600000,6.47e-06,6.63e-06,6.33e-06,6.45e-06,4391528.0,2020-02-10 03:00:00
13,1581300000000,6.59e-06,6.6e-06,6.45e-06,6.48e-06,1147857.0,2020-02-10 02:00:00
14,1581296400000,6.54e-06,6.63e-06,6.4e-06,6.6e-06,4229541.0,2020-02-10 01:00:00
15,1581292800000,6.37e-06,6.65e-06,6.36e-06,6.55e-06,7168889.0,2020-02-10 00:00:00
16,1581289200000,6.31e-06,6.42e-06,6.26e-06,6.36e-06,3391823.0,2020-02-09 23:00:00
17,1581285600000,6.17e-06,6.32e-06,6.15e-06,6.31e-06,2788466.0,2020-02-09 22:00:00
18,1581282000000,6.31e-06,6.37e-06,6.15e-06,6.17e-06,3450979.0,2020-02-09 21:00:00
19,1581278400000,6.15e-06,6.35e-06,6.14e-06,6.3e-06,6666515.0,2020-02-09 20:00:00
20,1581274800000,6.07e-06,6.18e-06,6.07e-06,6.16e-06,1614618.0,2020-02-09 19:00:00
21,1581271200000,6.09e-06,6.11e-06,6.05e-06,6.07e-06,885069.0,2020-02-09 18:00:00
22,1581267600000,6.08e-06,6.12e-06,6.07e-06,6.09e-06,477325.0,2020-02-09 17:00:00
23,1581264000000,6e-06,6.12e-06,6e-06,6.07e-06,946769.0,2020-02-09 16:00:00
24,1581260400000,6.02e-06,6.04e-06,5.94e-06,6e-06,1844431.0,2020-02-09 15:00:00
25,1581256800000,6.11e-06,6.11e-06,6.02e-06,6.02e-06,764698.0,2020-02-09 14:00:00
26,1581253200000,6.08e-06,6.13e-06,6.03e-06,6.11e-06,977743.0,2020-02-09 13:00:00
27,1581249600000,6.09e-06,6.15e-06,6.07e-06,6.09e-06,1066564.0,2020-02-09 12:00:00
28,1581246000000,6.12e-06,6.13e-06,6.01e-06,6.09e-06,814648.0,2020-02-09 11:00:00
29,1581242400000,6.1e-06,6.14e-06,5.99e-06,6.12e-06,2680261.0,2020-02-09 10:00:00
30,1581238800000,6.11e-06,6.18e-06,6.06e-06,6.09e-06,1654269.0,2020-02-09 09:00:00
31,1581235200000,6.22e-06,6.22e-06,6.1e-06,6.11e-06,1387343.0,2020-02-09 08:00:00
32,1581231600000,6.22e-06,6.34e-06,6.15e-06,6.21e-06,3439988.0,2020-02-09 07:00:00
33,1581228000000,6.17e-06,6.32e-06,6.17e-06,6.22e-06,3834161.0,2020-02-09 06:00:00
34,1581224400000,6.11e-06,6.24e-06,6.01e-06,6.17e-06,4385318.0,2020-02-09 05:00:00
35,1581220800000,6.1e-06,6.15e-06,5.97e-06,6.11e-06,3161801.0,2020-02-09 04:00:00
36,1581217200000,5.95e-06,6.12e-06,5.94e-06,6.1e-06,2176900.0,2020-02-09 03:00:00
37,1581210000000,5.93e-06,5.96e-06,5.92e-06,5.96e-06,503756.0,2020-02-09 01:00:00
38,1581206400000,5.98e-06,6e-06,5.9e-06,5.93e-06,599389.0,2020-02-09 00:00:00
39,1581202800000,5.96e-06,6e-06,5.95e-06,6e-06,163734.0,2020-02-08 23:00:00
40,1581199200000,5.92e-06,5.96e-06,5.9e-06,5.96e-06,527514.0,2020-02-08 22:00:00
41,1581195600000,5.96e-06,5.98e-06,5.9e-06,5.92e-06,1375997.0,2020-02-08 21:00:00
42,1581192000000,5.88e-06,5.95e-06,5.86e-06,5.94e-06,308530.0,2020-02-08 20:00:00
43,1581188400000,5.89e-06,5.91e-06,5.86e-06,5.88e-06,500607.0,2020-02-08 19:00:00
44,1581184800000,5.86e-06,5.93e-06,5.86e-06,5.89e-06,743585.0,2020-02-08 18:00:00
45,1581181200000,5.88e-06,5.91e-06,5.86e-06,5.88e-06,427468.0,2020-02-08 17:00:00
46,1581177600000,5.89e-06,5.9e-06,5.78e-06,5.86e-06,1961991.0,2020-02-08 16:00:00
47,1581174000000,5.87e-06,5.9e-06,5.85e-06,5.87e-06,536988.0,2020-02-08 15:00:00
48,1581170400000,5.91e-06,5.93e-06,5.85e-06,5.89e-06,1528424.0,2020-02-08 14:00:00
