,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,7.16e-06,7.21e-06,7.15e-06,7.2e-06,1991695.0,2020-02-10 15:00:00
1,1581343200000,7.13e-06,7.17e-06,7.12e-06,7.17e-06,1370574.0,2020-02-10 14:00:00
2,1581339600000,7.1e-06,7.17e-06,7.1e-06,7.13e-06,2895366.0,2020-02-10 13:00:00
3,1581336000000,7.08e-06,7.12e-06,7.03e-06,7.09e-06,1281306.0,2020-02-10 12:00:00
4,1581332400000,7.09e-06,7.1e-06,7.03e-06,7.08e-06,1746816.0,2020-02-10 11:00:00
5,1581328800000,7.04e-06,7.1e-06,7.02e-06,7.09e-06,2264789.0,2020-02-10 10:00:00
6,1581325200000,7.09e-06,7.12e-06,6.99e-06,7.04e-06,8467121.0,2020-02-10 09:00:00
7,1581321600000,7.17e-06,7.17e-06,7.08e-06,7.09e-06,3226090.0,2020-02-10 08:00:00
8,1581318000000,7.17e-06,7.19e-06,7.14e-06,7.17e-06,1486443.0,2020-02-10 07:00:00
9,1581314400000,7.21e-06,7.22e-06,7.13e-06,7.17e-06,3996406.0,2020-02-10 06:00:00
10,1581310800000,7.19e-06,7.22e-06,7.14e-06,7.21e-06,3172185.0,2020-02-10 05:00:00
11,1581307200000,7.2e-06,7.23e-06,7.17e-06,7.19e-06,1805661.0,2020-02-10 04:00:00
12,1581303600000,7.23e-06,7.24e-06,7.19e-06,7.2e-06,935418.0,2020-02-10 03:00:00
13,1581300000000,7.21e-06,7.25e-06,7.19e-06,7.23e-06,1038493.0,2020-02-10 02:00:00
14,1581296400000,7.22e-06,7.26e-06,7.2e-06,7.22e-06,1171556.0,2020-02-10 01:00:00
15,1581292800000,7.22e-06,7.25e-06,7.19e-06,7.23e-06,1679162.0,2020-02-10 00:00:00
16,1581289200000,7.21e-06,7.23e-06,7.19e-06,7.22e-06,2002053.0,2020-02-09 23:00:00
17,1581285600000,7.15e-06,7.21e-06,7.14e-06,7.21e-06,1487911.0,2020-02-09 22:00:00
18,1581282000000,7.16e-06,7.17e-06,7.15e-06,7.15e-06,772818.0,2020-02-09 21:00:00
19,1581278400000,7.21e-06,7.21e-06,7.15e-06,7.16e-06,2014540.0,2020-02-09 20:00:00
20,1581274800000,7.15e-06,7.21e-06,7.15e-06,7.21e-06,826884.0,2020-02-09 19:00:00
21,1581271200000,7.17e-06,7.18e-06,7.14e-06,7.16e-06,1234601.0,2020-02-09 18:00:00
22,1581267600000,7.18e-06,7.22e-06,7.16e-06,7.17e-06,1683304.0,2020-02-09 17:00:00
23,1581264000000,7.17e-06,7.19e-06,7.12e-06,7.19e-06,2719887.0,2020-02-09 16:00:00
24,1581260400000,7.19e-06,7.2e-06,7.13e-06,7.17e-06,4349225.0,2020-02-09 15:00:00
25,1581256800000,7.22e-06,7.26e-06,7.18e-06,7.19e-06,2958397.0,2020-02-09 14:00:00
26,1581253200000,7.26e-06,7.3e-06,7.21e-06,7.22e-06,2717532.0,2020-02-09 13:00:00
27,1581249600000,7.27e-06,7.3e-06,7.21e-06,7.25e-06,3826690.0,2020-02-09 12:00:00
28,1581246000000,7.2e-06,7.29e-06,7.17e-06,7.28e-06,2889506.0,2020-02-09 11:00:00
29,1581242400000,7.18e-06,7.25e-06,7.18e-06,7.21e-06,3622234.0,2020-02-09 10:00:00
30,1581238800000,7.23e-06,7.24e-06,7.16e-06,7.18e-06,3452314.0,2020-02-09 09:00:00
31,1581235200000,7.25e-06,7.28e-06,7.21e-06,7.23e-06,3062729.0,2020-02-09 08:00:00
32,1581231600000,7.26e-06,7.32e-06,7.23e-06,7.25e-06,3387326.0,2020-02-09 07:00:00
33,1581228000000,7.19e-06,7.29e-06,7.18e-06,7.26e-06,5817343.0,2020-02-09 06:00:00
34,1581224400000,7.13e-06,7.19e-06,7.12e-06,7.18e-06,1951479.0,2020-02-09 05:00:00
35,1581220800000,7.17e-06,7.19e-06,7.1e-06,7.13e-06,2611844.0,2020-02-09 04:00:00
36,1581217200000,7.21e-06,7.23e-06,7.12e-06,7.18e-06,2875143.0,2020-02-09 03:00:00
37,1581210000000,7.22e-06,7.24e-06,7.2e-06,7.21e-06,515447.0,2020-02-09 01:00:00
38,1581206400000,7.16e-06,7.22e-06,7.15e-06,7.21e-06,1056227.0,2020-02-09 00:00:00
39,1581202800000,7.16e-06,7.18e-06,7.15e-06,7.16e-06,973750.0,2020-02-08 23:00:00
40,1581199200000,7.15e-06,7.21e-06,7.13e-06,7.17e-06,889089.0,2020-02-08 22:00:00
41,1581195600000,7.23e-06,7.26e-06,7.13e-06,7.14e-06,3409452.0,2020-02-08 21:00:00
42,1581192000000,7.22e-06,7.23e-06,7.18e-06,7.23e-06,2444481.0,2020-02-08 20:00:00
