,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0003172,0.00031792,0.000316,0.00031792,111768.0,2020-02-10 15:00:00
1,1581343200000,0.00031895,0.00031997,0.00031651,0.00031725,66782.0,2020-02-10 14:00:00
2,1581339600000,0.00031799,0.00032035,0.00031799,0.00031899,190083.0,2020-02-10 13:00:00
3,1581336000000,0.00031775,0.00031823,0.00031616,0.00031749,60802.0,2020-02-10 12:00:00
4,1581332400000,0.00031745,0.00031819,0.00031502,0.00031789,97922.0,2020-02-10 11:00:00
5,1581328800000,0.00031538,0.00031799,0.00031538,0.00031703,85721.0,2020-02-10 10:00:00
6,1581325200000,0.00031748,0.00031899,0.00031488,0.00031621,374970.0,2020-02-10 09:00:00
7,1581321600000,0.00031876,0.00031977,0.00031751,0.00031751,78866.0,2020-02-10 08:00:00
8,1581318000000,0.00031961,0.0003197,0.00031797,0.00031892,74636.0,2020-02-10 07:00:00
9,1581314400000,0.0003207,0.00032222,0.00031723,0.0003205,178896.0,2020-02-10 06:00:00
10,1581310800000,0.00032235,0.00032329,0.00031862,0.00032069,206367.0,2020-02-10 05:00:00
11,1581307200000,0.00032247,0.00032506,0.00032125,0.00032169,68764.0,2020-02-10 04:00:00
12,1581303600000,0.00032251,0.00032263,0.00032151,0.00032231,77595.0,2020-02-10 03:00:00
13,1581300000000,0.00032201,0.0003232,0.00032158,0.00032298,27528.0,2020-02-10 02:00:00
14,1581296400000,0.00032198,0.0003233,0.00032139,0.00032221,57272.0,2020-02-10 01:00:00
15,1581292800000,0.00032077,0.00032368,0.0003197,0.00032147,74227.0,2020-02-10 00:00:00
16,1581289200000,0.00032039,0.0003208,0.0003193,0.00032049,52757.0,2020-02-09 23:00:00
17,1581285600000,0.00031983,0.00032059,0.00031851,0.00031975,414509.0,2020-02-09 22:00:00
18,1581282000000,0.00032067,0.00032067,0.00032001,0.00032035,15624.0,2020-02-09 21:00:00
19,1581278400000,0.00032042,0.00032167,0.00031951,0.00032137,46439.0,2020-02-09 20:00:00
20,1581274800000,0.00031919,0.00032043,0.00031804,0.00032043,49773.0,2020-02-09 19:00:00
21,1581271200000,0.00031949,0.00032016,0.00031851,0.00031919,33654.0,2020-02-09 18:00:00
22,1581267600000,0.00031888,0.00031974,0.00031828,0.00031949,150670.0,2020-02-09 17:00:00
23,1581264000000,0.00031901,0.00031928,0.00031727,0.00031888,90629.0,2020-02-09 16:00:00
24,1581260400000,0.00032046,0.00032085,0.00031872,0.00031902,81470.0,2020-02-09 15:00:00
25,1581256800000,0.00032118,0.00032173,0.00031858,0.00032035,219405.0,2020-02-09 14:00:00
26,1581253200000,0.00032101,0.00032381,0.0003207,0.0003207,114310.0,2020-02-09 13:00:00
27,1581249600000,0.00032258,0.00032299,0.00031954,0.00032151,127090.0,2020-02-09 12:00:00
28,1581246000000,0.00031851,0.00032266,0.00031738,0.00032233,108426.0,2020-02-09 11:00:00
29,1581242400000,0.00031796,0.00032019,0.00031796,0.00031853,106990.0,2020-02-09 10:00:00
30,1581238800000,0.00031939,0.00031949,0.00031711,0.00031761,59657.0,2020-02-09 09:00:00
31,1581235200000,0.00031999,0.00032077,0.00031868,0.00031918,85079.0,2020-02-09 08:00:00
32,1581231600000,0.00032127,0.00032199,0.00031941,0.00031951,84144.0,2020-02-09 07:00:00
33,1581228000000,0.00031799,0.00032231,0.00031799,0.00032149,161677.0,2020-02-09 06:00:00
34,1581224400000,0.00031584,0.00031804,0.00031575,0.00031778,39993.0,2020-02-09 05:00:00
35,1581220800000,0.00031609,0.00031738,0.0003147,0.00031611,133919.0,2020-02-09 04:00:00
36,1581217200000,0.00031651,0.00031651,0.00031359,0.00031609,66291.0,2020-02-09 03:00:00
37,1581210000000,0.00031679,0.00031799,0.00031659,0.00031699,13470.0,2020-02-09 01:00:00
38,1581206400000,0.00031755,0.00031755,0.000315,0.00031605,117362.0,2020-02-09 00:00:00
39,1581202800000,0.00031748,0.00031799,0.00031601,0.00031799,73338.0,2020-02-08 23:00:00
40,1581199200000,0.00031808,0.00031949,0.00031685,0.0003174,71272.0,2020-02-08 22:00:00
41,1581195600000,0.00031878,0.00032114,0.0003179,0.00031801,45176.0,2020-02-08 21:00:00
42,1581192000000,0.00031619,0.00031899,0.00031532,0.00031899,99758.0,2020-02-08 20:00:00
43,1581188400000,0.00031851,0.000319,0.00031535,0.00031697,34925.0,2020-02-08 19:00:00
44,1581184800000,0.00031851,0.00032086,0.00031751,0.00031851,52648.0,2020-02-08 18:00:00
45,1581181200000,0.00031924,0.00032049,0.00031817,0.00031901,46987.0,2020-02-08 17:00:00
46,1581177600000,0.00031654,0.00031922,0.00031601,0.0003188,45184.0,2020-02-08 16:00:00
47,1581174000000,0.00031549,0.00031806,0.00031448,0.00031701,52160.0,2020-02-08 15:00:00
48,1581170400000,0.00031399,0.00031551,0.00031331,0.00031464,67554.0,2020-02-08 14:00:00
49,1581166800000,0.00031631,0.00031649,0.00031368,0.00031457,142169.0,2020-02-08 13:00:00
50,1581163200000,0.00031551,0.00031649,0.00031437,0.00031503,38722.0,2020-02-08 12:00:00
51,1581159600000,0.00031752,0.00031777,0.0003141,0.00031601,147524.0,2020-02-08 11:00:00
52,1581156000000,0.00031877,0.00031949,0.00031661,0.00031799,29012.0,2020-02-08 10:00:00
