,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.07083,0.07131,0.07077,0.07118,4208299.2,2020-02-10 15:00:00
1,1581343200000,0.07005,0.07089,0.06998,0.07087,7059747.6,2020-02-10 14:00:00
2,1581339600000,0.06991,0.07054,0.06985,0.07007,8086981.1,2020-02-10 13:00:00
3,1581336000000,0.0694,0.07001,0.06896,0.06988,4820756.1,2020-02-10 12:00:00
4,1581332400000,0.06982,0.06987,0.06884,0.06947,6967453.1,2020-02-10 11:00:00
5,1581328800000,0.06919,0.07008,0.06909,0.06982,7775418.5,2020-02-10 10:00:00
6,1581325200000,0.07016,0.07028,0.06853,0.06916,19722275.1,2020-02-10 09:00:00
7,1581321600000,0.07138,0.07139,0.07002,0.07017,7304456.3,2020-02-10 08:00:00
8,1581318000000,0.07138,0.07158,0.07118,0.07138,4706318.2,2020-02-10 07:00:00
9,1581314400000,0.07085,0.07186,0.07061,0.07141,15718786.0,2020-02-10 06:00:00
10,1581310800000,0.07232,0.07252,0.07,0.0708,10601012.4,2020-02-10 05:00:00
11,1581307200000,0.07266,0.07284,0.07211,0.07233,7159696.4,2020-02-10 04:00:00
12,1581303600000,0.07313,0.0732,0.07238,0.07268,4795885.0,2020-02-10 03:00:00
13,1581300000000,0.07312,0.07327,0.0728,0.07312,4524621.5,2020-02-10 02:00:00
14,1581296400000,0.07358,0.07375,0.07305,0.07313,5430533.3,2020-02-10 01:00:00
15,1581292800000,0.07328,0.07374,0.07315,0.07357,8391169.5,2020-02-10 00:00:00
16,1581289200000,0.07294,0.07331,0.07271,0.07327,6531054.0,2020-02-09 23:00:00
17,1581285600000,0.0721,0.07296,0.07207,0.07295,3606234.7,2020-02-09 22:00:00
18,1581282000000,0.07214,0.07245,0.07203,0.0721,1678989.7,2020-02-09 21:00:00
19,1581278400000,0.07263,0.07265,0.07198,0.07214,3183677.6,2020-02-09 20:00:00
20,1581274800000,0.07212,0.07277,0.07208,0.07257,3050967.3,2020-02-09 19:00:00
21,1581271200000,0.07239,0.07247,0.07199,0.07214,5059697.9,2020-02-09 18:00:00
22,1581267600000,0.07258,0.07295,0.07232,0.07239,4067733.0,2020-02-09 17:00:00
23,1581264000000,0.07236,0.07271,0.0719,0.07258,5279727.6,2020-02-09 16:00:00
24,1581260400000,0.07253,0.07269,0.07142,0.07236,9310900.6,2020-02-09 15:00:00
25,1581256800000,0.07289,0.07333,0.07236,0.07252,6871899.2,2020-02-09 14:00:00
26,1581253200000,0.07349,0.0738,0.07285,0.07289,4670663.4,2020-02-09 13:00:00
27,1581249600000,0.07358,0.07396,0.07305,0.07347,9543205.1,2020-02-09 12:00:00
28,1581246000000,0.07292,0.0737,0.07257,0.07357,5420129.0,2020-02-09 11:00:00
29,1581242400000,0.07238,0.07314,0.07225,0.07293,6230256.1,2020-02-09 10:00:00
30,1581238800000,0.07308,0.07314,0.07221,0.07237,8603914.7,2020-02-09 09:00:00
31,1581235200000,0.07337,0.07374,0.07289,0.07312,8280934.7,2020-02-09 08:00:00
32,1581231600000,0.07337,0.07382,0.07325,0.07337,8653122.5,2020-02-09 07:00:00
33,1581228000000,0.07263,0.07362,0.07248,0.07336,12222756.7,2020-02-09 06:00:00
34,1581224400000,0.0719,0.07262,0.07178,0.07262,6068026.0,2020-02-09 05:00:00
35,1581220800000,0.07214,0.07258,0.07168,0.07195,10672460.0,2020-02-09 04:00:00
36,1581217200000,0.07159,0.07221,0.07129,0.07217,7961813.7,2020-02-09 03:00:00
37,1581210000000,0.07169,0.07177,0.07149,0.07156,3003830.2,2020-02-09 01:00:00
38,1581206400000,0.07088,0.07174,0.07077,0.07171,4909977.0,2020-02-09 00:00:00
39,1581202800000,0.07108,0.0711,0.07085,0.0709,1596897.0,2020-02-08 23:00:00
40,1581199200000,0.07092,0.07117,0.07073,0.07109,1866192.7,2020-02-08 22:00:00
41,1581195600000,0.07126,0.07168,0.07079,0.07094,3875437.4,2020-02-08 21:00:00
42,1581192000000,0.07111,0.07136,0.07073,0.07124,2860275.4,2020-02-08 20:00:00
43,1581188400000,0.07115,0.07129,0.07095,0.07112,2238038.8,2020-02-08 19:00:00
44,1581184800000,0.0714,0.07151,0.07102,0.07115,3798469.5,2020-02-08 18:00:00
45,1581181200000,0.0719,0.07206,0.07129,0.07141,3607298.1,2020-02-08 17:00:00
46,1581177600000,0.07126,0.07195,0.07088,0.07193,5520141.1,2020-02-08 16:00:00
47,1581174000000,0.07147,0.07166,0.07123,0.07126,4267436.4,2020-02-08 15:00:00
48,1581170400000,0.07087,0.07153,0.07083,0.07143,4324407.6,2020-02-08 14:00:00
