,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.38454,0.38454,0.38161,0.38274,14.029,2020-02-10 15:00:00
1,1581343200000,0.38595,0.38756,0.3832,0.38463,132.194,2020-02-10 14:00:00
2,1581339600000,0.3849,0.3871,0.3848,0.38579,19.058,2020-02-10 13:00:00
3,1581336000000,0.388,0.388,0.38527,0.38578,99.915,2020-02-10 12:00:00
4,1581332400000,0.38647,0.38865,0.38647,0.38865,41.615,2020-02-10 11:00:00
5,1581328800000,0.38359,0.38737,0.38321,0.38647,54.416,2020-02-10 10:00:00
6,1581325200000,0.38323,0.38833,0.38323,0.38531,211.236,2020-02-10 09:00:00
7,1581321600000,0.38129,0.38465,0.38045,0.38198,200.024,2020-02-10 08:00:00
8,1581318000000,0.38,0.38129,0.37737,0.38111,502.287,2020-02-10 07:00:00
9,1581314400000,0.38087,0.38154,0.37697,0.38137,208.555,2020-02-10 06:00:00
10,1581310800000,0.38078,0.38343,0.3795,0.38136,36.575,2020-02-10 05:00:00
11,1581307200000,0.38112,0.38343,0.38,0.38,10.888,2020-02-10 04:00:00
12,1581303600000,0.3801,0.38302,0.37946,0.38283,35.161,2020-02-10 03:00:00
13,1581300000000,0.3797,0.38299,0.3797,0.38052,9.166,2020-02-10 02:00:00
14,1581296400000,0.38114,0.38114,0.37943,0.37982,6.309,2020-02-10 01:00:00
15,1581292800000,0.38291,0.38359,0.37945,0.38041,87.01,2020-02-10 00:00:00
16,1581289200000,0.3802,0.38355,0.37906,0.38349,482.562,2020-02-09 23:00:00
17,1581285600000,0.38268,0.383,0.3785,0.38052,439.992,2020-02-09 22:00:00
18,1581282000000,0.38005,0.38264,0.37824,0.38186,276.552,2020-02-09 21:00:00
19,1581278400000,0.37631,0.38,0.37539,0.3794,98.429,2020-02-09 20:00:00
20,1581274800000,0.3785,0.3787,0.37445,0.37501,215.751,2020-02-09 19:00:00
21,1581271200000,0.37776,0.3785,0.37588,0.3785,73.15,2020-02-09 18:00:00
22,1581267600000,0.37549,0.37776,0.37447,0.37776,247.784,2020-02-09 17:00:00
23,1581264000000,0.37428,0.37671,0.37295,0.375,53.144,2020-02-09 16:00:00
24,1581260400000,0.37374,0.37626,0.37245,0.37472,407.977,2020-02-09 15:00:00
25,1581256800000,0.37214,0.375,0.37003,0.37427,223.756,2020-02-09 14:00:00
26,1581253200000,0.37321,0.37493,0.37077,0.37217,104.489,2020-02-09 13:00:00
27,1581249600000,0.36752,0.374,0.36752,0.37353,432.678,2020-02-09 12:00:00
28,1581246000000,0.36502,0.36808,0.365,0.36696,74.064,2020-02-09 11:00:00
29,1581242400000,0.36457,0.36696,0.36452,0.36508,257.132,2020-02-09 10:00:00
30,1581238800000,0.36244,0.36463,0.36233,0.36463,20.754,2020-02-09 09:00:00
31,1581235200000,0.36538,0.36543,0.36253,0.36253,6.763,2020-02-09 08:00:00
32,1581231600000,0.36428,0.36671,0.3628,0.36512,109.346,2020-02-09 07:00:00
33,1581228000000,0.3609,0.36571,0.36005,0.36571,24.98,2020-02-09 06:00:00
34,1581224400000,0.3605,0.36138,0.35975,0.35975,110.879,2020-02-09 05:00:00
35,1581220800000,0.35754,0.3605,0.35692,0.3605,26.581,2020-02-09 04:00:00
36,1581217200000,0.35714,0.35759,0.35561,0.35611,373.835,2020-02-09 03:00:00
37,1581210000000,0.35967,0.36005,0.35368,0.35884,294.116,2020-02-09 01:00:00
38,1581206400000,0.36194,0.36194,0.359,0.35906,13.306,2020-02-09 00:00:00
39,1581202800000,0.36036,0.36278,0.36,0.36249,14.754,2020-02-08 23:00:00
40,1581199200000,0.36211,0.36302,0.35918,0.36156,66.614,2020-02-08 22:00:00
41,1581195600000,0.36332,0.36617,0.35988,0.36208,554.496,2020-02-08 21:00:00
42,1581192000000,0.35938,0.36306,0.35938,0.3626,21.096,2020-02-08 20:00:00
43,1581188400000,0.3634,0.36427,0.35971,0.36109,56.49,2020-02-08 19:00:00
44,1581184800000,0.35715,0.36371,0.35675,0.36366,168.206,2020-02-08 18:00:00
45,1581181200000,0.35474,0.35888,0.35442,0.35888,15.304,2020-02-08 17:00:00
46,1581177600000,0.3542,0.35676,0.35401,0.35491,104.547,2020-02-08 16:00:00
47,1581174000000,0.352,0.35424,0.35088,0.35419,9.539,2020-02-08 15:00:00
48,1581170400000,0.35185,0.35272,0.351,0.35143,27.767,2020-02-08 14:00:00
49,1581166800000,0.35254,0.35512,0.3517,0.3517,11.579,2020-02-08 13:00:00
50,1581163200000,0.35298,0.35527,0.35282,0.35285,91.427,2020-02-08 12:00:00
51,1581159600000,0.35229,0.35344,0.3512,0.35243,127.098,2020-02-08 11:00:00
52,1581156000000,0.35364,0.35364,0.34876,0.3532,126.162,2020-02-08 10:00:00
53,1581152400000,0.35206,0.35534,0.35168,0.35368,36.266,2020-02-08 09:00:00
54,1581148800000,0.35583,0.35608,0.34973,0.35206,206.218,2020-02-08 08:00:00
55,1581145200000,0.35481,0.35626,0.35374,0.35626,24.518,2020-02-08 07:00:00
56,1581141600000,0.35702,0.35728,0.35339,0.35535,3126.655,2020-02-08 06:00:00
57,1581138000000,0.35685,0.35787,0.35571,0.35719,56.024,2020-02-08 05:00:00
58,1581134400000,0.35687,0.35714,0.35486,0.35685,90.578,2020-02-08 04:00:00
59,1581130800000,0.35801,0.3603,0.35474,0.35701,49.273,2020-02-08 03:00:00
60,1581127200000,0.35296,0.35949,0.3528,0.35681,65.315,2020-02-08 02:00:00
61,1581123600000,0.35531,0.35633,0.35287,0.35365,58.596,2020-02-08 01:00:00
62,1581120000000,0.35571,0.3571,0.35399,0.35693,71.348,2020-02-08 00:00:00
63,1581116400000,0.35725,0.35823,0.35594,0.35594,64.795,2020-02-07 23:00:00
64,1581112800000,0.35884,0.36085,0.35524,0.35611,66.542,2020-02-07 22:00:00
65,1581109200000,0.35945,0.36046,0.3564,0.35863,82.879,2020-02-07 21:00:00
66,1581105600000,0.35983,0.3609,0.35403,0.35947,1615.352,2020-02-07 20:00:00
67,1581102000000,0.35963,0.3607,0.35871,0.35961,521.299,2020-02-07 19:00:00
68,1581098400000,0.36198,0.362,0.35848,0.36055,321.655,2020-02-07 18:00:00
69,1581094800000,0.36113,0.36235,0.36113,0.36234,33.444,2020-02-07 17:00:00
70,1581091200000,0.36285,0.365,0.35914,0.36,1319.887,2020-02-07 16:00:00
71,1581087600000,0.36007,0.36437,0.36007,0.36327,32.325,2020-02-07 15:00:00
72,1581084000000,0.36303,0.36303,0.35896,0.36049,36.428,2020-02-07 14:00:00
73,1581080400000,0.36308,0.36543,0.361,0.36234,14.731,2020-02-07 13:00:00
74,1581076800000,0.3615,0.36559,0.36059,0.36512,85.219,2020-02-07 12:00:00
75,1581073200000,0.3605,0.36233,0.35815,0.36233,118.433,2020-02-07 11:00:00
76,1581069600000,0.36449,0.36449,0.36065,0.36068,47.914,2020-02-07 10:00:00
77,1581066000000,0.3667,0.36757,0.36456,0.36535,37.052,2020-02-07 09:00:00
78,1581062400000,0.36714,0.369,0.36624,0.36787,30.802,2020-02-07 08:00:00
79,1581058800000,0.36508,0.36897,0.36508,0.36728,33.547,2020-02-07 07:00:00
80,1581055200000,0.36387,0.3651,0.36285,0.3651,80.779,2020-02-07 06:00:00
81,1581051600000,0.36236,0.36533,0.36122,0.3635,72.038,2020-02-07 05:00:00
82,1581048000000,0.36451,0.36505,0.3605,0.36175,73.748,2020-02-07 04:00:00
83,1581044400000,0.36303,0.36541,0.36294,0.36541,95.488,2020-02-07 03:00:00
84,1581040800000,0.36458,0.36581,0.36202,0.36264,52.957,2020-02-07 02:00:00
85,1581037200000,0.36366,0.36854,0.363,0.36613,402.526,2020-02-07 01:00:00
86,1581033600000,0.36667,0.36667,0.3633,0.3633,257.096,2020-02-07 00:00:00
87,1581030000000,0.36798,0.36798,0.3654,0.36719,116.829,2020-02-06 23:00:00
88,1581026400000,0.36714,0.3675,0.365,0.36741,906.064,2020-02-06 22:00:00
89,1581022800000,0.36714,0.36727,0.365,0.36617,325.506,2020-02-06 21:00:00
90,1581019200000,0.36879,0.36898,0.36649,0.36714,85.667,2020-02-06 20:00:00
