,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,85.77,85.95,85.7,85.82,2198.10306,2020-02-10 15:00:00
1,1581343200000,84.77,85.83,84.74,85.73,2873.58337,2020-02-10 14:00:00
2,1581339600000,84.77,85.15,84.67,84.84,1369.02619,2020-02-10 13:00:00
3,1581336000000,84.67,84.76,84.3,84.71,1699.92734,2020-02-10 12:00:00
4,1581332400000,85.17,85.3,84.17,84.72,3839.72174,2020-02-10 11:00:00
5,1581328800000,84.05,85.23,83.88,85.13,2583.39883,2020-02-10 10:00:00
6,1581325200000,84.51,84.67,83.8,84.08,4964.48149,2020-02-10 09:00:00
7,1581321600000,85.19,85.42,84.4,84.5,2741.93808,2020-02-10 08:00:00
8,1581318000000,84.86,85.48,84.25,85.17,2827.96909,2020-02-10 07:00:00
9,1581314400000,83.88,85.17,83.79,84.93,5711.99073,2020-02-10 06:00:00
10,1581310800000,85.44,85.76,83.22,83.85,4165.07383,2020-02-10 05:00:00
11,1581307200000,86.09,86.09,85.06,85.43,2191.67673,2020-02-10 04:00:00
12,1581303600000,86.26,86.37,85.63,86.05,1873.30663,2020-02-10 03:00:00
13,1581300000000,86.14,86.88,85.85,86.23,2200.00552,2020-02-10 02:00:00
14,1581296400000,86.92,86.98,86.13,86.17,1271.20638,2020-02-10 01:00:00
15,1581292800000,87.63,87.9,86.52,86.97,2287.51842,2020-02-10 00:00:00
16,1581289200000,86.49,87.82,86.34,87.59,2344.01896,2020-02-09 23:00:00
17,1581285600000,86.34,87.14,86.14,86.46,4850.64331,2020-02-09 22:00:00
18,1581282000000,85.37,86.34,85.32,86.34,2399.48883,2020-02-09 21:00:00
19,1581278400000,85.29,85.49,84.7,85.42,1683.29178,2020-02-09 20:00:00
20,1581274800000,85.64,85.65,85.01,85.28,2913.12823,2020-02-09 19:00:00
21,1581271200000,85.63,85.7,84.98,85.64,2004.83202,2020-02-09 18:00:00
22,1581267600000,85.39,85.71,85.22,85.57,1611.99271,2020-02-09 17:00:00
