,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.27508,0.27624,0.27504,0.27624,45973.7,2020-02-10 15:00:00
1,1581343200000,0.27194,0.27513,0.27188,0.27492,157626.9,2020-02-10 14:00:00
2,1581339600000,0.27217,0.27363,0.27171,0.27299,75544.5,2020-02-10 13:00:00
3,1581336000000,0.27089,0.27203,0.26929,0.27192,67409.2,2020-02-10 12:00:00
4,1581332400000,0.27216,0.27216,0.26952,0.27105,78366.7,2020-02-10 11:00:00
5,1581328800000,0.27021,0.27248,0.27003,0.2723,99727.6,2020-02-10 10:00:00
6,1581325200000,0.27289,0.27289,0.26737,0.27021,173364.3,2020-02-10 09:00:00
7,1581321600000,0.27628,0.27651,0.27267,0.27325,90005.8,2020-02-10 08:00:00
8,1581318000000,0.27593,0.27727,0.2746,0.27611,102424.5,2020-02-10 07:00:00
9,1581314400000,0.27322,0.27669,0.27322,0.27562,69121.4,2020-02-10 06:00:00
10,1581310800000,0.27887,0.27997,0.27001,0.27203,164478.2,2020-02-10 05:00:00
11,1581307200000,0.2792,0.27961,0.2775,0.27904,59137.3,2020-02-10 04:00:00
12,1581303600000,0.28064,0.28075,0.27813,0.27921,70251.8,2020-02-10 03:00:00
13,1581300000000,0.28091,0.28149,0.27982,0.28139,54832.2,2020-02-10 02:00:00
14,1581296400000,0.28293,0.28293,0.28117,0.28164,14218.5,2020-02-10 01:00:00
15,1581292800000,0.28334,0.28334,0.28217,0.28313,16677.3,2020-02-10 00:00:00
16,1581289200000,0.28364,0.28389,0.2822,0.28274,113953.9,2020-02-09 23:00:00
17,1581285600000,0.28021,0.28429,0.28021,0.28358,31529.5,2020-02-09 22:00:00
18,1581282000000,0.27976,0.28024,0.27976,0.27979,12396.7,2020-02-09 21:00:00
19,1581278400000,0.28059,0.28059,0.27948,0.27979,17493.9,2020-02-09 20:00:00
20,1581274800000,0.28065,0.2813,0.28036,0.28087,14484.1,2020-02-09 19:00:00
21,1581271200000,0.2815,0.28178,0.28027,0.28072,82463.5,2020-02-09 18:00:00
22,1581267600000,0.28118,0.28255,0.28098,0.2817,47311.1,2020-02-09 17:00:00
23,1581264000000,0.28088,0.28175,0.27862,0.2814,59305.6,2020-02-09 16:00:00
24,1581260400000,0.28001,0.2807,0.27711,0.28032,52949.0,2020-02-09 15:00:00
25,1581256800000,0.28092,0.28242,0.27881,0.27976,85965.3,2020-02-09 14:00:00
26,1581253200000,0.28242,0.28433,0.28059,0.2815,51560.5,2020-02-09 13:00:00
27,1581249600000,0.28233,0.28299,0.28184,0.28218,89397.8,2020-02-09 12:00:00
28,1581246000000,0.28357,0.28363,0.28128,0.28227,22950.2,2020-02-09 11:00:00
29,1581242400000,0.2805,0.28411,0.2805,0.28411,37447.6,2020-02-09 10:00:00
30,1581238800000,0.28258,0.2832,0.28069,0.28113,83931.9,2020-02-09 09:00:00
31,1581235200000,0.28534,0.28566,0.28111,0.28299,114200.5,2020-02-09 08:00:00
32,1581231600000,0.28546,0.28779,0.28543,0.28543,54034.9,2020-02-09 07:00:00
