,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.2751,0.27589,0.2751,0.27544,23738.2,2020-02-10 15:00:00
1,1581343200000,0.27183,0.275,0.27183,0.27458,6320.9,2020-02-10 14:00:00
2,1581339600000,0.2721,0.27289,0.27162,0.27251,11983.0,2020-02-10 13:00:00
3,1581336000000,0.26927,0.27206,0.26927,0.27206,54961.9,2020-02-10 12:00:00
4,1581332400000,0.27057,0.27057,0.27057,0.27057,294.7,2020-02-10 11:00:00
5,1581328800000,0.27114,0.27168,0.27005,0.27168,4048.3,2020-02-10 10:00:00
6,1581325200000,0.27277,0.27277,0.2682,0.27099,41746.0,2020-02-10 09:00:00
7,1581321600000,0.27602,0.27602,0.2728,0.27314,15830.3,2020-02-10 08:00:00
8,1581318000000,0.2758,0.27739,0.27478,0.27627,21965.1,2020-02-10 07:00:00
9,1581314400000,0.27322,0.27616,0.27322,0.27596,22871.5,2020-02-10 06:00:00
10,1581310800000,0.27896,0.27896,0.27003,0.27304,30406.4,2020-02-10 05:00:00
11,1581307200000,0.27812,0.27901,0.27726,0.27901,21973.8,2020-02-10 04:00:00
12,1581303600000,0.27875,0.27875,0.27813,0.27813,990.5,2020-02-10 03:00:00
13,1581300000000,0.2801,0.2801,0.27955,0.27955,1638.1,2020-02-10 02:00:00
14,1581296400000,0.28258,0.28258,0.28121,0.28162,16090.1,2020-02-10 01:00:00
15,1581292800000,0.28279,0.28337,0.28279,0.28337,1246.0,2020-02-10 00:00:00
16,1581289200000,0.28346,0.28346,0.28247,0.28268,27194.7,2020-02-09 23:00:00
17,1581285600000,0.27999,0.28407,0.27999,0.28398,19681.2,2020-02-09 22:00:00
18,1581282000000,0.28009,0.28013,0.27963,0.27963,1840.7,2020-02-09 21:00:00
19,1581278400000,0.27937,0.27937,0.27937,0.27937,3177.1,2020-02-09 20:00:00
20,1581274800000,0.28148,0.28148,0.28148,0.28148,0.0,2020-02-09 19:00:00
21,1581271200000,0.28161,0.28161,0.28148,0.28148,14495.5,2020-02-09 18:00:00
22,1581267600000,0.28143,0.28215,0.28139,0.28161,67959.9,2020-02-09 17:00:00
23,1581264000000,0.28054,0.28065,0.27888,0.28,1599.4,2020-02-09 16:00:00
24,1581260400000,0.27934,0.28109,0.27577,0.28109,35403.1,2020-02-09 15:00:00
25,1581256800000,0.2802,0.28247,0.27888,0.28201,3589.8,2020-02-09 14:00:00
26,1581253200000,0.28159,0.28159,0.28159,0.28159,0.0,2020-02-09 13:00:00
27,1581249600000,0.2837,0.2837,0.28159,0.28159,646.6,2020-02-09 12:00:00
28,1581246000000,0.28412,0.28412,0.28112,0.28112,1419.4,2020-02-09 11:00:00
29,1581242400000,0.2806,0.28412,0.2806,0.28412,3100.6,2020-02-09 10:00:00
30,1581238800000,0.28308,0.28358,0.2812,0.2812,6284.2,2020-02-09 09:00:00
31,1581235200000,0.28505,0.28505,0.28159,0.28159,16455.5,2020-02-09 08:00:00
32,1581231600000,0.28523,0.28741,0.2852,0.2852,6586.7,2020-02-09 07:00:00
33,1581228000000,0.28298,0.28932,0.28298,0.28635,20719.2,2020-02-09 06:00:00
34,1581224400000,0.28071,0.28299,0.28036,0.28299,35003.4,2020-02-09 05:00:00
35,1581220800000,0.2812,0.28123,0.27984,0.2807,17264.1,2020-02-09 04:00:00
36,1581217200000,0.28117,0.28145,0.27994,0.28112,42527.2,2020-02-09 03:00:00
37,1581210000000,0.27963,0.27967,0.27893,0.27956,12232.6,2020-02-09 01:00:00
38,1581206400000,0.27719,0.28026,0.27719,0.28026,27686.4,2020-02-09 00:00:00
39,1581202800000,0.27793,0.27816,0.27786,0.27793,28414.9,2020-02-08 23:00:00
40,1581199200000,0.27893,0.27893,0.27748,0.27791,7667.6,2020-02-08 22:00:00
41,1581195600000,0.27805,0.28,0.27805,0.2793,24721.5,2020-02-08 21:00:00
42,1581192000000,0.27776,0.27776,0.27765,0.27765,1445.2,2020-02-08 20:00:00
43,1581188400000,0.27704,0.27764,0.27696,0.27709,12161.1,2020-02-08 19:00:00
44,1581184800000,0.27697,0.27739,0.27697,0.27727,1970.3,2020-02-08 18:00:00
45,1581181200000,0.27771,0.27806,0.2763,0.2763,2461.5,2020-02-08 17:00:00
46,1581177600000,0.27631,0.27808,0.27478,0.27808,3021.4,2020-02-08 16:00:00
47,1581174000000,0.27873,0.27873,0.27805,0.27813,5525.8,2020-02-08 15:00:00
48,1581170400000,0.27743,0.27872,0.27731,0.27872,5547.1,2020-02-08 14:00:00
49,1581166800000,0.27901,0.27901,0.2768,0.27765,12290.3,2020-02-08 13:00:00
50,1581163200000,0.27876,0.27994,0.2781,0.27873,17317.6,2020-02-08 12:00:00
51,1581159600000,0.2785,0.2785,0.27724,0.27785,13830.2,2020-02-08 11:00:00
52,1581156000000,0.28016,0.2809,0.27884,0.27891,9917.4,2020-02-08 10:00:00
53,1581152400000,0.27992,0.281,0.27798,0.27861,26359.0,2020-02-08 09:00:00
54,1581148800000,0.27544,0.28031,0.27544,0.28031,34749.0,2020-02-08 08:00:00
55,1581145200000,0.27481,0.2751,0.27281,0.27404,42029.6,2020-02-08 07:00:00
56,1581141600000,0.27518,0.27586,0.2728,0.27438,17601.0,2020-02-08 06:00:00
57,1581138000000,0.27297,0.27552,0.27297,0.27472,10428.3,2020-02-08 05:00:00
58,1581134400000,0.2697,0.27399,0.26962,0.27348,60919.4,2020-02-08 04:00:00
59,1581130800000,0.26947,0.27081,0.26373,0.27066,27594.7,2020-02-08 03:00:00
60,1581127200000,0.27359,0.27359,0.26888,0.26924,10313.2,2020-02-08 02:00:00
61,1581123600000,0.27555,0.27555,0.2725,0.27497,21743.5,2020-02-08 01:00:00
62,1581120000000,0.27898,0.27936,0.27438,0.27493,20980.4,2020-02-08 00:00:00
63,1581116400000,0.27941,0.27975,0.27941,0.27966,15868.0,2020-02-07 23:00:00
64,1581112800000,0.27774,0.27774,0.27774,0.27774,234.0,2020-02-07 22:00:00
65,1581109200000,0.27778,0.27808,0.27778,0.27808,1596.0,2020-02-07 21:00:00
66,1581105600000,0.27931,0.2794,0.27776,0.27776,10767.7,2020-02-07 20:00:00
67,1581102000000,0.27829,0.27982,0.27829,0.27957,15953.8,2020-02-07 19:00:00
68,1581098400000,0.27775,0.2797,0.27775,0.27899,2011.4,2020-02-07 18:00:00
69,1581094800000,0.27941,0.27941,0.2779,0.2779,6148.0,2020-02-07 17:00:00
70,1581091200000,0.27906,0.28035,0.27884,0.27937,12190.1,2020-02-07 16:00:00
71,1581087600000,0.28,0.28,0.27911,0.27963,7793.9,2020-02-07 15:00:00
72,1581084000000,0.28064,0.28073,0.28039,0.28039,4008.9,2020-02-07 14:00:00
73,1581080400000,0.279,0.279,0.279,0.279,380.0,2020-02-07 13:00:00
74,1581076800000,0.28,0.28026,0.2778,0.27831,26194.9,2020-02-07 12:00:00
75,1581073200000,0.284,0.284,0.28189,0.282,21789.6,2020-02-07 11:00:00
76,1581069600000,0.28344,0.28465,0.28216,0.28268,31594.3,2020-02-07 10:00:00
77,1581066000000,0.28194,0.28421,0.28144,0.28371,64241.6,2020-02-07 09:00:00
78,1581062400000,0.28194,0.28246,0.28092,0.28123,183219.3,2020-02-07 08:00:00
79,1581058800000,0.28137,0.2815,0.28048,0.28104,10863.0,2020-02-07 07:00:00
80,1581055200000,0.28071,0.282,0.28071,0.28187,6968.7,2020-02-07 06:00:00
81,1581051600000,0.2832,0.28353,0.28084,0.28096,14539.9,2020-02-07 05:00:00
82,1581048000000,0.28265,0.28278,0.28063,0.28208,15690.1,2020-02-07 04:00:00
83,1581044400000,0.28481,0.28513,0.28232,0.28232,24214.3,2020-02-07 03:00:00
84,1581040800000,0.28668,0.28668,0.28445,0.28455,8960.8,2020-02-07 02:00:00
85,1581037200000,0.28459,0.2874,0.2841,0.28557,22620.0,2020-02-07 01:00:00
86,1581033600000,0.28271,0.28417,0.28204,0.28417,2703.4,2020-02-07 00:00:00
87,1581030000000,0.27976,0.28327,0.27976,0.28287,17930.3,2020-02-06 23:00:00
88,1581026400000,0.28319,0.28319,0.281,0.28101,35095.2,2020-02-06 22:00:00
89,1581022800000,0.28226,0.28261,0.28098,0.28261,1309.1,2020-02-06 21:00:00
90,1581019200000,0.28157,0.28186,0.27981,0.28186,17720.8,2020-02-06 20:00:00
91,1581015600000,0.28223,0.28266,0.28067,0.28237,13031.1,2020-02-06 19:00:00
92,1581012000000,0.28204,0.28225,0.28177,0.28196,4632.6,2020-02-06 18:00:00
93,1581008400000,0.2794,0.28777,0.2794,0.28288,46473.5,2020-02-06 17:00:00
94,1581004800000,0.27909,0.27922,0.27611,0.27906,59516.7,2020-02-06 16:00:00
95,1581001200000,0.28017,0.28017,0.27754,0.27851,64229.3,2020-02-06 15:00:00
96,1580997600000,0.27423,0.2822,0.27314,0.28059,41347.3,2020-02-06 14:00:00
97,1580994000000,0.28292,0.28389,0.2682,0.27608,127898.0,2020-02-06 13:00:00
98,1580990400000,0.28166,0.28285,0.2815,0.28285,34974.9,2020-02-06 12:00:00
99,1580986800000,0.28055,0.28065,0.28027,0.28065,19799.8,2020-02-06 11:00:00
100,1580983200000,0.28114,0.28174,0.28114,0.28141,13755.9,2020-02-06 10:00:00
101,1580979600000,0.28128,0.28142,0.27955,0.28042,22570.9,2020-02-06 09:00:00
102,1580976000000,0.28045,0.28352,0.27966,0.28265,34636.3,2020-02-06 08:00:00
103,1580972400000,0.28116,0.28275,0.28049,0.28158,22246.4,2020-02-06 07:00:00
104,1580968800000,0.27999,0.28157,0.27949,0.28116,11576.8,2020-02-06 06:00:00
105,1580965200000,0.28236,0.28368,0.28153,0.28153,47715.3,2020-02-06 05:00:00
106,1580961600000,0.28171,0.28525,0.28149,0.2828,5444.2,2020-02-06 04:00:00
107,1580958000000,0.27572,0.27999,0.27461,0.27999,8157.6,2020-02-06 03:00:00
108,1580954400000,0.27646,0.27646,0.27449,0.2748,8319.8,2020-02-06 02:00:00
109,1580950800000,0.27443,0.27519,0.27443,0.27519,632.6,2020-02-06 01:00:00
110,1580947200000,0.27584,0.27584,0.27248,0.27467,51295.4,2020-02-06 00:00:00
111,1580943600000,0.27957,0.27957,0.2781,0.27817,2259.4,2020-02-05 23:00:00
112,1580940000000,0.2792,0.2792,0.2792,0.2792,455.4,2020-02-05 22:00:00
113,1580936400000,0.27676,0.27676,0.27676,0.27676,0.0,2020-02-05 21:00:00
114,1580932800000,0.27625,0.27726,0.27625,0.27676,1514.8,2020-02-05 20:00:00
115,1580929200000,0.27843,0.27843,0.27643,0.27669,3735.4,2020-02-05 19:00:00
116,1580925600000,0.27962,0.2799,0.27655,0.27856,8362.6,2020-02-05 18:00:00
117,1580922000000,0.27584,0.27584,0.27584,0.27584,7000.5,2020-02-05 17:00:00
118,1580918400000,0.27629,0.2767,0.27555,0.2767,2771.7,2020-02-05 16:00:00
119,1580914800000,0.27511,0.27511,0.27511,0.27511,475.2,2020-02-05 15:00:00
120,1580911200000,0.2745,0.27511,0.2745,0.27511,7750.2,2020-02-05 14:00:00
121,1580907600000,0.27346,0.27666,0.27346,0.27666,778.4,2020-02-05 13:00:00
122,1580904000000,0.27378,0.27378,0.2713,0.27259,73817.6,2020-02-05 12:00:00
123,1580900400000,0.27281,0.27477,0.27198,0.27416,56022.5,2020-02-05 11:00:00
124,1580896800000,0.2789,0.2789,0.26999,0.27345,80569.6,2020-02-05 10:00:00
125,1580893200000,0.27863,0.28096,0.27834,0.27916,33109.1,2020-02-05 09:00:00
126,1580889600000,0.27744,0.27744,0.27744,0.27744,1899.9,2020-02-05 08:00:00
127,1580886000000,0.27829,0.27962,0.27681,0.27891,4306.0,2020-02-05 07:00:00
128,1580882400000,0.28091,0.28091,0.27598,0.27633,15800.8,2020-02-05 06:00:00
129,1580878800000,0.27719,0.28025,0.27719,0.27988,8635.6,2020-02-05 05:00:00
130,1580875200000,0.27457,0.27951,0.27457,0.27951,2320.8,2020-02-05 04:00:00
131,1580871600000,0.27368,0.27368,0.27368,0.27368,161.0,2020-02-05 03:00:00
132,1580868000000,0.26976,0.27333,0.26976,0.27189,2630.6,2020-02-05 02:00:00
133,1580864400000,0.2705,0.27096,0.26999,0.27096,2310.6,2020-02-05 01:00:00
134,1580860800000,0.2682,0.27514,0.2682,0.27246,60750.2,2020-02-05 00:00:00
135,1580857200000,0.2652,0.2659,0.2636,0.2659,6921.8,2020-02-04 23:00:00
136,1580853600000,0.26448,0.26515,0.26448,0.26515,861.1,2020-02-04 22:00:00
137,1580850000000,0.26638,0.26638,0.26627,0.26635,29240.1,2020-02-04 21:00:00
138,1580846400000,0.26383,0.26621,0.26341,0.26509,21047.6,2020-02-04 20:00:00
139,1580842800000,0.26417,0.26666,0.26417,0.26503,9854.7,2020-02-04 19:00:00
140,1580839200000,0.26401,0.2647,0.26215,0.26215,9762.7,2020-02-04 18:00:00
141,1580835600000,0.26631,0.26631,0.26395,0.26453,31666.7,2020-02-04 17:00:00
142,1580832000000,0.26743,0.26999,0.26517,0.26584,46155.5,2020-02-04 16:00:00
143,1580828400000,0.2613,0.2703,0.2613,0.26666,142133.3,2020-02-04 15:00:00
144,1580824800000,0.25072,0.25999,0.25072,0.25926,18197.4,2020-02-04 14:00:00
145,1580821200000,0.2498,0.2498,0.2498,0.2498,0.0,2020-02-04 13:00:00
146,1580817600000,0.25093,0.25093,0.2498,0.2498,20526.2,2020-02-04 12:00:00
147,1580814000000,0.2498,0.25231,0.2498,0.25231,6031.8,2020-02-04 11:00:00
148,1580810400000,0.24956,0.24956,0.24956,0.24956,610.7,2020-02-04 10:00:00
149,1580806800000,0.2498,0.2498,0.2475,0.24902,9568.4,2020-02-04 09:00:00
150,1580803200000,0.25051,0.25072,0.25051,0.25072,3191.5,2020-02-04 08:00:00
151,1580799600000,0.2521,0.2521,0.2521,0.2521,42.6,2020-02-04 07:00:00
152,1580796000000,0.25011,0.25011,0.25011,0.25011,0.0,2020-02-04 06:00:00
153,1580792400000,0.25011,0.25011,0.25011,0.25011,60.7,2020-02-04 05:00:00
154,1580788800000,0.25227,0.25227,0.2498,0.2506,6167.4,2020-02-04 04:00:00
155,1580785200000,0.25254,0.25279,0.2521,0.25279,1402.1,2020-02-04 03:00:00
156,1580781600000,0.25364,0.25533,0.25364,0.25397,22675.2,2020-02-04 02:00:00
157,1580778000000,0.2544,0.2544,0.25294,0.25294,836.0,2020-02-04 01:00:00
158,1580774400000,0.25534,0.2567,0.25476,0.25476,3324.1,2020-02-04 00:00:00
159,1580770800000,0.25336,0.25508,0.25336,0.25422,29377.4,2020-02-03 23:00:00
160,1580767200000,0.25167,0.25293,0.25161,0.25161,9161.3,2020-02-03 22:00:00
161,1580763600000,0.25168,0.25215,0.25156,0.25215,7812.4,2020-02-03 21:00:00
162,1580760000000,0.24973,0.25381,0.24972,0.25274,48257.9,2020-02-03 20:00:00
163,1580756400000,0.24952,0.24952,0.24952,0.24952,100.0,2020-02-03 19:00:00
164,1580752800000,0.24999,0.24999,0.24999,0.24999,560.7,2020-02-03 18:00:00
165,1580749200000,0.24759,0.24827,0.24759,0.24807,10886.3,2020-02-03 17:00:00
166,1580745600000,0.24666,0.24836,0.24666,0.24771,2685.3,2020-02-03 16:00:00
167,1580742000000,0.2488,0.24912,0.24761,0.24761,356.8,2020-02-03 15:00:00
168,1580738400000,0.24758,0.24813,0.247,0.24813,6787.7,2020-02-03 14:00:00
169,1580734800000,0.25113,0.25113,0.25113,0.25113,0.0,2020-02-03 13:00:00
170,1580731200000,0.25113,0.25113,0.25113,0.25113,0.0,2020-02-03 12:00:00
171,1580727600000,0.24989,0.25113,0.24916,0.25113,3200.2,2020-02-03 11:00:00
172,1580724000000,0.24999,0.24999,0.24799,0.24894,14612.7,2020-02-03 10:00:00
173,1580720400000,0.25205,0.25206,0.25151,0.25151,7434.2,2020-02-03 09:00:00
174,1580716800000,0.25236,0.25236,0.25236,0.25236,1284.0,2020-02-03 08:00:00
175,1580713200000,0.25199,0.25199,0.2513,0.2513,13321.5,2020-02-03 07:00:00
176,1580709600000,0.25181,0.25181,0.25181,0.25181,0.0,2020-02-03 06:00:00
177,1580706000000,0.25181,0.25181,0.25181,0.25181,0.0,2020-02-03 05:00:00
178,1580702400000,0.25175,0.25181,0.25175,0.25181,12460.8,2020-02-03 04:00:00
179,1580698800000,0.25097,0.25098,0.25047,0.25098,1473.2,2020-02-03 03:00:00
180,1580695200000,0.25384,0.25384,0.25077,0.25261,14287.9,2020-02-03 02:00:00
181,1580691600000,0.25542,0.25907,0.2552,0.25587,19399.5,2020-02-03 01:00:00
182,1580688000000,0.24999,0.25499,0.24939,0.25499,15304.2,2020-02-03 00:00:00
183,1580684400000,0.25227,0.25227,0.25084,0.25196,10143.8,2020-02-02 23:00:00
184,1580680800000,0.25486,0.25486,0.2506,0.25143,12006.8,2020-02-02 22:00:00
185,1580677200000,0.25666,0.25666,0.25666,0.25666,660.7,2020-02-02 21:00:00
186,1580673600000,0.25462,0.2557,0.25462,0.2557,25160.5,2020-02-02 20:00:00
