,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.7,2.7,2.6614,2.6708,126153.03,2020-02-10 15:00:00
1,1581343200000,2.6883,2.724,2.639,2.7,551914.93,2020-02-10 14:00:00
2,1581339600000,2.6803,2.719,2.6684,2.6935,413250.4,2020-02-10 13:00:00
3,1581336000000,2.5856,2.6964,2.5819,2.6806,532365.91,2020-02-10 12:00:00
4,1581332400000,2.5918,2.6018,2.5429,2.5779,232338.05,2020-02-10 11:00:00
5,1581328800000,2.5472,2.5972,2.5408,2.5859,346333.05,2020-02-10 10:00:00
6,1581325200000,2.5803,2.5886,2.4614,2.5475,679552.09,2020-02-10 09:00:00
7,1581321600000,2.6113,2.6199,2.55,2.5855,451454.99,2020-02-10 08:00:00
8,1581318000000,2.626,2.6513,2.589,2.6164,364119.7,2020-02-10 07:00:00
9,1581314400000,2.643,2.6669,2.5798,2.626,538819.95,2020-02-10 06:00:00
10,1581310800000,2.6654,2.7384,2.63,2.643,338869.23,2020-02-10 05:00:00
11,1581307200000,2.685,2.694,2.64,2.6681,199326.78,2020-02-10 04:00:00
12,1581303600000,2.6493,2.72,2.6456,2.6851,315567.32,2020-02-10 03:00:00
13,1581300000000,2.6159,2.6556,2.6093,2.6405,105531.44,2020-02-10 02:00:00
14,1581296400000,2.6522,2.6594,2.6,2.6165,285645.15,2020-02-10 01:00:00
15,1581292800000,2.6421,2.6872,2.641,2.6521,178240.08,2020-02-10 00:00:00
16,1581289200000,2.681,2.6996,2.63,2.6423,368927.61,2020-02-09 23:00:00
17,1581285600000,2.6359,2.749,2.6301,2.681,564243.32,2020-02-09 22:00:00
18,1581282000000,2.5749,2.64,2.5568,2.635,250485.65,2020-02-09 21:00:00
19,1581278400000,2.612,2.6216,2.5508,2.5749,230319.92,2020-02-09 20:00:00
20,1581274800000,2.5567,2.6236,2.5277,2.6097,383310.82,2020-02-09 19:00:00
21,1581271200000,2.5977,2.6297,2.542,2.5568,578356.96,2020-02-09 18:00:00
22,1581267600000,2.6693,2.68,2.5678,2.5977,577448.96,2020-02-09 17:00:00
23,1581264000000,2.58,2.7,2.58,2.6778,1161382.63,2020-02-09 16:00:00
24,1581260400000,2.5192,2.5876,2.455,2.58,835398.06,2020-02-09 15:00:00
25,1581256800000,2.445,2.525,2.4352,2.5194,413230.91,2020-02-09 14:00:00
26,1581253200000,2.4069,2.4774,2.4068,2.4477,248707.41,2020-02-09 13:00:00
27,1581249600000,2.4332,2.4454,2.389,2.4069,154633.43,2020-02-09 12:00:00
28,1581246000000,2.4409,2.4736,2.4113,2.4316,176296.9,2020-02-09 11:00:00
29,1581242400000,2.403,2.4499,2.3715,2.4422,336470.59,2020-02-09 10:00:00
30,1581238800000,2.4213,2.475,2.37,2.4007,475377.42,2020-02-09 09:00:00
31,1581235200000,2.376,2.4494,2.3713,2.425,587936.21,2020-02-09 08:00:00
32,1581231600000,2.3207,2.3765,2.3205,2.372,172114.61,2020-02-09 07:00:00
33,1581228000000,2.3291,2.3319,2.3094,2.3248,59421.19,2020-02-09 06:00:00
34,1581224400000,2.33,2.3325,2.3012,2.3261,78331.15,2020-02-09 05:00:00
35,1581220800000,2.3157,2.335,2.2976,2.3248,73693.4,2020-02-09 04:00:00
36,1581217200000,2.3367,2.35,2.282,2.3146,196487.18,2020-02-09 03:00:00
37,1581210000000,2.3483,2.3495,2.3132,2.3375,87392.99,2020-02-09 01:00:00
38,1581206400000,2.2947,2.3495,2.2898,2.348,134478.38,2020-02-09 00:00:00
39,1581202800000,2.2905,2.3055,2.2813,2.2947,85718.4,2020-02-08 23:00:00
40,1581199200000,2.253,2.2901,2.253,2.2901,57453.87,2020-02-08 22:00:00
41,1581195600000,2.2783,2.2889,2.2353,2.2535,175950.71,2020-02-08 21:00:00
42,1581192000000,2.2947,2.2998,2.2501,2.2796,161921.61,2020-02-08 20:00:00
43,1581188400000,2.2341,2.3197,2.2311,2.3037,408760.81,2020-02-08 19:00:00
44,1581184800000,2.2126,2.238,2.2017,2.2341,96041.53,2020-02-08 18:00:00
45,1581181200000,2.2146,2.2178,2.1916,2.2097,89568.43,2020-02-08 17:00:00
46,1581177600000,2.18,2.2153,2.1729,2.2153,104127.31,2020-02-08 16:00:00
47,1581174000000,2.1978,2.202,2.175,2.1804,94095.96,2020-02-08 15:00:00
48,1581170400000,2.135,2.2099,2.133,2.1978,226271.86,2020-02-08 14:00:00
49,1581166800000,2.1405,2.1593,2.1199,2.14,79869.48,2020-02-08 13:00:00
50,1581163200000,2.1234,2.145,2.1195,2.145,22752.23,2020-02-08 12:00:00
51,1581159600000,2.1233,2.1295,2.1143,2.124,26782.33,2020-02-08 11:00:00
52,1581156000000,2.1355,2.1462,2.1223,2.1244,73224.93,2020-02-08 10:00:00
53,1581152400000,2.1456,2.1486,2.1305,2.1387,41631.38,2020-02-08 09:00:00
54,1581148800000,2.0978,2.1576,2.0954,2.1459,116195.93,2020-02-08 08:00:00
55,1581145200000,2.1342,2.1362,2.085,2.0978,109313.69,2020-02-08 07:00:00
56,1581141600000,2.1459,2.1506,2.1308,2.1322,64960.27,2020-02-08 06:00:00
57,1581138000000,2.1225,2.148,2.1111,2.1461,112491.55,2020-02-08 05:00:00
58,1581134400000,2.0969,2.1247,2.085,2.1226,161918.56,2020-02-08 04:00:00
59,1581130800000,2.0722,2.0991,2.01,2.0967,336538.06,2020-02-08 03:00:00
60,1581127200000,2.1589,2.1589,2.0524,2.069,330678.35,2020-02-08 02:00:00
61,1581123600000,2.1863,2.1917,2.1516,2.159,101239.11,2020-02-08 01:00:00
62,1581120000000,2.1899,2.2002,2.1828,2.186,43101.69,2020-02-08 00:00:00
63,1581116400000,2.2149,2.2149,2.1857,2.19,56771.04,2020-02-07 23:00:00
64,1581112800000,2.1863,2.2164,2.1833,2.2148,44115.95,2020-02-07 22:00:00
65,1581109200000,2.1928,2.1955,2.17,2.1834,88859.32,2020-02-07 21:00:00
66,1581105600000,2.2265,2.2271,2.1884,2.1931,113235.68,2020-02-07 20:00:00
67,1581102000000,2.197,2.2283,2.1939,2.2251,62333.58,2020-02-07 19:00:00
68,1581098400000,2.1751,2.2129,2.1713,2.1992,101713.72,2020-02-07 18:00:00
69,1581094800000,2.1911,2.1948,2.1732,2.1751,64791.02,2020-02-07 17:00:00
70,1581091200000,2.1908,2.1966,2.18,2.1917,73745.72,2020-02-07 16:00:00
71,1581087600000,2.2015,2.2079,2.1902,2.1908,66774.96,2020-02-07 15:00:00
72,1581084000000,2.1879,2.2057,2.1828,2.2015,123676.0,2020-02-07 14:00:00
73,1581080400000,2.1781,2.19,2.1716,2.1874,81349.01,2020-02-07 13:00:00
74,1581076800000,2.2387,2.2409,2.1705,2.1728,257645.53,2020-02-07 12:00:00
75,1581073200000,2.2316,2.2601,2.221,2.2352,184452.96,2020-02-07 11:00:00
76,1581069600000,2.2562,2.264,2.2232,2.2316,212000.88,2020-02-07 10:00:00
77,1581066000000,2.1951,2.2569,2.1927,2.2566,226576.36,2020-02-07 09:00:00
78,1581062400000,2.185,2.2097,2.185,2.198,97692.37,2020-02-07 08:00:00
79,1581058800000,2.1841,2.1957,2.1751,2.1854,73596.01,2020-02-07 07:00:00
80,1581055200000,2.1789,2.1935,2.172,2.1851,147871.64,2020-02-07 06:00:00
81,1581051600000,2.1775,2.1842,2.17,2.1725,45987.65,2020-02-07 05:00:00
82,1581048000000,2.1865,2.1915,2.17,2.1769,78992.63,2020-02-07 04:00:00
83,1581044400000,2.1969,2.1997,2.1577,2.1854,87266.64,2020-02-07 03:00:00
84,1581040800000,2.1843,2.204,2.1821,2.1969,77264.78,2020-02-07 02:00:00
85,1581037200000,2.1859,2.1877,2.1715,2.1831,84204.16,2020-02-07 01:00:00
86,1581033600000,2.1692,2.1953,2.1685,2.1859,107003.51,2020-02-07 00:00:00
87,1581030000000,2.1547,2.1745,2.1504,2.1691,49497.76,2020-02-06 23:00:00
88,1581026400000,2.1575,2.1608,2.15,2.1582,61255.86,2020-02-06 22:00:00
89,1581022800000,2.1671,2.1774,2.1506,2.1506,56819.29,2020-02-06 21:00:00
90,1581019200000,2.15,2.1757,2.15,2.1656,64727.36,2020-02-06 20:00:00
91,1581015600000,2.1688,2.1688,2.15,2.1504,69023.46,2020-02-06 19:00:00
92,1581012000000,2.1758,2.1815,2.1627,2.1644,47278.57,2020-02-06 18:00:00
93,1581008400000,2.1841,2.1999,2.1672,2.1733,75040.2,2020-02-06 17:00:00
94,1581004800000,2.202,2.204,2.1785,2.1792,187264.78,2020-02-06 16:00:00
95,1581001200000,2.1608,2.2013,2.1387,2.2,216787.12,2020-02-06 15:00:00
96,1580997600000,2.158,2.1839,2.1275,2.1602,330778.32,2020-02-06 14:00:00
97,1580994000000,2.2037,2.2073,2.1518,2.1631,208872.79,2020-02-06 13:00:00
98,1580990400000,2.1898,2.2108,2.172,2.205,214850.95,2020-02-06 12:00:00
99,1580986800000,2.1949,2.2234,2.1775,2.1897,223918.37,2020-02-06 11:00:00
100,1580983200000,2.1811,2.2067,2.1786,2.1949,155228.14,2020-02-06 10:00:00
101,1580979600000,2.1827,2.1867,2.1662,2.1812,99346.66,2020-02-06 09:00:00
102,1580976000000,2.1673,2.1988,2.16,2.1825,203524.83,2020-02-06 08:00:00
103,1580972400000,2.1698,2.2052,2.1565,2.162,143767.22,2020-02-06 07:00:00
104,1580968800000,2.1474,2.1787,2.1347,2.166,205617.36,2020-02-06 06:00:00
105,1580965200000,2.1887,2.2034,2.141,2.1454,239656.41,2020-02-06 05:00:00
106,1580961600000,2.2149,2.225,2.1795,2.19,216768.48,2020-02-06 04:00:00
107,1580958000000,2.2496,2.2498,2.195,2.2153,272180.78,2020-02-06 03:00:00
108,1580954400000,2.2006,2.25,2.1695,2.2498,329024.61,2020-02-06 02:00:00
109,1580950800000,2.1227,2.2066,2.1207,2.2004,195240.69,2020-02-06 01:00:00
110,1580947200000,2.1441,2.1506,2.1173,2.12,108433.5,2020-02-06 00:00:00
111,1580943600000,2.1652,2.1716,2.123,2.1441,238867.42,2020-02-05 23:00:00
112,1580940000000,2.1864,2.1895,2.1541,2.1746,155706.92,2020-02-05 22:00:00
113,1580936400000,2.1716,2.2054,2.171,2.1864,128639.62,2020-02-05 21:00:00
114,1580932800000,2.182,2.2329,2.1495,2.1759,472062.67,2020-02-05 20:00:00
115,1580929200000,2.1386,2.1843,2.1346,2.1843,214219.0,2020-02-05 19:00:00
116,1580925600000,2.1315,2.1457,2.107,2.1366,208411.43,2020-02-05 18:00:00
117,1580922000000,2.1487,2.1487,2.1162,2.1308,182171.77,2020-02-05 17:00:00
118,1580918400000,2.1012,2.164,2.0908,2.1487,202795.75,2020-02-05 16:00:00
119,1580914800000,2.1237,2.1497,2.0827,2.1012,334422.24,2020-02-05 15:00:00
120,1580911200000,2.1989,2.2,2.1184,2.1267,412061.29,2020-02-05 14:00:00
121,1580907600000,2.0664,2.1983,2.06,2.1983,641790.14,2020-02-05 13:00:00
122,1580904000000,2.0815,2.095,2.055,2.0697,186901.56,2020-02-05 12:00:00
123,1580900400000,2.0526,2.09,2.043,2.0814,189123.12,2020-02-05 11:00:00
124,1580896800000,2.0053,2.0709,1.995,2.0477,598520.12,2020-02-05 10:00:00
125,1580893200000,2.0057,2.02,1.9999,2.0096,193882.93,2020-02-05 09:00:00
126,1580889600000,1.9875,2.018,1.9849,2.0051,216944.32,2020-02-05 08:00:00
127,1580886000000,1.9586,1.988,1.9476,1.988,138865.27,2020-02-05 07:00:00
128,1580882400000,1.9535,1.96,1.9397,1.9589,77255.18,2020-02-05 06:00:00
129,1580878800000,1.95,1.9575,1.9335,1.9526,99119.6,2020-02-05 05:00:00
130,1580875200000,1.9398,1.9546,1.9197,1.95,188220.25,2020-02-05 04:00:00
131,1580871600000,1.9313,1.944,1.924,1.944,30829.77,2020-02-05 03:00:00
132,1580868000000,1.9468,1.952,1.93,1.9343,52018.1,2020-02-05 02:00:00
133,1580864400000,1.9408,1.9571,1.9405,1.9477,55433.93,2020-02-05 01:00:00
134,1580860800000,1.9232,1.9511,1.9109,1.944,182119.36,2020-02-05 00:00:00
135,1580857200000,1.9302,1.9354,1.9229,1.923,29862.93,2020-02-04 23:00:00
136,1580853600000,1.9558,1.9588,1.9293,1.9344,59652.13,2020-02-04 22:00:00
137,1580850000000,1.9517,1.9565,1.9435,1.956,49900.35,2020-02-04 21:00:00
138,1580846400000,1.9268,1.957,1.9257,1.957,107259.67,2020-02-04 20:00:00
139,1580842800000,1.9284,1.932,1.9254,1.93,32152.61,2020-02-04 19:00:00
140,1580839200000,1.933,1.9459,1.9251,1.9254,82841.96,2020-02-04 18:00:00
141,1580835600000,1.9369,1.9535,1.9209,1.9332,74237.37,2020-02-04 17:00:00
142,1580832000000,1.9489,1.9521,1.9233,1.9391,131817.36,2020-02-04 16:00:00
143,1580828400000,1.8958,1.9488,1.8919,1.9488,209829.16,2020-02-04 15:00:00
144,1580824800000,1.9256,1.9256,1.8865,1.8951,260339.91,2020-02-04 14:00:00
145,1580821200000,1.8999,1.946,1.8998,1.9209,305818.48,2020-02-04 13:00:00
146,1580817600000,2.0079,2.03,1.8903,1.8999,680662.79,2020-02-04 12:00:00
147,1580814000000,2.0222,2.03,1.9779,2.0066,186136.9,2020-02-04 11:00:00
148,1580810400000,1.9111,2.04,1.9067,2.0238,314500.69,2020-02-04 10:00:00
149,1580806800000,1.9415,1.9501,1.905,1.9112,177474.67,2020-02-04 09:00:00
150,1580803200000,1.9814,1.9875,1.94,1.9417,104221.5,2020-02-04 08:00:00
151,1580799600000,1.935,1.9911,1.926,1.977,106769.22,2020-02-04 07:00:00
152,1580796000000,1.94,1.9482,1.9303,1.9324,47663.68,2020-02-04 06:00:00
153,1580792400000,1.9402,1.9432,1.9276,1.9431,98761.68,2020-02-04 05:00:00
154,1580788800000,1.9551,2.0,1.94,1.9402,174961.11,2020-02-04 04:00:00
155,1580785200000,1.9711,1.9731,1.9482,1.9551,63392.19,2020-02-04 03:00:00
156,1580781600000,1.988,1.9905,1.9558,1.9689,84362.61,2020-02-04 02:00:00
157,1580778000000,1.997,2.0246,1.9845,1.988,122838.07,2020-02-04 01:00:00
158,1580774400000,1.9966,2.0342,1.9845,1.9988,120669.33,2020-02-04 00:00:00
159,1580770800000,1.9894,2.0447,1.9823,1.9968,212009.71,2020-02-03 23:00:00
160,1580767200000,1.9503,1.9894,1.9502,1.9879,131397.12,2020-02-03 22:00:00
161,1580763600000,1.9752,1.9835,1.9369,1.9477,200455.76,2020-02-03 21:00:00
162,1580760000000,2.0228,2.0259,1.9741,1.9792,106226.15,2020-02-03 20:00:00
163,1580756400000,1.9998,2.046,1.9998,2.0228,229964.38,2020-02-03 19:00:00
164,1580752800000,2.0215,2.0287,1.96,1.9994,354252.41,2020-02-03 18:00:00
165,1580749200000,2.0633,2.0697,2.01,2.0222,361504.36,2020-02-03 17:00:00
166,1580745600000,2.0137,2.1099,2.0102,2.0634,377346.01,2020-02-03 16:00:00
167,1580742000000,2.0856,2.0965,2.005,2.0138,644196.97,2020-02-03 15:00:00
168,1580738400000,1.9645,2.093,1.9641,2.0858,1023057.61,2020-02-03 14:00:00
169,1580734800000,1.9406,1.9764,1.9353,1.9673,185759.22,2020-02-03 13:00:00
170,1580731200000,1.9143,1.9539,1.9063,1.9417,110024.17,2020-02-03 12:00:00
171,1580727600000,1.9462,1.9575,1.9047,1.9131,187918.24,2020-02-03 11:00:00
172,1580724000000,1.919,1.955,1.9169,1.9462,139310.05,2020-02-03 10:00:00
173,1580720400000,1.9144,1.9225,1.9088,1.9196,106599.2,2020-02-03 09:00:00
174,1580716800000,1.9092,1.9181,1.9021,1.9145,62988.85,2020-02-03 08:00:00
175,1580713200000,1.9229,1.9229,1.9027,1.9092,68060.1,2020-02-03 07:00:00
176,1580709600000,1.9106,1.9359,1.905,1.9166,89095.48,2020-02-03 06:00:00
177,1580706000000,1.9485,1.95,1.9053,1.9115,125803.51,2020-02-03 05:00:00
178,1580702400000,1.9162,1.9598,1.9159,1.9486,305638.67,2020-02-03 04:00:00
179,1580698800000,1.9175,1.9189,1.9,1.9184,46406.96,2020-02-03 03:00:00
180,1580695200000,1.8946,1.9217,1.88,1.918,93997.76,2020-02-03 02:00:00
181,1580691600000,1.9199,1.9281,1.8846,1.8966,188340.65,2020-02-03 01:00:00
182,1580688000000,1.9261,1.9279,1.87,1.9172,259858.58,2020-02-03 00:00:00
183,1580684400000,1.878,1.9291,1.8617,1.929,259550.15,2020-02-02 23:00:00
184,1580680800000,1.8837,1.9065,1.86,1.8795,399713.03,2020-02-02 22:00:00
185,1580677200000,1.9753,1.9923,1.878,1.8875,584697.5,2020-02-02 21:00:00
186,1580673600000,1.9249,2.0094,1.9097,1.9745,804654.2,2020-02-02 20:00:00
187,1580670000000,1.7961,1.9899,1.7956,1.93,1204837.27,2020-02-02 19:00:00
188,1580666400000,1.7594,1.799,1.7594,1.799,114711.24,2020-02-02 18:00:00
189,1580662800000,1.752,1.7641,1.752,1.7603,38330.71,2020-02-02 17:00:00
190,1580659200000,1.7524,1.7602,1.7505,1.7516,35310.83,2020-02-02 16:00:00
191,1580655600000,1.7583,1.7619,1.7528,1.7528,28025.12,2020-02-02 15:00:00
192,1580652000000,1.756,1.77,1.745,1.7588,90600.18,2020-02-02 14:00:00
193,1580648400000,1.7278,1.7712,1.7234,1.7529,123210.8,2020-02-02 13:00:00
194,1580644800000,1.7411,1.7441,1.7171,1.7312,74796.63,2020-02-02 12:00:00
195,1580641200000,1.7456,1.747,1.7374,1.7379,57725.89,2020-02-02 11:00:00
196,1580637600000,1.7468,1.7557,1.7452,1.746,48258.47,2020-02-02 10:00:00
197,1580634000000,1.7522,1.7531,1.7423,1.7463,26149.79,2020-02-02 09:00:00
198,1580630400000,1.7524,1.7541,1.742,1.7515,42269.33,2020-02-02 08:00:00
199,1580626800000,1.741,1.754,1.7307,1.749,36689.11,2020-02-02 07:00:00
200,1580623200000,1.7467,1.749,1.7341,1.741,35341.77,2020-02-02 06:00:00
201,1580619600000,1.7414,1.7529,1.7296,1.7439,47058.33,2020-02-02 05:00:00
202,1580616000000,1.7126,1.7442,1.7028,1.741,65264.4,2020-02-02 04:00:00
203,1580612400000,1.702,1.7157,1.6996,1.7157,23547.09,2020-02-02 03:00:00
204,1580608800000,1.7249,1.7293,1.6943,1.7002,65493.74,2020-02-02 02:00:00
205,1580605200000,1.7182,1.7246,1.7019,1.7245,93074.47,2020-02-02 01:00:00
206,1580601600000,1.7483,1.7622,1.6921,1.7182,246442.46,2020-02-02 00:00:00
207,1580598000000,1.7309,1.749,1.7309,1.749,57235.14,2020-02-01 23:00:00
208,1580594400000,1.7368,1.7405,1.7296,1.7347,40360.73,2020-02-01 22:00:00
209,1580590800000,1.7374,1.7399,1.7257,1.7363,69203.98,2020-02-01 21:00:00
210,1580587200000,1.711,1.7427,1.7084,1.7373,263732.27,2020-02-01 20:00:00
211,1580583600000,1.698,1.7109,1.698,1.7109,31604.4,2020-02-01 19:00:00
212,1580580000000,1.6965,1.7015,1.6926,1.7015,26058.96,2020-02-01 18:00:00
213,1580576400000,1.6935,1.6979,1.6863,1.6901,18928.86,2020-02-01 17:00:00
214,1580572800000,1.6927,1.6986,1.6881,1.692,36372.92,2020-02-01 16:00:00
215,1580569200000,1.6841,1.6956,1.6841,1.6896,28908.62,2020-02-01 15:00:00
216,1580565600000,1.6855,1.6868,1.6756,1.684,16971.86,2020-02-01 14:00:00
217,1580562000000,1.6711,1.6867,1.6711,1.6867,35318.05,2020-02-01 13:00:00
218,1580558400000,1.6754,1.6784,1.6655,1.6718,29531.96,2020-02-01 12:00:00
219,1580554800000,1.6718,1.6787,1.6617,1.6787,35498.63,2020-02-01 11:00:00
220,1580551200000,1.6665,1.6801,1.6646,1.6718,24461.03,2020-02-01 10:00:00
221,1580547600000,1.669,1.6693,1.6598,1.6642,17231.58,2020-02-01 09:00:00
222,1580544000000,1.678,1.6792,1.6688,1.6713,15684.02,2020-02-01 08:00:00
223,1580540400000,1.6863,1.69,1.6765,1.6765,35667.25,2020-02-01 07:00:00
224,1580536800000,1.6783,1.6874,1.6759,1.6858,33911.28,2020-02-01 06:00:00
225,1580533200000,1.6854,1.6863,1.6769,1.6794,28806.72,2020-02-01 05:00:00
226,1580529600000,1.6783,1.6858,1.6783,1.685,45607.59,2020-02-01 04:00:00
227,1580526000000,1.6769,1.6816,1.6725,1.6816,22957.92,2020-02-01 03:00:00
228,1580522400000,1.6628,1.6789,1.66,1.6772,52937.69,2020-02-01 02:00:00
229,1580518800000,1.6571,1.666,1.655,1.6609,17838.58,2020-02-01 01:00:00
230,1580515200000,1.6586,1.663,1.6549,1.6579,16531.52,2020-02-01 00:00:00
231,1580511600000,1.6641,1.6685,1.6551,1.6564,19847.88,2020-01-31 23:00:00
232,1580508000000,1.662,1.6707,1.6584,1.6653,17137.73,2020-01-31 22:00:00
233,1580504400000,1.6545,1.6641,1.6515,1.6628,11292.66,2020-01-31 21:00:00
234,1580500800000,1.6609,1.668,1.6521,1.6521,43320.87,2020-01-31 20:00:00
235,1580497200000,1.6564,1.6653,1.653,1.6569,40435.46,2020-01-31 19:00:00
236,1580493600000,1.6488,1.6573,1.6474,1.655,33814.68,2020-01-31 18:00:00
237,1580490000000,1.6562,1.6581,1.6473,1.6495,43079.46,2020-01-31 17:00:00
238,1580486400000,1.6729,1.6729,1.6524,1.6525,39910.24,2020-01-31 16:00:00
239,1580482800000,1.6695,1.6777,1.6667,1.6729,36432.8,2020-01-31 15:00:00
240,1580479200000,1.671,1.677,1.6455,1.6666,93469.77,2020-01-31 14:00:00
241,1580475600000,1.6635,1.6757,1.6577,1.6741,54474.14,2020-01-31 13:00:00
242,1580472000000,1.6822,1.6958,1.6549,1.6639,163957.32,2020-01-31 12:00:00
243,1580468400000,1.6986,1.7009,1.6831,1.6878,35306.3,2020-01-31 11:00:00
244,1580464800000,1.6937,1.705,1.6769,1.6982,117312.54,2020-01-31 10:00:00
245,1580461200000,1.6893,1.7057,1.6892,1.6937,76207.48,2020-01-31 09:00:00
246,1580457600000,1.6567,1.6945,1.65,1.6927,176279.51,2020-01-31 08:00:00
247,1580454000000,1.6765,1.6785,1.6559,1.6599,55900.68,2020-01-31 07:00:00
248,1580450400000,1.6821,1.6871,1.66,1.6776,142793.81,2020-01-31 06:00:00
249,1580446800000,1.7189,1.7217,1.682,1.6821,118977.81,2020-01-31 05:00:00
250,1580443200000,1.6859,1.724,1.6833,1.7186,156342.94,2020-01-31 04:00:00
251,1580439600000,1.6813,1.6928,1.6813,1.688,42938.8,2020-01-31 03:00:00
