,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.023e-05,2.049e-05,2.004e-05,2.049e-05,873818.0,2020-02-10 15:00:00
1,1581343200000,2.037e-05,2.041e-05,2.028e-05,2.028e-05,384460.0,2020-02-10 14:00:00
2,1581339600000,2.03e-05,2.039e-05,2.01e-05,2.032e-05,780004.0,2020-02-10 13:00:00
3,1581336000000,2.026e-05,2.049e-05,2.014e-05,2.031e-05,365968.0,2020-02-10 12:00:00
4,1581332400000,2.046e-05,2.071e-05,2.021e-05,2.045e-05,366269.0,2020-02-10 11:00:00
5,1581328800000,2.048e-05,2.061e-05,2.045e-05,2.061e-05,371358.0,2020-02-10 10:00:00
6,1581325200000,2.045e-05,2.069e-05,2.031e-05,2.048e-05,833126.0,2020-02-10 09:00:00
7,1581321600000,2.069e-05,2.084e-05,2.033e-05,2.058e-05,718573.0,2020-02-10 08:00:00
8,1581318000000,2.095e-05,2.095e-05,2.05e-05,2.069e-05,1908237.0,2020-02-10 07:00:00
9,1581314400000,2.087e-05,2.095e-05,2.071e-05,2.095e-05,607325.0,2020-02-10 06:00:00
10,1581310800000,2.099e-05,2.113e-05,2.091e-05,2.091e-05,792390.0,2020-02-10 05:00:00
11,1581307200000,2.099e-05,2.113e-05,2.086e-05,2.113e-05,82363.0,2020-02-10 04:00:00
12,1581303600000,2.086e-05,2.091e-05,2.086e-05,2.091e-05,6788.0,2020-02-10 03:00:00
13,1581300000000,2.086e-05,2.098e-05,2.086e-05,2.087e-05,49150.0,2020-02-10 02:00:00
14,1581296400000,2.066e-05,2.111e-05,2.066e-05,2.086e-05,541716.0,2020-02-10 01:00:00
15,1581292800000,2.069e-05,2.086e-05,2.066e-05,2.067e-05,281087.0,2020-02-10 00:00:00
16,1581289200000,2.057e-05,2.073e-05,2.057e-05,2.061e-05,113890.0,2020-02-09 23:00:00
17,1581285600000,2.058e-05,2.059e-05,2.056e-05,2.056e-05,125953.0,2020-02-09 22:00:00
18,1581282000000,2.068e-05,2.089e-05,2.059e-05,2.059e-05,339375.0,2020-02-09 21:00:00
19,1581278400000,2.063e-05,2.086e-05,2.063e-05,2.068e-05,165821.0,2020-02-09 20:00:00
20,1581274800000,2.047e-05,2.063e-05,2.042e-05,2.063e-05,74010.0,2020-02-09 19:00:00
21,1581271200000,2.049e-05,2.063e-05,2.049e-05,2.063e-05,188545.0,2020-02-09 18:00:00
22,1581267600000,2.059e-05,2.064e-05,2.049e-05,2.049e-05,172988.0,2020-02-09 17:00:00
23,1581264000000,2.059e-05,2.078e-05,2.054e-05,2.059e-05,166826.0,2020-02-09 16:00:00
24,1581260400000,2.071e-05,2.1e-05,2.045e-05,2.077e-05,2068714.0,2020-02-09 15:00:00
25,1581256800000,2.053e-05,2.074e-05,2.036e-05,2.07e-05,151542.0,2020-02-09 14:00:00
26,1581253200000,2.06e-05,2.07e-05,2.041e-05,2.041e-05,274816.0,2020-02-09 13:00:00
27,1581249600000,2.085e-05,2.085e-05,2.034e-05,2.059e-05,3361233.0,2020-02-09 12:00:00
28,1581246000000,2.032e-05,2.086e-05,2.003e-05,2.085e-05,2160195.0,2020-02-09 11:00:00
29,1581242400000,2.046e-05,2.063e-05,2.03e-05,2.031e-05,223954.0,2020-02-09 10:00:00
30,1581238800000,2.03e-05,2.065e-05,2.03e-05,2.046e-05,290544.0,2020-02-09 09:00:00
31,1581235200000,2.033e-05,2.06e-05,2.002e-05,2.034e-05,304484.0,2020-02-09 08:00:00
32,1581231600000,1.994e-05,2.046e-05,1.99e-05,2.038e-05,1469939.0,2020-02-09 07:00:00
33,1581228000000,1.999e-05,2.007e-05,1.989e-05,1.994e-05,166258.0,2020-02-09 06:00:00
34,1581224400000,1.995e-05,2.014e-05,1.994e-05,1.999e-05,378454.0,2020-02-09 05:00:00
35,1581220800000,1.997e-05,2.006e-05,1.952e-05,1.997e-05,672740.0,2020-02-09 04:00:00
36,1581217200000,2e-05,2.009e-05,1.972e-05,1.997e-05,466579.0,2020-02-09 03:00:00
