,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.034367,0.034367,0.034367,0.034367,0.0,2020-02-10 15:00:00
1,1581343200000,0.034385,0.034385,0.033871,0.034367,107.5,2020-02-10 14:00:00
2,1581339600000,0.034187,0.034187,0.034187,0.034187,26.03,2020-02-10 13:00:00
3,1581336000000,0.03452,0.03452,0.034187,0.034187,231.39,2020-02-10 12:00:00
4,1581332400000,0.034423,0.034552,0.034323,0.034522,53.04,2020-02-10 11:00:00
5,1581328800000,0.034356,0.034509,0.033976,0.03412,1180.34,2020-02-10 10:00:00
6,1581325200000,0.034405,0.034652,0.034139,0.034652,68.99,2020-02-10 09:00:00
7,1581321600000,0.034189,0.034519,0.034186,0.034399,1307.69,2020-02-10 08:00:00
8,1581318000000,0.034188,0.034189,0.033947,0.033999,962.49,2020-02-10 07:00:00
9,1581314400000,0.033823,0.034188,0.033823,0.034188,1334.56,2020-02-10 06:00:00
10,1581310800000,0.033837,0.034176,0.033749,0.033749,323.69,2020-02-10 05:00:00
11,1581307200000,0.034176,0.034176,0.033837,0.033837,319.86,2020-02-10 04:00:00
12,1581303600000,0.03406,0.034189,0.033928,0.034187,886.2,2020-02-10 03:00:00
13,1581300000000,0.03406,0.03406,0.033947,0.03406,646.05,2020-02-10 02:00:00
14,1581296400000,0.034253,0.034304,0.034038,0.03406,79.8,2020-02-10 01:00:00
15,1581292800000,0.034251,0.034451,0.034001,0.034445,139.51,2020-02-10 00:00:00
16,1581289200000,0.034223,0.034427,0.034223,0.034427,12.58,2020-02-09 23:00:00
17,1581285600000,0.034256,0.034389,0.034,0.034026,67.75,2020-02-09 22:00:00
18,1581282000000,0.034519,0.034519,0.034109,0.034109,3.05,2020-02-09 21:00:00
19,1581278400000,0.034497,0.034523,0.034376,0.034523,91.02,2020-02-09 20:00:00
20,1581274800000,0.034788,0.034788,0.034099,0.03451,4.99,2020-02-09 19:00:00
21,1581271200000,0.034953,0.03507,0.034758,0.034759,2534.8,2020-02-09 18:00:00
22,1581267600000,0.034479,0.034954,0.034479,0.034953,1905.09,2020-02-09 17:00:00
23,1581264000000,0.034409,0.034549,0.034304,0.034478,316.8,2020-02-09 16:00:00
24,1581260400000,0.034164,0.034347,0.034013,0.03415,87.95,2020-02-09 15:00:00
25,1581256800000,0.033884,0.034121,0.033884,0.034121,27.81,2020-02-09 14:00:00
26,1581253200000,0.034313,0.034313,0.033888,0.033888,152.76,2020-02-09 13:00:00
27,1581249600000,0.0343,0.034303,0.0341,0.034303,43.64,2020-02-09 12:00:00
28,1581246000000,0.033964,0.034305,0.033929,0.034291,48.42,2020-02-09 11:00:00
29,1581242400000,0.034295,0.034295,0.033969,0.033972,23.97,2020-02-09 10:00:00
30,1581238800000,0.034025,0.034349,0.034025,0.034191,66.46,2020-02-09 09:00:00
31,1581235200000,0.034543,0.034543,0.034016,0.034025,239.99,2020-02-09 08:00:00
32,1581231600000,0.034813,0.035183,0.034617,0.034713,61.46,2020-02-09 07:00:00
33,1581228000000,0.034491,0.034725,0.034491,0.034632,22.16,2020-02-09 06:00:00
