,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.787,2.796,2.761,2.786,29.232,2020-02-10 15:00:00
1,1581343200000,2.753,2.787,2.752,2.787,21.992,2020-02-10 14:00:00
2,1581339600000,2.763,2.769,2.715,2.743,61.416,2020-02-10 13:00:00
3,1581336000000,2.795,2.795,2.757,2.78,17.879,2020-02-10 12:00:00
4,1581332400000,2.773,2.82,2.769,2.795,5.657,2020-02-10 11:00:00
5,1581328800000,2.803,2.837,2.779,2.779,25.268,2020-02-10 10:00:00
6,1581325200000,2.755,2.817,2.755,2.797,25.22,2020-02-10 09:00:00
7,1581321600000,2.826,2.826,2.685,2.752,170.653,2020-02-10 08:00:00
8,1581318000000,2.82,2.85,2.8,2.826,57.414,2020-02-10 07:00:00
9,1581314400000,2.935,2.939,2.786,2.82,396.764,2020-02-10 06:00:00
10,1581310800000,2.928,2.954,2.911,2.93,14.506,2020-02-10 05:00:00
11,1581307200000,2.936,2.936,2.912,2.928,18.192,2020-02-10 04:00:00
12,1581303600000,2.958,2.962,2.929,2.948,43.279,2020-02-10 03:00:00
13,1581300000000,2.948,2.982,2.948,2.958,6.702,2020-02-10 02:00:00
14,1581296400000,2.93,2.946,2.928,2.94,4.483,2020-02-10 01:00:00
15,1581292800000,2.932,2.959,2.913,2.932,24.736,2020-02-10 00:00:00
16,1581289200000,2.975,2.979,2.916,2.926,19.318,2020-02-09 23:00:00
17,1581285600000,2.927,2.974,2.927,2.974,5.562,2020-02-09 22:00:00
18,1581282000000,2.915,2.93,2.906,2.924,15.582,2020-02-09 21:00:00
19,1581278400000,2.933,2.935,2.919,2.92,17.915,2020-02-09 20:00:00
20,1581274800000,2.964,2.968,2.924,2.948,38.247,2020-02-09 19:00:00
21,1581271200000,2.94,2.961,2.917,2.961,210.988,2020-02-09 18:00:00
22,1581267600000,2.949,2.959,2.922,2.931,18.449,2020-02-09 17:00:00
23,1581264000000,3.018,3.032,2.927,2.953,390.026,2020-02-09 16:00:00
24,1581260400000,3.049,3.062,3.0,3.025,128.778,2020-02-09 15:00:00
25,1581256800000,3.062,3.072,3.047,3.047,108.467,2020-02-09 14:00:00
26,1581253200000,3.081,3.085,3.065,3.065,9.955,2020-02-09 13:00:00
27,1581249600000,3.087,3.099,3.081,3.081,8.519,2020-02-09 12:00:00
28,1581246000000,3.089,3.089,3.088,3.088,0.309,2020-02-09 11:00:00
29,1581242400000,3.086,3.113,3.086,3.1,2.684,2020-02-09 10:00:00
30,1581238800000,3.097,3.101,3.078,3.086,2.081,2020-02-09 09:00:00
31,1581235200000,3.095,3.123,3.086,3.122,23.282,2020-02-09 08:00:00
32,1581231600000,3.087,3.113,3.087,3.095,326.66,2020-02-09 07:00:00
33,1581228000000,3.037,3.087,3.035,3.087,19.402,2020-02-09 06:00:00
34,1581224400000,3.026,3.062,3.018,3.047,20.941,2020-02-09 05:00:00
35,1581220800000,3.028,3.063,3.0,3.043,157.274,2020-02-09 04:00:00
36,1581217200000,3.191,3.24,3.031,3.031,372.55,2020-02-09 03:00:00
37,1581210000000,3.188,3.196,3.169,3.186,165.535,2020-02-09 01:00:00
38,1581206400000,3.209,3.218,3.186,3.195,1429.983,2020-02-09 00:00:00
39,1581202800000,3.216,3.221,3.196,3.221,8.451,2020-02-08 23:00:00
40,1581199200000,3.231,3.231,3.21,3.218,10.363,2020-02-08 22:00:00
41,1581195600000,3.252,3.258,3.224,3.231,9.08,2020-02-08 21:00:00
42,1581192000000,3.245,3.245,3.235,3.244,1.748,2020-02-08 20:00:00
43,1581188400000,3.242,3.268,3.235,3.258,4.967,2020-02-08 19:00:00
44,1581184800000,3.225,3.266,3.224,3.244,5.405,2020-02-08 18:00:00
45,1581181200000,3.212,3.236,3.21,3.225,7.353,2020-02-08 17:00:00
46,1581177600000,3.222,3.231,3.207,3.218,2.652,2020-02-08 16:00:00
47,1581174000000,3.199,3.221,3.199,3.211,1.749,2020-02-08 15:00:00
48,1581170400000,3.205,3.214,3.19,3.199,16.112,2020-02-08 14:00:00
49,1581166800000,3.226,3.226,3.195,3.195,7.349,2020-02-08 13:00:00
