,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.007019,0.007067,0.006988,0.007056,1621.636,2020-02-10 15:00:00
1,1581343200000,0.006971,0.007024,0.006944,0.007012,1240.228,2020-02-10 14:00:00
2,1581339600000,0.00698,0.006998,0.006948,0.006978,1528.013,2020-02-10 13:00:00
3,1581336000000,0.006975,0.007021,0.006944,0.006978,3214.126,2020-02-10 12:00:00
4,1581332400000,0.006946,0.006984,0.006931,0.006972,1351.299,2020-02-10 11:00:00
5,1581328800000,0.006959,0.007018,0.006877,0.006938,5296.382,2020-02-10 10:00:00
6,1581325200000,0.006958,0.006996,0.006917,0.006972,2606.558,2020-02-10 09:00:00
7,1581321600000,0.007019,0.007046,0.006943,0.006958,3067.53,2020-02-10 08:00:00
8,1581318000000,0.006974,0.007067,0.006968,0.007019,2798.773,2020-02-10 07:00:00
9,1581314400000,0.006986,0.006999,0.006937,0.006969,2673.387,2020-02-10 06:00:00
10,1581310800000,0.00694,0.006993,0.006889,0.006988,2007.989,2020-02-10 05:00:00
11,1581307200000,0.006972,0.006972,0.006908,0.006928,2511.071,2020-02-10 04:00:00
12,1581303600000,0.007026,0.007044,0.006935,0.006972,8956.7,2020-02-10 03:00:00
13,1581300000000,0.007008,0.007038,0.007008,0.007026,3150.3,2020-02-10 02:00:00
14,1581296400000,0.006986,0.007024,0.006986,0.007007,4353.538,2020-02-10 01:00:00
15,1581292800000,0.007029,0.007033,0.006948,0.006986,4611.327,2020-02-10 00:00:00
16,1581289200000,0.006982,0.00703,0.006958,0.007029,2405.73,2020-02-09 23:00:00
17,1581285600000,0.006956,0.007012,0.006948,0.006983,1660.677,2020-02-09 22:00:00
18,1581282000000,0.006904,0.006955,0.006903,0.006955,1336.319,2020-02-09 21:00:00
19,1581278400000,0.006934,0.006936,0.006895,0.006905,937.149,2020-02-09 20:00:00
20,1581274800000,0.006917,0.006943,0.006917,0.006933,354.231,2020-02-09 19:00:00
21,1581271200000,0.006918,0.006947,0.006914,0.006923,1118.549,2020-02-09 18:00:00
22,1581267600000,0.006937,0.006999,0.006911,0.006929,1179.529,2020-02-09 17:00:00
23,1581264000000,0.006937,0.006995,0.006922,0.006936,1272.596,2020-02-09 16:00:00
24,1581260400000,0.006938,0.006964,0.006878,0.006938,3301.303,2020-02-09 15:00:00
25,1581256800000,0.006948,0.007017,0.006927,0.006944,2568.035,2020-02-09 14:00:00
26,1581253200000,0.006999,0.007009,0.006941,0.006941,1925.076,2020-02-09 13:00:00
27,1581249600000,0.007024,0.007025,0.006998,0.006998,860.11,2020-02-09 12:00:00
28,1581246000000,0.007046,0.007053,0.007014,0.007026,1373.335,2020-02-09 11:00:00
29,1581242400000,0.00702,0.007064,0.00701,0.007039,750.42,2020-02-09 10:00:00
30,1581238800000,0.007068,0.007068,0.007005,0.007037,1614.542,2020-02-09 09:00:00
31,1581235200000,0.007122,0.007122,0.00704,0.007071,1927.55,2020-02-09 08:00:00
32,1581231600000,0.007118,0.007184,0.007117,0.007122,2095.611,2020-02-09 07:00:00
33,1581228000000,0.007018,0.007149,0.007006,0.007118,4296.265,2020-02-09 06:00:00
34,1581224400000,0.00701,0.007049,0.006999,0.007022,1427.003,2020-02-09 05:00:00
35,1581220800000,0.007039,0.007043,0.006974,0.007012,2201.572,2020-02-09 04:00:00
36,1581217200000,0.007101,0.007191,0.00704,0.007046,3885.461,2020-02-09 03:00:00
37,1581210000000,0.007127,0.007133,0.007073,0.007104,382.136,2020-02-09 01:00:00
38,1581206400000,0.007075,0.007155,0.007071,0.007125,1738.577,2020-02-09 00:00:00
39,1581202800000,0.007088,0.007099,0.007064,0.007073,1444.8,2020-02-08 23:00:00
40,1581199200000,0.007098,0.007125,0.007055,0.007091,1115.773,2020-02-08 22:00:00
41,1581195600000,0.007171,0.007173,0.007083,0.0071,1609.336,2020-02-08 21:00:00
