,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,69.3,69.82,69.24,69.82,6.69468,2020-02-10 15:00:00
1,1581343200000,68.33,69.22,68.33,69.22,22.4566,2020-02-10 14:00:00
2,1581339600000,68.67,68.77,68.33,68.33,2.6198,2020-02-10 13:00:00
3,1581336000000,68.38,68.72,68.38,68.6,6.67679,2020-02-10 12:00:00
4,1581332400000,68.27,68.27,68.02,68.12,4.23507,2020-02-10 11:00:00
5,1581328800000,68.43,69.08,68.43,68.47,16.59138,2020-02-10 10:00:00
6,1581325200000,68.65,68.65,67.86,67.86,4.0017,2020-02-10 09:00:00
7,1581321600000,69.16,69.16,68.78,69.09,6.03113,2020-02-10 08:00:00
8,1581318000000,70.33,70.51,69.87,70.19,18.64209,2020-02-10 07:00:00
9,1581314400000,69.89,69.89,69.15,69.18,4.70412,2020-02-10 06:00:00
10,1581310800000,69.78,71.34,68.78,68.78,6.6571,2020-02-10 05:00:00
11,1581307200000,69.98,69.98,69.98,69.98,0.16609,2020-02-10 04:00:00
12,1581303600000,71.04,71.04,71.04,71.04,0.0,2020-02-10 03:00:00
13,1581300000000,71.04,71.04,71.04,71.04,0.0,2020-02-10 02:00:00
14,1581296400000,71.04,71.04,71.04,71.04,0.0,2020-02-10 01:00:00
15,1581292800000,71.46,71.51,71.04,71.04,1.72719,2020-02-10 00:00:00
16,1581289200000,71.17,71.17,70.57,70.57,1.97555,2020-02-09 23:00:00
17,1581285600000,70.5,70.6,70.5,70.6,17.0225,2020-02-09 22:00:00
18,1581282000000,70.94,70.94,70.94,70.94,0.0,2020-02-09 21:00:00
19,1581278400000,70.94,70.94,70.94,70.94,0.0,2020-02-09 20:00:00
20,1581274800000,70.94,70.94,70.94,70.94,0.0,2020-02-09 19:00:00
21,1581271200000,70.94,70.94,70.94,70.94,0.24372,2020-02-09 18:00:00
22,1581267600000,69.93,69.93,69.93,69.93,2.12175,2020-02-09 17:00:00
23,1581264000000,69.64,69.64,69.64,69.64,0.0,2020-02-09 16:00:00
24,1581260400000,69.45,69.64,69.34,69.64,19.7761,2020-02-09 15:00:00
25,1581256800000,70.38,70.38,70.38,70.38,1.0,2020-02-09 14:00:00
26,1581253200000,70.74,70.74,70.36,70.36,0.96651,2020-02-09 13:00:00
27,1581249600000,72.06,72.06,70.6,71.03,3.63311,2020-02-09 12:00:00
28,1581246000000,72.2,72.2,72.2,72.2,0.0,2020-02-09 11:00:00
29,1581242400000,72.2,72.2,72.2,72.2,0.0,2020-02-09 10:00:00
30,1581238800000,72.2,72.2,72.2,72.2,0.0,2020-02-09 09:00:00
31,1581235200000,72.2,72.2,72.2,72.2,0.0,2020-02-09 08:00:00
32,1581231600000,72.43,72.43,72.2,72.2,17.02724,2020-02-09 07:00:00
33,1581228000000,71.95,71.95,71.95,71.95,0.91354,2020-02-09 06:00:00
34,1581224400000,71.95,71.95,71.95,71.95,0.0,2020-02-09 05:00:00
35,1581220800000,71.95,71.95,71.95,71.95,0.0,2020-02-09 04:00:00
36,1581217200000,71.46,71.95,71.46,71.95,2.25194,2020-02-09 03:00:00
37,1581210000000,70.45,70.45,70.45,70.45,0.0,2020-02-09 01:00:00
38,1581206400000,70.45,70.45,70.45,70.45,0.0,2020-02-09 00:00:00
39,1581202800000,70.45,70.45,70.45,70.45,0.0,2020-02-08 23:00:00
40,1581199200000,70.45,70.45,70.45,70.45,0.0,2020-02-08 22:00:00
41,1581195600000,70.45,70.45,70.45,70.45,0.0,2020-02-08 21:00:00
42,1581192000000,70.45,70.45,70.45,70.45,0.0,2020-02-08 20:00:00
43,1581188400000,70.45,70.45,70.45,70.45,0.0,2020-02-08 19:00:00
44,1581184800000,70.45,70.45,70.45,70.45,1.42379,2020-02-08 18:00:00
45,1581181200000,69.82,69.82,69.82,69.82,0.0,2020-02-08 17:00:00
46,1581177600000,69.82,69.82,69.82,69.82,0.0,2020-02-08 16:00:00
47,1581174000000,69.82,69.82,69.82,69.82,0.85682,2020-02-08 15:00:00
48,1581170400000,70.64,70.64,70.64,70.64,0.0,2020-02-08 14:00:00
49,1581166800000,70.64,70.64,70.64,70.64,0.0,2020-02-08 13:00:00
50,1581163200000,70.8,70.8,70.64,70.64,22.03619,2020-02-08 12:00:00
51,1581159600000,71.01,71.01,71.01,71.01,0.0,2020-02-08 11:00:00
52,1581156000000,71.01,71.01,71.01,71.01,0.82435,2020-02-08 10:00:00
53,1581152400000,70.36,70.36,70.36,70.36,0.0,2020-02-08 09:00:00
54,1581148800000,70.36,70.36,70.36,70.36,0.0,2020-02-08 08:00:00
55,1581145200000,70.36,70.36,70.36,70.36,0.0,2020-02-08 07:00:00
56,1581141600000,70.36,70.36,70.36,70.36,0.0,2020-02-08 06:00:00
57,1581138000000,69.35,71.95,69.35,70.36,17.33562,2020-02-08 05:00:00
58,1581134400000,67.83,69.35,67.83,69.35,6.44328,2020-02-08 04:00:00
59,1581130800000,67.19,67.19,67.19,67.19,0.0,2020-02-08 03:00:00
60,1581127200000,67.61,67.61,67.19,67.19,0.95033,2020-02-08 02:00:00
61,1581123600000,68.12,68.12,68.12,68.12,0.0,2020-02-08 01:00:00
62,1581120000000,68.12,68.12,68.12,68.12,0.0,2020-02-08 00:00:00
63,1581116400000,68.12,68.12,68.12,68.12,0.0,2020-02-07 23:00:00
64,1581112800000,68.12,68.12,68.12,68.12,0.0,2020-02-07 22:00:00
65,1581109200000,68.12,68.12,68.12,68.12,0.82088,2020-02-07 21:00:00
66,1581105600000,69.18,69.18,69.18,69.18,0.0,2020-02-07 20:00:00
67,1581102000000,69.18,69.18,69.18,69.18,0.0,2020-02-07 19:00:00
68,1581098400000,69.18,69.18,69.18,69.18,0.0,2020-02-07 18:00:00
69,1581094800000,69.18,69.18,69.18,69.18,0.0,2020-02-07 17:00:00
70,1581091200000,69.18,69.18,69.18,69.18,0.9986,2020-02-07 16:00:00
71,1581087600000,69.18,69.18,69.18,69.18,0.0,2020-02-07 15:00:00
72,1581084000000,69.18,69.18,69.18,69.18,0.0,2020-02-07 14:00:00
73,1581080400000,68.53,69.18,68.53,69.18,6.60706,2020-02-07 13:00:00
74,1581076800000,67.88,68.36,67.87,68.18,3.75828,2020-02-07 12:00:00
75,1581073200000,69.01,69.01,68.6,68.6,1.9678,2020-02-07 11:00:00
76,1581069600000,69.01,69.01,69.01,69.01,0.0,2020-02-07 10:00:00
77,1581066000000,69.0,69.01,69.0,69.01,4.06904,2020-02-07 09:00:00
78,1581062400000,68.94,69.37,68.4,68.4,13.18698,2020-02-07 08:00:00
79,1581058800000,70.3,70.3,70.3,70.3,0.0,2020-02-07 07:00:00
80,1581055200000,70.3,70.3,70.3,70.3,0.0,2020-02-07 06:00:00
81,1581051600000,70.3,70.3,70.3,70.3,0.0,2020-02-07 05:00:00
82,1581048000000,70.3,70.3,70.3,70.3,0.95491,2020-02-07 04:00:00
83,1581044400000,70.61,70.61,70.61,70.61,0.63885,2020-02-07 03:00:00
84,1581040800000,70.47,70.47,70.47,70.47,0.0,2020-02-07 02:00:00
85,1581037200000,70.47,70.47,70.47,70.47,1.09149,2020-02-07 01:00:00
86,1581033600000,70.36,70.36,70.23,70.25,0.82379,2020-02-07 00:00:00
87,1581030000000,68.82,68.82,68.82,68.82,0.8,2020-02-06 23:00:00
88,1581026400000,68.99,68.99,68.99,68.99,1.1,2020-02-06 22:00:00
89,1581022800000,69.5,69.5,69.5,69.5,1.0,2020-02-06 21:00:00
90,1581019200000,68.83,68.83,68.83,68.83,0.0,2020-02-06 20:00:00
91,1581015600000,68.83,68.83,68.83,68.83,0.0,2020-02-06 19:00:00
92,1581012000000,68.83,68.83,68.83,68.83,0.73753,2020-02-06 18:00:00
93,1581008400000,69.35,69.84,69.35,69.41,1.69549,2020-02-06 17:00:00
94,1581004800000,69.63,69.63,68.78,69.39,7.53687,2020-02-06 16:00:00
95,1581001200000,70.69,70.69,70.69,70.69,0.0,2020-02-06 15:00:00
96,1580997600000,69.93,70.69,69.93,70.69,3.50934,2020-02-06 14:00:00
97,1580994000000,71.41,71.41,68.78,68.79,3.07412,2020-02-06 13:00:00
98,1580990400000,71.08,71.08,71.08,71.08,0.0,2020-02-06 12:00:00
99,1580986800000,71.08,71.08,71.08,71.08,0.0,2020-02-06 11:00:00
100,1580983200000,71.07,71.08,71.07,71.08,3.9614,2020-02-06 10:00:00
101,1580979600000,71.07,71.07,70.67,70.67,48.18182,2020-02-06 09:00:00
102,1580976000000,73.3,73.3,73.3,73.3,0.0,2020-02-06 08:00:00
103,1580972400000,73.3,73.3,73.3,73.3,0.0,2020-02-06 07:00:00
