,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,69.42,69.92,69.42,69.57,50.18265,2020-02-10 15:00:00
1,1581343200000,69.05,69.34,69.05,69.33,35.51643,2020-02-10 14:00:00
2,1581339600000,68.79,68.87,68.79,68.87,21.03339,2020-02-10 13:00:00
3,1581336000000,68.25,68.67,67.94,68.43,88.54914,2020-02-10 12:00:00
4,1581332400000,68.32,68.45,67.97,68.28,53.65496,2020-02-10 11:00:00
5,1581328800000,68.33,68.54,67.92,68.32,55.74429,2020-02-10 10:00:00
6,1581325200000,68.3,69.28,67.81,68.16,71.22681,2020-02-10 09:00:00
7,1581321600000,70.12,70.21,69.31,69.31,160.51884,2020-02-10 08:00:00
8,1581318000000,69.34,70.13,69.34,70.12,115.43743,2020-02-10 07:00:00
9,1581314400000,68.97,69.68,68.82,69.64,186.81332,2020-02-10 06:00:00
10,1581310800000,69.65,70.13,68.36,68.36,55.68021,2020-02-10 05:00:00
11,1581307200000,69.73,69.73,69.73,69.73,1.37524,2020-02-10 04:00:00
12,1581303600000,71.09,71.09,71.09,71.09,0.23898,2020-02-10 03:00:00
13,1581300000000,70.85,71.03,70.85,71.03,7.17495,2020-02-10 02:00:00
14,1581296400000,71.23,71.34,71.19,71.34,22.04978,2020-02-10 01:00:00
15,1581292800000,71.28,71.32,70.95,71.11,93.88822,2020-02-10 00:00:00
16,1581289200000,70.55,71.12,70.55,71.07,17.56322,2020-02-09 23:00:00
17,1581285600000,70.54,70.7,70.54,70.7,13.85072,2020-02-09 22:00:00
18,1581282000000,69.76,69.89,69.76,69.89,11.44041,2020-02-09 21:00:00
19,1581278400000,69.75,69.75,69.43,69.43,10.70617,2020-02-09 20:00:00
20,1581274800000,69.8,69.8,69.8,69.8,0.68568,2020-02-09 19:00:00
21,1581271200000,69.87,69.89,69.72,69.72,31.71454,2020-02-09 18:00:00
22,1581267600000,70.18,70.46,69.83,69.83,58.63943,2020-02-09 17:00:00
23,1581264000000,70.13,70.58,69.83,69.91,70.18065,2020-02-09 16:00:00
24,1581260400000,69.33,70.21,69.06,70.12,103.44651,2020-02-09 15:00:00
25,1581256800000,70.36,70.79,70.36,70.39,50.9816,2020-02-09 14:00:00
26,1581253200000,70.36,70.36,70.36,70.36,0.14355,2020-02-09 13:00:00
27,1581249600000,70.96,71.06,70.87,70.87,144.28481,2020-02-09 12:00:00
28,1581246000000,70.95,70.96,70.95,70.96,2.38599,2020-02-09 11:00:00
29,1581242400000,71.63,71.63,71.63,71.63,0.0,2020-02-09 10:00:00
