,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,69.48,70.1,69.46,70.1,101.03148,2020-02-10 15:00:00
1,1581343200000,68.61,68.61,68.61,68.61,0.0,2020-02-10 14:00:00
2,1581339600000,68.66,68.66,68.38,68.61,45.03771,2020-02-10 13:00:00
3,1581336000000,68.06,68.73,68.06,68.73,94.24379,2020-02-10 12:00:00
4,1581332400000,68.45,68.45,68.05,68.31,62.33641,2020-02-10 11:00:00
5,1581328800000,68.36,69.07,67.99,69.07,141.23124,2020-02-10 10:00:00
6,1581325200000,68.85,68.85,67.86,67.86,17.3554,2020-02-10 09:00:00
7,1581321600000,69.52,69.52,69.0,69.0,3.52565,2020-02-10 08:00:00
8,1581318000000,70.38,70.56,69.94,69.94,55.00958,2020-02-10 07:00:00
9,1581314400000,68.65,69.73,68.64,69.43,84.89309,2020-02-10 06:00:00
10,1581310800000,69.88,70.25,68.0,68.24,158.60082,2020-02-10 05:00:00
11,1581307200000,70.19,70.19,69.55,69.6,11.9723,2020-02-10 04:00:00
12,1581303600000,71.11,71.11,70.05,70.2,16.71547,2020-02-10 03:00:00
13,1581300000000,71.15,71.15,70.92,70.92,7.97158,2020-02-10 02:00:00
14,1581296400000,71.34,71.47,71.15,71.15,45.76449,2020-02-10 01:00:00
15,1581292800000,71.46,71.5,70.72,71.21,88.37446,2020-02-10 00:00:00
16,1581289200000,71.0,71.11,70.79,70.79,9.58762,2020-02-09 23:00:00
17,1581285600000,70.47,70.62,70.47,70.62,10.82178,2020-02-09 22:00:00
18,1581282000000,69.53,70.0,69.53,70.0,22.44651,2020-02-09 21:00:00
19,1581278400000,69.6,69.6,69.4,69.51,43.09998,2020-02-09 20:00:00
20,1581274800000,69.9,69.9,69.9,69.9,23.77056,2020-02-09 19:00:00
21,1581271200000,69.81,70.05,69.6,69.6,39.61515,2020-02-09 18:00:00
22,1581267600000,70.2,70.46,69.87,69.94,87.46297,2020-02-09 17:00:00
23,1581264000000,70.34,70.49,69.9,70.0,43.16478,2020-02-09 16:00:00
24,1581260400000,70.17,70.31,69.0,69.98,119.84143,2020-02-09 15:00:00
25,1581256800000,70.13,70.89,69.85,69.85,33.0525,2020-02-09 14:00:00
26,1581253200000,70.87,70.87,70.19,70.19,45.41413,2020-02-09 13:00:00
