,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,69.36,70.21,69.21,70.13,6893.41296,2020-02-10 15:00:00
1,1581343200000,68.53,69.52,68.34,69.4,5734.66308,2020-02-10 14:00:00
2,1581339600000,68.75,68.98,68.3,68.51,6610.14208,2020-02-10 13:00:00
3,1581336000000,68.48,68.85,68.06,68.72,7493.67744,2020-02-10 12:00:00
4,1581332400000,68.36,68.57,68.03,68.48,5549.5642,2020-02-10 11:00:00
5,1581328800000,68.49,69.22,67.89,68.36,8860.42118,2020-02-10 10:00:00
6,1581325200000,68.83,68.98,67.81,68.5,8095.40641,2020-02-10 09:00:00
7,1581321600000,69.95,70.2,68.57,68.87,9520.33454,2020-02-10 08:00:00
8,1581318000000,69.38,70.5,69.28,69.97,7598.07891,2020-02-10 07:00:00
9,1581314400000,68.65,69.93,68.51,69.38,8466.9631,2020-02-10 06:00:00
10,1581310800000,69.74,70.42,67.95,68.66,10171.21539,2020-02-10 05:00:00
11,1581307200000,70.31,70.34,69.43,69.76,5308.61997,2020-02-10 04:00:00
12,1581303600000,71.08,71.2,70.02,70.26,4590.86705,2020-02-10 03:00:00
13,1581300000000,71.02,71.29,70.67,71.05,7396.83802,2020-02-10 02:00:00
14,1581296400000,71.08,71.5,70.85,71.02,6077.15497,2020-02-10 01:00:00
15,1581292800000,71.29,71.49,70.56,71.1,10186.37732,2020-02-10 00:00:00
16,1581289200000,70.71,71.33,70.48,71.33,4668.69883,2020-02-09 23:00:00
17,1581285600000,70.17,70.91,70.11,70.7,2721.13281,2020-02-09 22:00:00
18,1581282000000,69.47,70.14,69.47,70.14,2102.72067,2020-02-09 21:00:00
19,1581278400000,69.85,69.91,69.36,69.48,1809.94007,2020-02-09 20:00:00
20,1581274800000,69.76,69.98,69.71,69.84,1040.60104,2020-02-09 19:00:00
21,1581271200000,69.91,70.05,69.58,69.75,2382.01626,2020-02-09 18:00:00
22,1581267600000,70.12,70.79,69.81,69.88,4573.1383,2020-02-09 17:00:00
