,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0012409,0.0012553,0.0012367,0.0012507,679.67,2020-02-10 15:00:00
1,1581343200000,0.001231,0.001248,0.0012274,0.0012366,870.33,2020-02-10 14:00:00
2,1581339600000,0.0012258,0.0012409,0.0012242,0.0012303,541.05,2020-02-10 13:00:00
3,1581336000000,0.0012226,0.0012378,0.0012138,0.0012258,1025.31,2020-02-10 12:00:00
4,1581332400000,0.0012186,0.001223,0.0012115,0.0012225,446.54,2020-02-10 11:00:00
5,1581328800000,0.0012086,0.001219,0.0012031,0.0012186,761.62,2020-02-10 10:00:00
6,1581325200000,0.0012416,0.0012438,0.0012085,0.0012086,842.22,2020-02-10 09:00:00
7,1581321600000,0.0012422,0.00126,0.0012292,0.0012409,893.78,2020-02-10 08:00:00
8,1581318000000,0.001249,0.0012603,0.0012328,0.0012474,1281.14,2020-02-10 07:00:00
9,1581314400000,0.0011974,0.0012554,0.0011893,0.00125,3208.95,2020-02-10 06:00:00
10,1581310800000,0.0012021,0.0012021,0.0011918,0.0012021,806.89,2020-02-10 05:00:00
11,1581307200000,0.0012135,0.0012184,0.0012013,0.0012056,489.65,2020-02-10 04:00:00
12,1581303600000,0.0012119,0.0012176,0.0012056,0.0012136,379.68,2020-02-10 03:00:00
13,1581300000000,0.0012035,0.0012204,0.0011858,0.0012129,2496.01,2020-02-10 02:00:00
14,1581296400000,0.0011673,0.00121,0.0011673,0.0011975,2278.88,2020-02-10 01:00:00
15,1581292800000,0.0011534,0.0011801,0.0011534,0.0011673,1593.75,2020-02-10 00:00:00
16,1581289200000,0.0011445,0.0011534,0.0011441,0.0011534,120.98,2020-02-09 23:00:00
17,1581285600000,0.001145,0.0011494,0.0011422,0.0011494,831.4,2020-02-09 22:00:00
18,1581282000000,0.0011443,0.0011483,0.0011422,0.001145,971.71,2020-02-09 21:00:00
19,1581278400000,0.001148,0.0011523,0.0011422,0.0011422,299.58,2020-02-09 20:00:00
20,1581274800000,0.0011506,0.0011521,0.0011473,0.0011521,267.43,2020-02-09 19:00:00
21,1581271200000,0.0011518,0.001156,0.0011461,0.001151,256.85,2020-02-09 18:00:00
22,1581267600000,0.00115,0.0011582,0.00115,0.0011518,575.52,2020-02-09 17:00:00
23,1581264000000,0.0011524,0.0011613,0.0011479,0.00115,1126.85,2020-02-09 16:00:00
24,1581260400000,0.0011545,0.0011561,0.0011483,0.0011524,935.06,2020-02-09 15:00:00
25,1581256800000,0.0011651,0.0011682,0.0011504,0.0011544,589.43,2020-02-09 14:00:00
26,1581253200000,0.0011829,0.0011838,0.0011603,0.0011651,298.4,2020-02-09 13:00:00
27,1581249600000,0.001167,0.0011844,0.0011659,0.0011826,856.32,2020-02-09 12:00:00
28,1581246000000,0.0011604,0.001167,0.001159,0.001167,759.51,2020-02-09 11:00:00
29,1581242400000,0.001162,0.001167,0.0011602,0.0011607,1007.64,2020-02-09 10:00:00
30,1581238800000,0.0011668,0.001167,0.0011594,0.0011609,755.45,2020-02-09 09:00:00
31,1581235200000,0.0011817,0.0011959,0.0011601,0.0011668,965.67,2020-02-09 08:00:00
32,1581231600000,0.0011845,0.0011984,0.001175,0.0011773,1881.2,2020-02-09 07:00:00
33,1581228000000,0.0011324,0.0011844,0.001132,0.0011844,2251.39,2020-02-09 06:00:00
34,1581224400000,0.0011341,0.0011378,0.00113,0.001133,1572.05,2020-02-09 05:00:00
35,1581220800000,0.0011526,0.0011541,0.0011103,0.0011341,1990.91,2020-02-09 04:00:00
36,1581217200000,0.0011627,0.0011672,0.0011297,0.0011526,2665.69,2020-02-09 03:00:00
37,1581210000000,0.001204,0.0012367,0.0011588,0.0011591,4068.1,2020-02-09 01:00:00
38,1581206400000,0.0012009,0.0012095,0.0011924,0.001204,3251.18,2020-02-09 00:00:00
39,1581202800000,0.0010987,0.0012473,0.0010987,0.0011964,22540.22,2020-02-08 23:00:00
40,1581199200000,0.001077,0.0011027,0.001077,0.0010987,1484.42,2020-02-08 22:00:00
41,1581195600000,0.0010929,0.001093,0.0010773,0.0010773,769.77,2020-02-08 21:00:00
42,1581192000000,0.0010892,0.0010932,0.0010882,0.001093,78.38,2020-02-08 20:00:00
43,1581188400000,0.0010927,0.0010927,0.0010876,0.0010876,58.79,2020-02-08 19:00:00
44,1581184800000,0.0010932,0.0010943,0.0010895,0.0010896,98.05,2020-02-08 18:00:00
45,1581181200000,0.0010989,0.0010989,0.0010882,0.0010883,133.15,2020-02-08 17:00:00
46,1581177600000,0.0010998,0.0011028,0.0010944,0.0010989,663.52,2020-02-08 16:00:00
47,1581174000000,0.0011024,0.0011071,0.0010952,0.0011028,372.55,2020-02-08 15:00:00
48,1581170400000,0.0010929,0.0011074,0.0010929,0.0010989,1076.83,2020-02-08 14:00:00
49,1581166800000,0.0010937,0.0010988,0.0010907,0.0010936,868.3,2020-02-08 13:00:00
50,1581163200000,0.0010963,0.0010984,0.0010929,0.0010937,135.64,2020-02-08 12:00:00
51,1581159600000,0.0010966,0.0011,0.0010926,0.0010956,853.51,2020-02-08 11:00:00
52,1581156000000,0.0010911,0.0010968,0.0010905,0.0010968,299.18,2020-02-08 10:00:00
53,1581152400000,0.0010953,0.0010988,0.0010871,0.0010911,223.46,2020-02-08 09:00:00
54,1581148800000,0.0010862,0.0010953,0.0010862,0.0010953,224.99,2020-02-08 08:00:00
55,1581145200000,0.0010885,0.0010885,0.001085,0.0010862,85.21,2020-02-08 07:00:00
56,1581141600000,0.0010852,0.0010925,0.0010852,0.0010861,154.8,2020-02-08 06:00:00
57,1581138000000,0.0010889,0.0010909,0.0010846,0.0010909,211.12,2020-02-08 05:00:00
58,1581134400000,0.0010874,0.0010889,0.0010821,0.0010844,151.45,2020-02-08 04:00:00
59,1581130800000,0.0010929,0.0010929,0.0010781,0.0010872,972.63,2020-02-08 03:00:00
60,1581127200000,0.0010996,0.0011036,0.0010927,0.0010932,509.73,2020-02-08 02:00:00
61,1581123600000,0.001115,0.001115,0.0010996,0.0011037,461.29,2020-02-08 01:00:00
62,1581120000000,0.001105,0.001118,0.001105,0.001115,1031.91,2020-02-08 00:00:00
63,1581116400000,0.0010997,0.0011097,0.0010996,0.001105,524.79,2020-02-07 23:00:00
64,1581112800000,0.0011051,0.0011091,0.0010996,0.0010996,209.55,2020-02-07 22:00:00
65,1581109200000,0.0011034,0.0011077,0.0010992,0.001105,547.3,2020-02-07 21:00:00
66,1581105600000,0.0011024,0.0011038,0.0010984,0.0011034,184.8,2020-02-07 20:00:00
67,1581102000000,0.0010963,0.0011077,0.0010957,0.0011062,701.59,2020-02-07 19:00:00
68,1581098400000,0.0010999,0.0011,0.0010916,0.001093,162.32,2020-02-07 18:00:00
69,1581094800000,0.0010996,0.0011028,0.0010959,0.0010999,315.85,2020-02-07 17:00:00
