,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,7.6e-07,7.7e-07,7.6e-07,7.6e-07,1287004.0,2020-02-10 15:00:00
1,1581343200000,7.6e-07,7.7e-07,7.5e-07,7.7e-07,5812282.0,2020-02-10 14:00:00
2,1581339600000,7.6e-07,7.7e-07,7.5e-07,7.5e-07,2009569.0,2020-02-10 13:00:00
3,1581336000000,7.5e-07,7.7e-07,7.4e-07,7.6e-07,5424227.0,2020-02-10 12:00:00
4,1581332400000,7.4e-07,7.7e-07,7.4e-07,7.5e-07,71685945.0,2020-02-10 11:00:00
5,1581328800000,7.5e-07,7.5e-07,7.4e-07,7.5e-07,4147994.0,2020-02-10 10:00:00
6,1581325200000,7.7e-07,7.7e-07,7.4e-07,7.6e-07,15036268.0,2020-02-10 09:00:00
7,1581321600000,7.7e-07,7.8e-07,7.6e-07,7.6e-07,4051626.0,2020-02-10 08:00:00
8,1581318000000,7.6e-07,7.7e-07,7.6e-07,7.7e-07,5206819.0,2020-02-10 07:00:00
9,1581314400000,7.7e-07,7.7e-07,7.6e-07,7.7e-07,7980455.0,2020-02-10 06:00:00
10,1581310800000,7.8e-07,7.8e-07,7.6e-07,7.7e-07,8228891.0,2020-02-10 05:00:00
11,1581307200000,7.7e-07,7.8e-07,7.7e-07,7.8e-07,1037722.0,2020-02-10 04:00:00
12,1581303600000,7.8e-07,7.8e-07,7.7e-07,7.8e-07,1199760.0,2020-02-10 03:00:00
13,1581300000000,7.9e-07,8e-07,7.7e-07,7.8e-07,5887902.0,2020-02-10 02:00:00
14,1581296400000,7.9e-07,8.1e-07,7.8e-07,8e-07,24994270.0,2020-02-10 01:00:00
15,1581292800000,7.8e-07,7.9e-07,7.8e-07,7.8e-07,6190215.0,2020-02-10 00:00:00
16,1581289200000,7.7e-07,7.9e-07,7.6e-07,7.8e-07,14261055.0,2020-02-09 23:00:00
17,1581285600000,7.9e-07,7.9e-07,7.7e-07,7.7e-07,5416320.0,2020-02-09 22:00:00
18,1581282000000,7.8e-07,7.9e-07,7.7e-07,7.9e-07,5223605.0,2020-02-09 21:00:00
19,1581278400000,7.7e-07,7.8e-07,7.6e-07,7.8e-07,5523185.0,2020-02-09 20:00:00
20,1581274800000,7.7e-07,7.8e-07,7.7e-07,7.7e-07,2091961.0,2020-02-09 19:00:00
21,1581271200000,7.7e-07,7.8e-07,7.6e-07,7.7e-07,8271119.0,2020-02-09 18:00:00
22,1581267600000,7.6e-07,7.7e-07,7.5e-07,7.7e-07,4995887.0,2020-02-09 17:00:00
23,1581264000000,7.5e-07,7.6e-07,7.4e-07,7.5e-07,9828072.0,2020-02-09 16:00:00
24,1581260400000,7.5e-07,7.5e-07,7.3e-07,7.5e-07,10523591.0,2020-02-09 15:00:00
25,1581256800000,7.6e-07,7.6e-07,7.4e-07,7.5e-07,13200977.0,2020-02-09 14:00:00
26,1581253200000,7.5e-07,7.6e-07,7.4e-07,7.5e-07,17958325.0,2020-02-09 13:00:00
27,1581249600000,7.4e-07,7.6e-07,7.4e-07,7.5e-07,7377834.0,2020-02-09 12:00:00
28,1581246000000,7.4e-07,7.5e-07,7.4e-07,7.5e-07,2545795.0,2020-02-09 11:00:00
29,1581242400000,7.5e-07,7.5e-07,7.4e-07,7.4e-07,1057795.0,2020-02-09 10:00:00
30,1581238800000,7.4e-07,7.5e-07,7.3e-07,7.5e-07,6475833.0,2020-02-09 09:00:00
31,1581235200000,7.3e-07,7.5e-07,7.3e-07,7.5e-07,10191376.0,2020-02-09 08:00:00
32,1581231600000,7.5e-07,7.6e-07,7.3e-07,7.4e-07,14491148.0,2020-02-09 07:00:00
33,1581228000000,7.6e-07,7.6e-07,7.4e-07,7.5e-07,6001389.0,2020-02-09 06:00:00
34,1581224400000,7.5e-07,7.6e-07,7.4e-07,7.6e-07,6071586.0,2020-02-09 05:00:00
35,1581220800000,7.4e-07,7.5e-07,7.3e-07,7.5e-07,4944838.0,2020-02-09 04:00:00
36,1581217200000,7.7e-07,7.7e-07,7.3e-07,7.4e-07,17391746.0,2020-02-09 03:00:00
