,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.2803,0.2816,0.28,0.2804,128193.57,2020-02-10 15:00:00
1,1581343200000,0.2786,0.2819,0.2778,0.2806,144755.78,2020-02-10 14:00:00
2,1581339600000,0.2769,0.281,0.2769,0.2788,169768.81,2020-02-10 13:00:00
3,1581336000000,0.2764,0.2775,0.2753,0.2775,37047.69,2020-02-10 12:00:00
4,1581332400000,0.28,0.2807,0.2742,0.277,209410.72,2020-02-10 11:00:00
5,1581328800000,0.2785,0.2808,0.2764,0.2807,223262.22,2020-02-10 10:00:00
6,1581325200000,0.2824,0.2824,0.2731,0.2786,570406.96,2020-02-10 09:00:00
7,1581321600000,0.2925,0.2933,0.2806,0.2821,367733.34,2020-02-10 08:00:00
8,1581318000000,0.2904,0.2945,0.2879,0.2925,135478.86,2020-02-10 07:00:00
9,1581314400000,0.2899,0.2982,0.285,0.2904,261948.91,2020-02-10 06:00:00
10,1581310800000,0.2925,0.2982,0.2894,0.2894,94861.2,2020-02-10 05:00:00
11,1581307200000,0.2919,0.293,0.2884,0.2925,94484.57,2020-02-10 04:00:00
12,1581303600000,0.2977,0.2983,0.2895,0.2919,141873.55,2020-02-10 03:00:00
13,1581300000000,0.2946,0.2986,0.292,0.2977,155092.33,2020-02-10 02:00:00
14,1581296400000,0.2993,0.3006,0.2946,0.2946,206782.89,2020-02-10 01:00:00
15,1581292800000,0.2965,0.2998,0.2959,0.2989,154457.77,2020-02-10 00:00:00
16,1581289200000,0.2961,0.2969,0.2937,0.2959,135555.51,2020-02-09 23:00:00
17,1581285600000,0.2907,0.2959,0.2899,0.2954,50538.12,2020-02-09 22:00:00
18,1581282000000,0.2862,0.2913,0.286,0.2907,124612.52,2020-02-09 21:00:00
19,1581278400000,0.2889,0.2898,0.285,0.2856,254388.17,2020-02-09 20:00:00
20,1581274800000,0.293,0.293,0.2891,0.2891,72650.88,2020-02-09 19:00:00
21,1581271200000,0.2954,0.298,0.28,0.2932,585421.92,2020-02-09 18:00:00
22,1581267600000,0.2878,0.2959,0.2878,0.2953,327646.83,2020-02-09 17:00:00
23,1581264000000,0.2827,0.2958,0.2827,0.2874,554598.72,2020-02-09 16:00:00
24,1581260400000,0.2834,0.285,0.2775,0.2819,301973.39,2020-02-09 15:00:00
25,1581256800000,0.2817,0.2842,0.2813,0.2834,170919.58,2020-02-09 14:00:00
26,1581253200000,0.282,0.2839,0.2817,0.2827,138365.38,2020-02-09 13:00:00
27,1581249600000,0.2797,0.2828,0.2794,0.2822,76649.5,2020-02-09 12:00:00
28,1581246000000,0.2786,0.2794,0.2761,0.2792,65275.39,2020-02-09 11:00:00
29,1581242400000,0.279,0.28,0.278,0.278,54678.32,2020-02-09 10:00:00
30,1581238800000,0.2825,0.2828,0.2791,0.2792,47453.81,2020-02-09 09:00:00
